"source","target","weight","celltype"
"AGRN","FLAD1",0.919,"Astrocytes"
"AGRN","WDR6",0.788,"Astrocytes"
"AGRN","CCDC88B",0.924,"Astrocytes"
"AGRN","TARSL2",0.943,"Astrocytes"
"AGRN","TBKBP1",0.917,"Astrocytes"
"AGRN","OSBPL7",0.925,"Astrocytes"
"SDF4","VPS52",0.78,"Astrocytes"
"ACAP3","LAMB2",0.568,"Astrocytes"
"ACAP3","PDZD4",0.888,"Astrocytes"
"ACAP3","KIFC2",0.551,"Astrocytes"
"ACAP3","RPS6KA4",0.908,"Astrocytes"
"ACAP3","MAPK8IP3",0.691,"Astrocytes"
"ACAP3","LASP1",0.789,"Astrocytes"
"ACAP3","SH3GL1",0.907,"Astrocytes"
"ACAP3","HDAC10",0.904,"Astrocytes"
"INTS11","NISCH",0.915,"Astrocytes"
"INTS11","LONP1",0.9,"Astrocytes"
"INTS11","TRMT2A",0.839,"Astrocytes"
"VWA1","ASB6",0.835,"Astrocytes"
"MIB2","CUL9",0.902,"Astrocytes"
"MIB2","SEC24C",0.508,"Astrocytes"
"MIB2","ZNF512B",0.843,"Astrocytes"
"MIB2","MAP2K7",0.897,"Astrocytes"
"CDK11A","CDK11B",0.516,"Astrocytes"
"GNB1","CNOT9",0.827,"Astrocytes"
"GNB1","UBE2D2",0.694,"Astrocytes"
"PRDM16","NECAP2",0.977,"Astrocytes"
"PRDM16","ECE1",0.977,"Astrocytes"
"PRDM16","TRIM62",0.972,"Astrocytes"
"PRDM16","ERI3",0.516,"Astrocytes"
"PRDM16","VANGL2",0.973,"Astrocytes"
"PRDM16","HADHA",0.966,"Astrocytes"
"PRDM16","MAGI1",0.958,"Astrocytes"
"PRDM16","TBC1D14",0.968,"Astrocytes"
"PRDM16","SORCS2",0.614,"Astrocytes"
"PRDM16","KBTBD11",0.964,"Astrocytes"
"PRDM16","LRP5",0.971,"Astrocytes"
"PRDM16","NADSYN1",0.979,"Astrocytes"
"PRDM16","NCOR2",0.665,"Astrocytes"
"PRDM16","APBA2",0.988,"Astrocytes"
"PRDM16","MIR193BHG",0.974,"Astrocytes"
"PRDM16","ZNF423",0.597,"Astrocytes"
"PRDM16","COIL",0.974,"Astrocytes"
"PRDM16","GRIN2C",0.772,"Astrocytes"
"PRDM16","DOK5",0.787,"Astrocytes"
"PRDM16","RDH13",0.972,"Astrocytes"
"CAMTA1","C2orf76",0.971,"Astrocytes"
"CAMTA1","AC079305.3",0.967,"Astrocytes"
"CAMTA1","GIGYF2",0.381,"Astrocytes"
"CAMTA1","ZNF717",0.973,"Astrocytes"
"CAMTA1","FBXL5",0.805,"Astrocytes"
"CAMTA1","DCUN1D4",0.956,"Astrocytes"
"CAMTA1","KLHDC3",0.968,"Astrocytes"
"CAMTA1","MTERF1",0.61,"Astrocytes"
"CAMTA1","RHOXF1-AS1",0.967,"Astrocytes"
"CAMTA1","BCORL1",0.39,"Astrocytes"
"CAMTA1","HOOK3",0.767,"Astrocytes"
"CAMTA1","AC084337.2",0.944,"Astrocytes"
"CAMTA1","AEBP2",0.953,"Astrocytes"
"CAMTA1","AC124312.1",0.97,"Astrocytes"
"CAMTA1","ZNF720",0.97,"Astrocytes"
"CAMTA1","AC087564.1",0.922,"Astrocytes"
"CAMTA1","ZNF207",0.607,"Astrocytes"
"CAMTA1","UQCC1",0.738,"Astrocytes"
"CAMTA1","SS18L1",0.979,"Astrocytes"
"PARK7","PEBP1",0.672,"Astrocytes"
"RERE","SRPK2",0.876,"Astrocytes"
"RERE","WDR20",0.668,"Astrocytes"
"ENO1","BNIP3",0.277,"Astrocytes"
"SLC25A33","ATXN3",0.767,"Astrocytes"
"CTNNBIP1","TMEM192",0.773,"Astrocytes"
"UBE4B","SLC16A1-AS1",0.891,"Astrocytes"
"UBE4B","PLEKHA2",0.894,"Astrocytes"
"UBE4B","CATSPER2",0.884,"Astrocytes"
"UBE4B","FBXL20",0.678,"Astrocytes"
"KIF1B","SAP130",0.901,"Astrocytes"
"KIF1B","ZSWIM6",0.43,"Astrocytes"
"KIF1B","CAMK2G",0.456,"Astrocytes"
"KIF1B","KPNA3",0.895,"Astrocytes"
"KIF1B","PPARA",0.336,"Astrocytes"
"FBXO2","FBXO44",0.785,"Astrocytes"
"FBXO2","TFCP2",0.402,"Astrocytes"
"FBXO2","GPCPD1",0.648,"Astrocytes"
"FBXO2","HOOK2",0.626,"Astrocytes"
"FBXO44","HYI",0.869,"Astrocytes"
"FBXO44","RRNAD1",0.882,"Astrocytes"
"VPS13D","ZCCHC14",0.811,"Astrocytes"
"KAZN","NFASC",0.614,"Astrocytes"
"KAZN","ROBO2",0.184,"Astrocytes"
"KAZN","AQP1",0.64,"Astrocytes"
"KAZN","BNC2",0.904,"Astrocytes"
"KAZN","DCLK1",0.516,"Astrocytes"
"KAZN","GPC6",0.843,"Astrocytes"
"SPEN","RBBP4",0.923,"Astrocytes"
"SPEN","PRPF38A",0.944,"Astrocytes"
"SPEN","XPO7",0.894,"Astrocytes"
"SPEN","UPF1",0.633,"Astrocytes"
"FBXO42","SLMAP",0.651,"Astrocytes"
"FBXO42","MARK2",0.871,"Astrocytes"
"FBXO42","UBE2G1",0.86,"Astrocytes"
"PADI2","DDB2",0.819,"Astrocytes"
"PADI2","PLEKHG3",0.4,"Astrocytes"
"ARHGEF10L","PLEKHM2",0.929,"Astrocytes"
"ARHGEF10L","MAP9",0.956,"Astrocytes"
"ARHGEF10L","MTHFD1L",0.95,"Astrocytes"
"ARHGEF10L","EEPD1",0.941,"Astrocytes"
"ARHGEF10L","PPP2CB",0.369,"Astrocytes"
"ARHGEF10L","SCARB1",0.935,"Astrocytes"
"ARHGEF10L","VPS53",0.94,"Astrocytes"
"ARHGEF10L","MNT",0.945,"Astrocytes"
"ARHGEF10L","RNF157",0.682,"Astrocytes"
"ARHGEF10L","FOXK2",0.961,"Astrocytes"
"ARHGEF10L","SAFB",0.941,"Astrocytes"
"ARHGEF10L","SREBF2",0.806,"Astrocytes"
"ARHGEF10L","SLC37A1",0.954,"Astrocytes"
"ARHGEF10L","PDXK",0.693,"Astrocytes"
"IFFO2","SLC25A25",0.798,"Astrocytes"
"CAPZB","LMBR1L",0.801,"Astrocytes"
"CAMK2N1","UQCC2",0.681,"Astrocytes"
"HP1BP3","KLHL21",0.953,"Astrocytes"
"HP1BP3","C2orf49",0.953,"Astrocytes"
"HP1BP3","PWWP2A",0.766,"Astrocytes"
"HP1BP3","SNRNP48",0.968,"Astrocytes"
"HP1BP3","RBM48",0.963,"Astrocytes"
"HP1BP3","SEM1",0.849,"Astrocytes"
"HP1BP3","WASHC1",0.954,"Astrocytes"
"HP1BP3","AK3",0.793,"Astrocytes"
"HP1BP3","AL117339.5",0.424,"Astrocytes"
"HP1BP3","SPRYD7",0.957,"Astrocytes"
"HP1BP3","MAF",0.503,"Astrocytes"
"HP1BP3","VEZF1",0.955,"Astrocytes"
"HP1BP3","MIB1",0.703,"Astrocytes"
"HP1BP3","LZTS3",0.435,"Astrocytes"
