feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
16	LINC01128	ENSG00000228794	exact	unique_symbol	77	48	TRUE	TRUE	TRUE	0.47030783199918	TRUE		TRUE		-4.66536036505669	-0.194174886248663	0.532374247314438	0
17	LINC00115	ENSG00000225880	phase18_exact	phase18	69	23	TRUE	TRUE	TRUE	1.37460550946761	TRUE		TRUE		-3.44487983806411	-0.462536724912858	0.949440833787375	1
18	FAM41C	ENSG00000230368	phase18_exact	phase18	25	11	TRUE	TRUE	TRUE	1.4519980629649	TRUE		TRUE		-1.86698064274576	-0.16949184107485	0.967742570607412	2
24	NOC2L	ENSG00000188976	phase18_exact	phase18	77	53	TRUE	TRUE	TRUE	0.542465820455121	TRUE		TRUE		-4.83876498496013	-0.363426285762929	0.418063928253873	3
25	KLHL17	ENSG00000187961	phase18_exact	phase18	69	24	TRUE	TRUE	TRUE	1.1741846236553	TRUE		TRUE		-3.44746292484618	-0.662799517707545	0.733766821887907	4
29	HES4	ENSG00000188290	phase18_exact	phase18	68	27	TRUE	TRUE	TRUE	1.22636532082021	TRUE		TRUE		-1.77230298183922	-0.251709848971928	1.15127110711022	5
30	ISG15	ENSG00000187608	phase18_exact	phase18	77	36	TRUE	TRUE	TRUE	0.839908930143978	TRUE		TRUE		-1.3140804194972	-0.101315465430763	1.03320977868211	6
45	B3GALT6	ENSG00000176022	phase18_exact	phase18	76	31	TRUE	TRUE	TRUE	0.677517297531273	TRUE		TRUE		-1.03927861930211	0.00760954238889801	0.855285331034154	7
49	LINC01786	ENSG00000230415	phase18_exact	phase18	77	34	TRUE	TRUE	TRUE	0.571027735028709	TRUE		TRUE		-4.39627298269339	-0.409485933687378	0.51171124263625	8
50	SCNN1D	ENSG00000162572	phase18_exact	phase18	78	46	TRUE	TRUE	TRUE	0.283592605748877	TRUE		TRUE		-0.527138100706745	0.123728887969727	0.782606702968226	9
52	PUSL1	ENSG00000169972	phase18_exact	phase18	62	20	TRUE	TRUE	TRUE	1.21129423371244	TRUE		TRUE		-1.99948548810588	-0.188120530323587	0.882755377283097	10
55	CPTP	ENSG00000224051	phase18_exact	phase18	77	31	TRUE	TRUE	TRUE	0.394228176053705	TRUE		TRUE		-0.822956703114208	-0.0558329063047875	0.647647187550993	11
59	AURKAIP1	ENSG00000175756	phase18_exact	phase18	78	50	TRUE	TRUE	TRUE	0.538633122379567	TRUE		TRUE		-1.28195365433792	-0.254621505483553	0.661882349372776	12
61	MRPL20-AS1	ENSG00000224870	exact	unique_symbol	58	16	TRUE	TRUE	TRUE	1.14549221698408	TRUE		TRUE		-2.24250345271796	-0.246724662212009	0.880746027699818	13
62	MRPL20	ENSG00000242485	phase18_exact	phase18	78	55	TRUE	TRUE	TRUE	0.203666834840101	TRUE		TRUE		-0.618610027064071	-0.0191774841069561	0.53730808687464	14
64	ANKRD65	ENSG00000235098	phase18_exact	phase18	74	28	TRUE	TRUE	TRUE	0.986981466412731	TRUE		TRUE		-1.25218129206055	0.121968052642634	1.24506047688878	15
68	VWA1	ENSG00000179403	phase18_exact	phase18	78	55	TRUE	TRUE	TRUE	0.445413026546319	TRUE		TRUE		-0.691668474280349	0.113279615314717	0.871973052051121	16
69	ATAD3C	ENSG00000215915	phase18_exact	phase18	75	28	TRUE	TRUE	TRUE	0.722880964694494	TRUE		TRUE		-2.11766547032976	-0.316154832775157	0.674069583231762	17
70	ATAD3B	ENSG00000160072	phase18_exact	phase18	78	53	TRUE	TRUE	TRUE	0.169850565535853	TRUE		TRUE		-0.611694300542701	0.021765164638144	0.490524531366937	18
71	ATAD3A	ENSG00000197785	phase18_exact	phase18	78	46	TRUE	TRUE	TRUE	0.166288171329333	TRUE		TRUE		-0.559905296138053	-0.0392850458056976	0.398951784123614	19
72	TMEM240	ENSG00000205090	phase18_exact	phase18	78	47	TRUE	TRUE	TRUE	0.377630653530891	TRUE		TRUE		-0.695027558758326	-0.01219464268716	0.711994018149157	20
73	SSU72	ENSG00000160075	phase18_exact	phase18	77	56	TRUE	TRUE	TRUE	0.624904013044633	TRUE		TRUE		-5.75581393414421	-0.150330000112064	0.542918957598861	21
75	FNDC10	ENSG00000228594	phase18_exact	phase18	51	16	TRUE	TRUE	TRUE	1.59161771454007	TRUE		TRUE		-2.18870238469598	-0.199067745533996	1.09444895636468	22
79	MMP23B	ENSG00000189409	phase18_exact	phase18	16	10	TRUE	TRUE	TRUE	1.64824962884619	TRUE		TRUE		-1.53485073614074	0.181672370342699	1.55036916916915	23
80	CDK11B	ENSG00000248333	phase18_exact	phase18	78	46	TRUE	TRUE	TRUE	0.270070735438535	TRUE		TRUE		-1.25925328896166	-0.175584777674271	0.483517126292283	24
83	CDK11A	ENSG00000008128	phase18_exact	phase18	77	55	TRUE	TRUE	TRUE	0.624681677641422	TRUE		TRUE		-5.23454226714147	-0.400267517245939	0.438224136127986	25
90	CFAP74	ENSG00000142609	phase18_exact	phase18	66	19	TRUE	TRUE	TRUE	0.993187231487912	TRUE		TRUE		-3.35940341324266	-0.555081935877822	0.647461213670193	26
92	GABRD	ENSG00000187730	phase18_exact	phase18	70	31	TRUE	TRUE	TRUE	1.23031976864806	TRUE		TRUE		-1.53579900268252	0.0803809552107747	1.19118571400769	27
101	MORN1	ENSG00000116151	phase18_exact	phase18	77	39	TRUE	TRUE	TRUE	0.440131588317652	TRUE		TRUE		-4.0860968655893	-0.312432296643809	0.373991696213815	28
105	PEX10	ENSG00000157911	phase18_exact	phase18	78	48	TRUE	TRUE	TRUE	0.347163364800332	TRUE		TRUE		-0.731945432287628	-0.0643798456136827	0.616099402213953	29
106	PLCH2	ENSG00000149527	phase18_exact	phase18	66	20	TRUE	TRUE	TRUE	1.14769304943655	TRUE		TRUE		-1.92194468897755	-0.0494744058372292	1.04755255470393	30
109	PANK4	ENSG00000157881	phase18_exact	phase18	77	37	TRUE	TRUE	TRUE	0.507600808721962	TRUE		TRUE		-4.30803860566845	-0.370568022400933	0.471528806587279	31
110	HES5	ENSG00000197921	phase18_exact	phase18	44	28	TRUE	TRUE	TRUE	4.84029815415873	TRUE		TRUE		-2.98249508937819	-0.519112497331532	1.97417713135715	32
113	TNFRSF14	ENSG00000157873	phase18_exact	phase18	76	38	TRUE	TRUE	TRUE	1.01609260467924	TRUE		TRUE		-4.56365227892475	-0.407317292735682	0.676018350663272	33
115	PRXL2B	ENSG00000157870	exact	unique_symbol	73	24	TRUE	TRUE	TRUE	0.506609052302375	TRUE		TRUE		-1.49028437806823	-0.297744998098107	0.521365624187226	34
118	TTC34	ENSG00000215912	phase18_exact	phase18	53	17	TRUE	TRUE	TRUE	1.32369680204316	TRUE		TRUE		-2.06417882352411	-0.0898441438278521	1.09091967828475	35
126	PRDM16-DT	ENSG00000177133	exact	unique_symbol	74	30	TRUE	TRUE	TRUE	0.936114658677932	TRUE		TRUE		-3.4628512388291	-0.502809683980268	0.615778223345486	36
127	PRDM16	ENSG00000142611	phase18_exact	phase18	78	49	TRUE	TRUE	TRUE	0.938087578683517	TRUE		TRUE		-2.23172645545978	-0.487601441623369	0.724840121617662	37
134	MEGF6	ENSG00000162591	phase18_exact	phase18	34	12	TRUE	TRUE	TRUE	1.51184483555267	TRUE		TRUE		-2.35378229057858	-0.174421062131045	1.1676438078384	38
136	TPRG1L	ENSG00000158109	phase18_exact	phase18	78	38	TRUE	TRUE	TRUE	0.193232793882619	TRUE		TRUE		-0.51677682720713	0.0206380680967905	0.588046867271045	39
137	WRAP73	ENSG00000116213	phase18_exact	phase18	77	48	TRUE	TRUE	TRUE	0.440808083098238	TRUE		TRUE		-4.48134514226127	-0.169446849458822	0.560917840149118	40
138	TP73	ENSG00000078900	phase18_exact	phase18	55	18	TRUE	TRUE	TRUE	1.16437449970693	TRUE		TRUE		-2.13956726436402	-0.207275630917646	0.804148887446854	41
146	DFFB	ENSG00000169598	phase18_exact	phase18	77	53	TRUE	TRUE	TRUE	0.51477191664428	TRUE		TRUE		-4.97006913040498	-0.405116191659469	0.318164126104213	42
147	C1orf174	ENSG00000198912	phase18_exact	phase18	76	33	TRUE	TRUE	TRUE	0.680843191926115	TRUE		TRUE		-4.23486124115722	-0.500693803135178	0.518074865497344	43
157	AJAP1	ENSG00000196581	phase18_exact	phase18	78	72	TRUE	TRUE	TRUE	0.415742222724964	TRUE		TRUE		-0.839079191714739	0.0334720131516442	0.809452894631257	44
168	KCNAB2	ENSG00000069424	phase18_exact	phase18	77	53	TRUE	TRUE	TRUE	0.588732593635259	TRUE		TRUE		-5.36653514560297	-0.39237706700874	0.333736592282606	45
169	CHD5	ENSG00000116254	phase18_exact	phase18	78	53	TRUE	TRUE	TRUE	0.617623665259121	TRUE		TRUE		-1.2073353645745	-0.142434557651082	0.710544485002223	46
