MXRA8	PRSS51
AURKAIP1	CLIC1
PIK3CD	SLC19A1
FBLIM1	TNFAIP6
CDA	CD34
ZNF436-AS1	SCN2B
SH3BGRL3	PHB2
DLGAP3	PNMA3
C1orf122	PRDX2
SLC2A1	INPP5D
SLC2A1	VWF
RNF220	COL13A1
PRDX1	C1orf122
PRDX1	RPS26
PRDX1	RPS19BP1
ORC1	SERF1B
ORC1	KDM5C-IT1
DAB1	CCDC102B
PTGFR	ALDH1A1
LINC01776	KBTBD11-OT1
S1PR1	MYCT1
CYB561D1	GLIS1
SLC6A17	ENPEP
SLC6A17	PDE10A
OVGP1	CARD16
LINC01356	NTSR2
HIST2H2AC	PIGW
S100A10	CAVIN2
S100A10	SLC9A3R2
S100A10	RAMP2
S100A10	BSG
RPS27	UBL5
CADM3	RHBDL2
TAGLN2	TUBB4B
TAGLN2	CRIP2
TAGLN2	VAT1
ATP1A2	CMIP
USF1	BORCS6
ADAMTS4	C11orf96
FMO2	PLD1
FMO2	BHMT2
C1orf105	PTGFRN
CACYBP	BAG3
TNR	BRINP3
NMNAT2	LY86-AS1
NMNAT2	GRM5
NMNAT2	CUX2
HSD11B1	MXRA8
HSD11B1	NAA11
HSD11B1	ABCA9-AS1
HSD11B1	EDN3
LYPLAL1-DT	CORO6
OR2M4	ALDOB
OR2M4	PRR22
RPS7	MRPL36
RPS7	PUF60
RPS7	RAB34
LINC00570	CPLX3
VSNL1	GABRG2
VSNL1	OLFM1
DRC1	ZNF200
FOSL2	MAFK
VIT	PTGFR
VIT	HSD11B1
VIT	IGFBP5
VIT	LINC02058
VIT	LINC01482
GEMIN6	GPATCH3
LINC01126	LRRC70
LHCGR	TNFRSF19
LHCGR	FLRT2
LHCGR	RAMP2-AS1
RPS27A	PSMB6
TMSB10	S100A10
TMSB10	RPS23
TMSB10	IFI27
ST3GAL5	LHCGR
ST3GAL5	KCNK17
ST3GAL5	ALDH1A1
ST3GAL5	ZEB1-AS1
ST3GAL5	CXCL12
ST3GAL5	KIAA1755
IL1RL1	IL18R1
FHL2	WDR66
CNTNAP5	SHANK2
LIMS2	PDGFB
DPP4	PFKFB1
CERS6-AS1	PRR26
SPC25	TMLHE-AS1
ITGA6	PAQR5
HSPD1	HSPB1
HSPD1	HSP90AA1
PLCL1	IGFBP4
LINC01877	PSD4
GLB1L	CCNB1
PTPRN	NGEF
COL4A4	RGL3
HES6	VPS25
LINC01237	CXCL12
SLC6A1	ATP1A2
SLC6A1	SLC6A1-AS1
SLC6A1	ANGPT2
SLC6A1	NCALD
SLC6A1	ANO3
TIMP4	IGFBP3
TIMP4	ZNF408
FBLN2	MDFIC
FBLN2	FERMT1
SATB1-AS1	GRIK1
CSRNP1	CRY1
MOBP	SHTN1
MOBP	SH3GL3
KRBOX1	ATP1A4
SLC6A20	LINC01088
HYAL2	ADAM15
MANF	HYOU1
RPL29	ARL2
RPL29	CIAO2B
RPL29	UBA52
POC1A	ENTR1
STAB1	CFTR
PTPRG-AS1	SPC25
ADAMTS9	ABHD5
ADAMTS9	ADAMTS9-AS1
ADAMTS9	ADAMTS1
COX17	TCEAL1
GATA2	ACVRL1
ATP1B3	SSTR2
ATP1B3	JUNB
ATP1B3	GPR4
ATP1B3	MAFF
TM4SF1	LCN6
CLDN11	F3
CLDN11	KCNK2
CLDN11	C7
CLDN11	GPNMB
CLDN11	ROR2
CLDN11	ALDH1A2
PLD1	FGF13
MRFAP1	BUD31
MRFAP1	EMC6
NSUN7	ASH1L-AS1
UCHL1	LINC00599
UCHL1	SNHG25
GABRG1	ZNF98
PDGFRA	ERRFI1
LINC01088	KLF15
