feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
14	LINC01409	ENSG00000237491	exact	unique_symbol	78	78	TRUE	TRUE	TRUE	0.0800562916933996	TRUE		TRUE		-0.300949826848743	-0.0384614360574257	0.387150974897418	0
17	LINC00115	ENSG00000225880	phase18_exact	phase18	58	74	TRUE	TRUE	TRUE	0.445937515716815	TRUE		TRUE		-0.609515884410928	0.0730935821722694	1.05822588804286	1
18	FAM41C	ENSG00000230368	phase18_exact	phase18	73	73	TRUE	TRUE	TRUE	0.322418266390481	TRUE		TRUE		-0.65545605705514	0.046084717587451	0.781771974231951	2
25	KLHL17	ENSG00000187961	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.199129893568638	TRUE		TRUE		-0.441279198148205	0.0584334477962441	0.68737645835208	3
29	HES4	ENSG00000188290	phase18_exact	phase18	77	77	TRUE	TRUE	TRUE	0.955959495433255	TRUE		TRUE		-1.59306573207284	-0.294628418533757	1.03622254912921	4
30	ISG15	ENSG00000187608	phase18_exact	phase18	45	75	TRUE	TRUE	TRUE	0.54638942883502	TRUE		TRUE		-0.434310306720089	0.489183994142617	3.89007598984024	5
32	AGRN	ENSG00000188157	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.127886991557171	TRUE		TRUE		-0.326786142438361	0.110334227871879	0.50404853298081	6
36	C1orf159	ENSG00000131591	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0782160903305303	TRUE		TRUE		-0.235109085773021	0.100284471015035	0.641250910153889	7
42	TNFRSF18	ENSG00000186891	phase18_exact	phase18	28	75	TRUE	TRUE	TRUE	0.518399969971609	TRUE		TRUE		-0.703771868535072	0.11907198352501	1.02481909216334	8
44	SDF4	ENSG00000078808	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.10039629114471	TRUE		TRUE		-0.388846920176452	-0.0475002777256417	0.362885606720802	9
45	B3GALT6	ENSG00000176022	phase18_exact	phase18	78	76	TRUE	TRUE	TRUE	0.146487881657391	TRUE		TRUE		-0.39784220253142	0.0593369991334595	0.540085923498565	10
49	LINC01786	ENSG00000230415	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.085744060009221	TRUE		TRUE		-0.62294575222173	-0.163962191333731	0.234575046854962	11
50	SCNN1D	ENSG00000162572	phase18_exact	phase18	78	76	TRUE	TRUE	TRUE	0.148268050542126	TRUE		TRUE		-0.526614972516555	-0.0417679575251077	0.437411206717101	12
51	ACAP3	ENSG00000131584	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.0630237368905402	TRUE		TRUE		-0.433570657040209	-0.019439080013785	0.245943948540782	13
52	PUSL1	ENSG00000169972	phase18_exact	phase18	62	73	TRUE	TRUE	TRUE	0.180226848264621	TRUE		TRUE		-0.459623304989119	0.109194215068899	0.572303076709547	14
53	INTS11	ENSG00000127054	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0647453406949065	TRUE		TRUE		-0.279082238448217	0.00958936050293431	0.37780665154341	15
55	CPTP	ENSG00000224051	phase18_exact	phase18	78	76	TRUE	TRUE	TRUE	0.133050524492256	TRUE		TRUE		-0.427980323005056	0.0441780605914581	0.480281242743581	16
57	DVL1	ENSG00000107404	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.069434846555083	TRUE		TRUE		-0.329110398092728	0.0182987167215161	0.303651313958445	17
59	AURKAIP1	ENSG00000175756	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.408123705277712	TRUE		TRUE		-0.652185523875047	0.207676658847486	1.17847931538632	18
61	MRPL20-AS1	ENSG00000224870	exact	unique_symbol	47	74	TRUE	TRUE	TRUE	0.181429564208949	TRUE		TRUE		-0.47631280876539	-0.0184297973299998	0.521862222939102	19
62	MRPL20	ENSG00000242485	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0776130525862557	TRUE		TRUE		-0.26694094720457	0.0746790459594039	0.609021077924797	20
64	ANKRD65	ENSG00000235098	phase18_exact	phase18	68	76	TRUE	TRUE	TRUE	0.519167671351899	TRUE		TRUE		-0.905795659928859	0.0703318137085356	0.953437430009684	21
