feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
18	FAM41C	ENSG00000230368	phase18_exact	phase18	67	19	TRUE	TRUE	TRUE	0.769844615691784	TRUE		TRUE		-3.49777511429267	-0.516355632669996	0.584562898556314	0
29	HES4	ENSG00000188290	phase18_exact	phase18	64	23	TRUE	TRUE	TRUE	1.36893309656096	TRUE		TRUE		-1.78092034414112	-0.14573735484931	1.18371666432193	1
30	ISG15	ENSG00000187608	phase18_exact	phase18	74	25	TRUE	TRUE	TRUE	1.3186972108937	TRUE		TRUE		-0.964037478919746	0.396751074113786	3.20621641490483	2
32	AGRN	ENSG00000188157	phase18_exact	phase18	74	25	TRUE	TRUE	TRUE	0.630653754739299	TRUE		TRUE		-1.54306591036957	-0.131421445752834	0.786805472258032	3
43	TNFRSF4	ENSG00000186827	phase18_exact	phase18	32	9	TRUE	TRUE	TRUE	1.47364403288785	TRUE		TRUE		-2.359256560368	-0.220265892144466	1.2082765622816	4
46	C1QTNF12	ENSG00000184163	phase18_exact	phase18	24	8	TRUE	TRUE	TRUE	1.49601297622012	TRUE		TRUE		-2.01776504588718	0.0330942075511356	1.31407332630505	5
49	LINC01786	ENSG00000230415	phase18_exact	phase18	55	18	TRUE	TRUE	TRUE	1.34895807985657	TRUE		TRUE		-2.69004933042868	-0.562806147707734	0.773320711388854	6
50	SCNN1D	ENSG00000162572	phase18_exact	phase18	76	32	TRUE	TRUE	TRUE	0.668746464554055	TRUE		TRUE		-3.6014870548067	-0.24663659501602	0.648099795702288	7
52	PUSL1	ENSG00000169972	phase18_exact	phase18	51	13	TRUE	TRUE	TRUE	1.26005442514008	TRUE		TRUE		-2.62436571868636	-0.325393832083583	0.970653733814509	8
64	ANKRD65	ENSG00000235098	phase18_exact	phase18	36	11	TRUE	TRUE	TRUE	1.57577828045318	TRUE		TRUE		-1.76174216672266	-0.047353332199002	1.17785107431698	9
68	VWA1	ENSG00000179403	phase18_exact	phase18	50	17	TRUE	TRUE	TRUE	1.38514855961619	TRUE		TRUE		-1.72199432851906	-0.138135775100023	1.11853708709749	10
75	FNDC10	ENSG00000228594	phase18_exact	phase18	64	16	TRUE	TRUE	TRUE	1.11565362003986	TRUE		TRUE		-3.39478387443257	-0.619907664721567	0.618681974593562	11
79	MMP23B	ENSG00000189409	phase18_exact	phase18	25	8	TRUE	TRUE	TRUE	1.26693025301728	TRUE		TRUE		-2.11471148308703	-0.0396534497818203	1.03422953293067	12
101	MORN1	ENSG00000116151	phase18_exact	phase18	77	44	TRUE	TRUE	TRUE	0.783838247512277	TRUE		TRUE		-4.99734371869572	-0.328475995697712	0.716006603868477	13
106	PLCH2	ENSG00000149527	phase18_exact	phase18	72	22	TRUE	TRUE	TRUE	0.811211107036792	TRUE		TRUE		-1.42918762295142	-0.211576945994631	0.861330981973047	14
112	TNFRSF14-AS1	ENSG00000238164	phase18_exact	phase18	71	22	TRUE	TRUE	TRUE	1.01731295531439	TRUE		TRUE		-3.96472364494147	-0.654476027623641	0.627071203249241	15
115	PRXL2B	ENSG00000157870	exact	unique_symbol	72	22	TRUE	TRUE	TRUE	0.693991595864903	TRUE		TRUE		-2.13361307644068	-0.310267415995764	0.614493963223685	16
118	TTC34	ENSG00000215912	phase18_exact	phase18	67	19	TRUE	TRUE	TRUE	0.76250828531667	TRUE		TRUE		-2.48912802336875	-0.315663229401392	0.618259293312959	17
126	PRDM16-DT	ENSG00000177133	exact	unique_symbol	25	11	TRUE	TRUE	TRUE	1.72350644989315	TRUE		TRUE		-1.68562037374421	0.200506718179099	1.72140507137575	18
127	PRDM16	ENSG00000142611	phase18_exact	phase18	62	22	TRUE	TRUE	TRUE	1.63088724801827	TRUE		TRUE		-2.73129839194812	-0.470376805075896	1.01007626224566	19
134	MEGF6	ENSG00000162591	phase18_exact	phase18	40	14	TRUE	TRUE	TRUE	1.33840087424702	TRUE		TRUE		-2.50794562754046	-0.229200180980304	1.10811751120284	20
142	SMIM1	ENSG00000235169	phase18_exact	phase18	31	10	TRUE	TRUE	TRUE	1.49284377682127	TRUE		TRUE		-2.11143595199127	-0.209184367225172	1.15900400762559	21
148	LINC01134	ENSG00000236423	phase18_exact	phase18	68	28	TRUE	TRUE	TRUE	1.60846039672283	TRUE		TRUE		-2.93818543784746	-0.338618284382497	1.1003880464591	22
176	GPR153	ENSG00000158292	phase18_exact	phase18	56	18	TRUE	TRUE	TRUE	1.54253889167577	TRUE		TRUE		-2.33059573986969	-0.190852648055524	1.13410185395436	23
183	PLEKHG5	ENSG00000171680	phase18_exact	phase18	78	61	TRUE	TRUE	TRUE	0.626933455845293	TRUE		TRUE		-1.05173244596958	-0.207046824806973	0.772765472563989	24
185	TAS1R1	ENSG00000173662	phase18_exact	phase18	38	14	TRUE	TRUE	TRUE	1.99086035122614	TRUE		TRUE		-1.92594609284989	0.248653999461789	1.70818677615766	25
193	CAMTA1-DT	ENSG00000237436	phase18_exact	phase18	68	18	TRUE	TRUE	TRUE	0.802109221906914	TRUE		TRUE		-2.17452085490977	-0.375157698573201	0.75011042702658	26
