node_order	source_symbol
0	FAM41C
1	HES4
2	ISG15
3	AGRN
4	TNFRSF4
5	C1QTNF12
6	LINC01786
7	SCNN1D
8	PUSL1
9	ANKRD65
10	VWA1
11	FNDC10
12	MMP23B
13	MORN1
14	PLCH2
15	TNFRSF14-AS1
16	PRXL2B
17	TTC34
18	PRDM16-DT
19	PRDM16
20	MEGF6
21	SMIM1
22	LINC01134
23	GPR153
24	PLEKHG5
25	TAS1R1
26	CAMTA1-DT
27	SLC45A1
28	RERE-AS1
29	GPR157
30	PIK3CD-AS2
31	RBP7
32	CENPS
33	CORT
34	MASP2
35	MTOR-AS1
36	ANGPTL7
37	DISP3
38	FBXO2
39	DRAXIN
40	C1orf167
41	NPPA
42	TNFRSF8
43	LRRC38
44	KAZN-AS1
45	C1orf195
46	FHAD1
47	CELA2B
48	AGMAT
49	SLC25A34
50	FBLIM1
51	UQCRHL
52	FAM131C
53	EPHA2
54	ARHGEF19
55	SPATA21
56	PADI1
57	IGSF21-AS1
58	MICOS10
59	LINC01141
60	KIF17
61	SH2D5
62	ECE1
63	NBPF3
64	HSPG2
65	CDC42-AS1
66	EPHA8
67	TCEA3
68	ASAP3
69	E2F2
70	ID3
71	CNR2
72	LINC02800
73	GRHL3
74	NCMAP
75	RHD
76	RHCE
77	AUNIP
78	EXTL1
79	TRIM63
80	ZNF593
81	CNKSR1
82	TRNP1
83	SYTL1
84	MAP3K6
85	FGR
86	IFI6
87	SMPDL3B
88	RAB42
89	LINC01715
90	OPRD1
91	PTPRU
92	MATN1-AS1
93	NKAIN1
94	FABP3
95	SERINC2
96	IQCC
97	DCDC2B
98	MARCKSL1
99	ZBTB8B
100	FNDC5
101	HPCA
102	TMEM54
103	AZIN2
104	A3GALT2
105	DLGAP3
106	ZMYM4-AS1
107	CLSPN
108	EVA1B
109	GRIK3
110	ZC3H12A
111	DNALI1
112	CDCA8
113	EPHA10
114	MANEAL
115	POU3F1
116	MIR3659HG
117	BMP8A
118	PABPC4-AS1
119	HEYL
120	BMP8B
121	LINC02811
122	MYCL
123	MFSD2A
124	CITED4
125	ZMYND12
126	TMEM269
127	SLC2A1
128	SLC2A1-AS1
129	CFAP57
130	TMEM125
131	TIE1
132	KDM4A-AS1
133	SLC6A9
134	KIF2C
135	CCDC163
136	MMACHC
137	CCDC17
138	LURAP1
139	RAD54L
140	MKNK1-AS1
141	EFCAB14-AS1
142	CYP4Z1
143	CYP4A22-AS1
144	STIL
145	LINC01389
146	SLC5A9
147	BEND5
148	CDKN2C
149	LINC01562
150	TTC39A
151	RAB3B
152	KTI12
153	ORC1
154	LINC01771
155	LINC02812
156	DIO1
157	FAM151A
158	PARS2
159	MIR4422HG
160	PLPP3
161	LINC02777
162	HOOK1
163	CYP2J2
164	LINC01748
165	NFIA-AS2
166	L1TD1
167	KANK4
168	ANGPTL3
169	LINC01739
170	DLEU2L
171	ROR1-AS1
172	UBE2U
173	RAVER2
174	LINC01359
175	AK4
