MRPL20	LINC00599
TMEM240	SPRY2
TMEM240	PGP
SSU72	RAB15
GABRD	TENM3-AS1
GABRD	OIT3
GABRD	TOMM40
TNFRSF14	LINC00634
KCNAB2	GPRASP2
CHD5	KIFC2
CHD5	MAST3
PARK7	MRPL24
MIR34AHG	EDA2R
MTOR-AS1	ARL13A
PLOD1	PXN-AS1
PLOD1	ARSD
C1orf195	FRMD6-AS2
CELA2B	C1orf194
CELA2B	ITGB3
SPATA21	CRYGS
SPATA21	LINC01618
LINC01772	LOR
CROCC	SELENOV
IFFO2	FAM114A2
MRTO4	PNO1
MRTO4	RRP36
MRTO4	NOC3L
MRTO4	SETD6
MICOS10	MOGS
PINK1	NSG1
DDOST	HSD17B8
DDOST	PLLP
DDOST	LMF2
HP1BP3	SP140
HP1BP3	LINC01983
HP1BP3	ZNF117
HP1BP3	AP5M1
HP1BP3	CFAP161
HP1BP3	ENOSF1
HP1BP3	LINC02556
ZBTB40	ZNF547
ZNF436-AS1	C21orf91-OT1
RPL11	PKD2L2
RPL11	RPS18
RPL11	B2M
RCAN3	RAMACL
CSMD2-AS1	SLCO4A1
ZMYM4-AS1	OPA1-AS1
ZMYM4-AS1	ST7-AS2
ZMYM4-AS1	ASPN
ZMYM4-AS1	EDRF1-AS1
ZMYM4-AS1	FGF14-AS1
ZMYM4-AS1	LINC01586
ZMYM4-AS1	GCNT7
C1orf216	MEA1
STK40	RASSF4
C1orf122	NOP10
MIR3659HG	MIR34AHG
MIR3659HG	TNFRSF10B
MYCBP	PHOSPHO2
MYCBP	C4orf51
MYCBP	STAB2
GJA9	MKNK1-AS1
RHBDL2	CARNMT1-AS1
RHBDL2	GEMIN7-AS1
NDUFS5	JAGN1
NDUFS5	NDUFC1
NDUFS5	COX7C
NDUFS5	CFL2
NDUFS5	MYDGF
NDUFS5	CHMP2A
NDUFS5	URB1-AS1
HPCAL4	SYP
ZFP69	TRAM1L1
ZFP69	BOD1
ZFP69	C7orf25
ZFP69	TACO1
ZFP69	DUS3L
ZFP69	POLR3H
CITED4	EEF1A2
RIMKLA	TBC1D16
HYI	SLC37A4
KDM4A-AS1	FOXP1-AS1
KDM4A-AS1	WWC2-AS1
KDM4A-AS1	CYP3A5
KDM4A-AS1	CASC19
KDM4A-AS1	SSTR1
KDM4A-AS1	OVOL2
KDM4A-AS1	ZNF337-AS1
ATP6V0B	CSKMT
RPS8	TXN
RPS8	ARRDC1-AS1
RPS8	COX7B
PRDX1	YIPF3
PRDX1	GNB2
PRDX1	HSPA8
PRDX1	UBC
CYP4X1	MAL2
SLC5A9	PCAT6
SLC5A9	NUBP1
LINC01562	PTGES3L
CC2D1B	NOCT
DAB1-AS1	HTT-AS
JUN	ITGA8
JUN	TRIM47
LINC01135	DUS1L
AL139294.1	GNG12-AS1
AL139294.1	APOBEC4
LEPR	XPO1
LEPR	ADAMTS9-AS2
LEPR	SNX31
LEPR	MARCH2
GADD45A	S100A16
GADD45A	EFNA1
GADD45A	BTG2
GADD45A	AMOTL2
GADD45A	LINC01301
GADD45A	ATP1B2
GADD45A	MTFP1
GNG12-AS1	CDKN2B
WLS	DIRAS3
ZRANB2-AS1	LIMD1-AS1
ZRANB2-AS1	NLGN1-AS1
ZRANB2-AS1	LCA5
LRRC53	ARAP1-AS2
CRYZ	POLM
TYW3	ACP1
TYW3	NOMO2
RABGGTB	REXO2
ST6GALNAC5	SLC38A11
ST6GALNAC5	GALNT18
ST6GALNAC5	HS3ST2
ST6GALNAC5	SRCIN1
ST6GALNAC5	CCBE1
ADGRL2	LINC01197
RPF1	IFIT5
LINC01364	NODAL
LINC01364	PKD1L3
GBP2	FAT4
RPL5	C1orf56
RPL5	AP1S1
RPL5	NME3
RPL5	H3F3B
CCDC18	NUP210L
RTCA	RNF20
RTCA	LINC01551
OLFM3	ZNF385B
OLFM3	GABRB2
OLFM3	KIAA0319
OLFM3	SKAP2
OLFM3	CBLN2
AHCYL1	FEM1C
SLC6A17	CAMKV
LAMTOR5	NHP2
LAMTOR5	RNF5
LAMTOR5	CUTA
LAMTOR5	TOMM6
LAMTOR5	ENHO
LAMTOR5	COX6A1
LAMTOR5	SERF2
LAMTOR5	OAZ1
KCND3	CENPJ
RHOC	BCAP31
