shortlist_rank	priority_tier	gene	context_effect_rank	contrast_id	rds_id	cell_type	sex	apoe_group	yu_stratum	logFC	fdr	cells_ad	cells_nci	donors_ad	donors_nci
1	A	ATP5IF1	1	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	F_e4x	-1.45219	4.22487e-95	15950	14571	26	11
1	A	ATP5IF1	2	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e2	inhibitory	Inh CUX2 MSR1	Male	e2	M_e2x	-1.30382	0.000388814	342	322	7	6
1	A	ATP5IF1	3	opcs::OPC::AD_vs_NCI__Male__e2	opcs	OPC	Male	e2	M_e2x	-1.17965	3.54048e-05	1320	1404	7	6
1	A	ATP5IF1	4	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Male__e4	inhibitory	Inh ENOX2 SPHKAP	Male	e4	M_e4x	-1.1061	0.00643561	711	240	25	10
1	A	ATP5IF1	5	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Female	e4	F_e4x	-1.10544	0.000103485	1824	916	26	11
1	A	ATP5IF1	6	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	excitatory_set3	Exc RELN CHD7	Female	e4	F_e4x	-1.02935	3.53852e-07	884	736	24	11
1	A	ATP5IF1	7	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	-0.983795	1.75053e-12	2069	3140	7	6
1	A	ATP5IF1	8	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	-0.919078	3.46241e-06	1249	1339	7	6
1	A	ATP5IF1	9	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	-0.914092	0.000330876	732	581	7	6
1	A	ATP5IF1	10	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	oligodendrocytes	Oli	Male	e2	M_e2x	-0.865828	2.55015e-20	9717	5807	7	6
1	A	ATP5IF1	11	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	M_e2x	-0.856005	1.08067e-37	4010	3277	7	6
1	A	ATP5IF1	12	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	excitatory_set3	Exc NRGN	Male	e4	M_e4x	-0.814412	0.00036669	4828	461	27	10
1	A	ATP5IF1	13	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	excitatory_set3	Exc L5/6 IT Car3	Female	e4	F_e4x	-0.814281	1.37082e-05	1113	561	25	11
1	A	ATP5IF1	14	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e4	excitatory_set3	Exc RELN CHD7	Male	e4	M_e4x	0.801142	0.0221107	5746	397	26	10
1	A	ATP5IF1	15	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	excitatory_set3	Exc NRGN	Male	e33	M_e33	-0.755276	7.6605e-09	4383	6868	28	52
1	A	ATP5IF1	16	inhibitory::Inh PVALB HTR4::AD_vs_NCI__Female__e4	inhibitory	Inh PVALB HTR4	Female	e4	F_e4x	-0.701559	0.00669088	2139	1553	25	11
1	A	ATP5IF1	17	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	excitatory_set3	Exc NRGN	Male	e2	M_e2x	0.652498	0.0216958	545	1905	7	6
1	A	ATP5IF1	18	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Male__e4	inhibitory	Inh CUX2 MSR1	Male	e4	M_e4x	-0.623361	0.0240104	1387	534	27	10
