schema_version	broad_network	key_driver	significant_runs	fine_cell_types	primary_runs	secondary_runs	global_calls	minimum_adjusted_p_value	maximum_fold_enrichment	eligible_primary_runs	eligible_secondary_runs	eligible_runs	eligible_fine_cell_types	recurrence_fraction	primary_recurrence_fraction	secondary_recurrence_fraction	fine_cell_coverage_fraction	global_call_fraction	minus_log10_minimum_adjusted_p	log2_maximum_fold_enrichment	minimum_adjusted_p_strength	maximum_fold_enrichment_strength	sector_id	network_color	display_network	selection_rank
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-CO2	38	3	15	23	38	9.04920201192261e-17	315.53	52	45	97	3	0.391752577319588	0.288461538461538	0.511111111111111	1	1	16.0433897166068	8.3016333702397	0.641735588664272	0.691802780853308	driver_001	#009E73	Astrocytes	1
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-CO3	31	3	14	17	2	3.15908591764718e-13	268	52	45	97	3	0.319587628865979	0.269230769230769	0.377777777777778	1	0.0645161290322581	12.5004385624289	8.06608919045777	0.500017542497157	0.672174099204814	driver_002	#009E73	Astrocytes	2
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ATP6	31	3	14	17	0	1.93350442310065e-09	402	52	45	97	3	0.319587628865979	0.269230769230769	0.377777777777778	1	0	8.71365483009414	8.65105169117893	0.348546193203766	0.720920974264911	driver_003	#009E73	Astrocytes	3
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND1	22	3	11	11	3	4.95119360899929e-06	1206	52	45	97	3	0.22680412371134	0.211538461538462	0.244444444444444	1	0.136363636363636	5.3052900909022	10.2360141919001	0.212211603636088	0.85300118265834	driver_004	#009E73	Astrocytes	4
mitochondrial_kda_key_driver_summary_v1	Astrocytes	RPL13	21	3	8	13	19	9.75690031969552e-06	128.57	52	45	97	3	0.216494845360825	0.153846153846154	0.288888888888889	1	0.904761904761905	5.01068813190944	7.00641023912548	0.200427525276377	0.583867519927123	driver_005	#009E73	Astrocytes	5
mitochondrial_kda_key_driver_summary_v1	Vasculature_cells	MT-CO3	29	2	10	19	29	1.08849467828376e-21	297.77	12	24	36	2	0.805555555555556	0.833333333333333	0.791666666666667	1	1	20.9631736899097	8.21805460107754	0.838526947596386	0.684837883423128	driver_006	#D55E00	Vasculature	1
mitochondrial_kda_key_driver_summary_v1	Vasculature_cells	MT-CO2	29	2	10	19	0	7.53010656865255e-12	403.3	12	24	36	2	0.805555555555556	0.833333333333333	0.791666666666667	1	0	11.1231988774712	8.65570959551851	0.44492795509885	0.721309132959876	driver_007	#D55E00	Vasculature	2
mitochondrial_kda_key_driver_summary_v1	Vasculature_cells	MT-ATP6	29	2	10	19	0	1.23914654957101e-08	887.78	12	24	36	2	0.805555555555556	0.833333333333333	0.791666666666667	1	0	7.90687732808214	9.79405839762017	0.316275093123285	0.816171533135014	driver_008	#D55E00	Vasculature	3
mitochondrial_kda_key_driver_summary_v1	Vasculature_cells	MT-ND1	20	2	7	13	0	0.000697597621347868	443.89	12	24	36	2	0.555555555555556	0.583333333333333	0.541666666666667	1	0	3.15639500892018	8.79405839762017	0.126255800356807	0.732838199801681	driver_009	#D55E00	Vasculature	4
mitochondrial_kda_key_driver_summary_v1	Vasculature_cells	MT-ND4	17	2	6	11	0	9.40132862615932e-08	303.33	12	24	36	2	0.472222222222222	0.5	0.458333333333333	1	0	7.02681076616256	8.24474438048613	0.281072430646502	0.687062031707178	driver_010	#D55E00	Vasculature	5
mitochondrial_kda_key_driver_summary_v1	Excitatory_neurons	MT-CO2	227	14	93	134	227	2.1527656696445e-27	2404.5	212	206	418	14	0.543062200956938	0.438679245283019	0.650485436893204	1	1	26.6670032409238	11.2315212108757	1	0.935960100906309	driver_011	#E69F00	Excitatory neurons	1
mitochondrial_kda_key_driver_summary_v1	Excitatory_neurons	MT-CYB	175	14	68	107	5	3.71356432085863e-11	1593.17	212	206	418	14	0.41866028708134	0.320754716981132	0.519417475728155	1	0.0285714285714286	10.4302090494777	10.6376845032336	0.417208361979109	0.886473708602799	driver_012	#E69F00	Excitatory neurons	2
