schema_version	figure	panel	kda_run_id	broad_network	driver	source	target	active_in_run	highlight_path	edge_style	line_width
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	ATP5PB	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	CHCHD10	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	CST3	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	HLA-A	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	LDHB	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	PLTP	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	TEX264	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	APOE	TUFM	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	ATP5PB	XRCC6	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	CST3	AGT	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	CST3	GJB6	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	CST3	SCRG1	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	CST3	SPARCL1	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	CST3	TSPAN7	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	LDHB	ATP5F1A	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	TUFM	NME3	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	TUFM	RMDN3	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	APOE	TUFM	ROGDI	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	ATP5IF1	EBNA1BP2	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	ATP5IF1	MZT2A	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	ATP5IF1	ZCRB1	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	ATP6V1D	TM2D3	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	CHCHD10	MRPL4	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	ELOC	HMOX2	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	ELOC	POMP	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	HMOX2	SLC3A2	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	ATP5IF1	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	ELOC	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	MAGEH1	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	NDUFA6	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	POP7	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	TMEM11	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	LAMTOR5	UQCRHL	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	MAGEH1	HDHD2	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	MAGEH1	TMEM126A	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	POMP	IKZF4	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	POMP	NDUFB6	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	POMP	PES1	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	POMP	PSMA7	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	POP7	ATP5MC2	TRUE	TRUE	highlighted_path	1.8
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	POP7	ATP6V1D	TRUE	FALSE	context	0.7
phase12_kda_network_figures_v1	wang_subnetworks	B	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	LAMTOR5	TMEM11	CHCHD10	TRUE	FALSE	context	0.7
