schema_version	broad_network	key_driver	mean_of_log_score	mean_of_log_score_standardized	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	mtDNA_encoded	network_display_order	driver_display_order_within_network	network_color	display_network	selection_rule	selected_network_count	sector_start_degrees	sector_end_degrees	sector_mid_degrees
phase12_kda_mean_of_log_summary_v1	Astrocytes	MT-CO2	2.46801985083669	1	34	34	1	8	0.235294117647059	TRUE	1	1	#009E73	Astrocytes	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	6	90	75.5238095238095	82.7619047619048
phase12_kda_mean_of_log_summary_v1	Astrocytes	MT-CO3	1.84836176068891	0.748924997528805	34	34	1	8	0.235294117647059	TRUE	1	2	#009E73	Astrocytes	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	4	74.5238095238095	60.047619047619	67.2857142857143
phase12_kda_mean_of_log_summary_v1	Astrocytes	MT-ATP6	1.46234770732125	0.592518616422593	34	34	1	8	0.235294117647059	TRUE	1	3	#009E73	Astrocytes	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	2	59.047619047619	44.5714285714286	51.8095238095238
phase12_kda_mean_of_log_summary_v1	Excitatory_neurons	MT-CO2	5.24827016973452	1	133	133	1	48	0.360902255639098	TRUE	2	1	#E69F00	Excitatory neurons	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	6	38.5714285714286	24.0952380952381	31.3333333333333
phase12_kda_mean_of_log_summary_v1	Excitatory_neurons	MT-CYB	2.38159189551985	0.453786070171064	133	133	1	36	0.270676691729323	TRUE	2	2	#E69F00	Excitatory neurons	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	2	23.0952380952381	8.61904761904762	15.8571428571429
phase12_kda_mean_of_log_summary_v1	Excitatory_neurons	COX6B1	1.93706132536415	0.369085672558304	133	133	1	25	0.18796992481203	FALSE	2	3	#E69F00	Excitatory neurons	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	1	7.61904761904762	-6.85714285714286	0.38095238095238
phase12_kda_mean_of_log_summary_v1	Inhibitory_neurons	MT-CO2	4.10333343768835	1	92	92	1	35	0.380434782608696	TRUE	3	1	#0072B2	Inhibitory neurons	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	6	-12.8571428571429	-27.3333333333333	-20.0952380952381
phase12_kda_mean_of_log_summary_v1	Inhibitory_neurons	MT-ND5	3.32402459785915	0.81007908529407	92	92	1	35	0.380434782608696	TRUE	3	2	#0072B2	Inhibitory neurons	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	1	-28.3333333333333	-42.8095238095238	-35.5714285714286
phase12_kda_mean_of_log_summary_v1	Inhibitory_neurons	MT-CYB	3.05441016095167	0.744372887881225	92	92	1	36	0.391304347826087	TRUE	3	3	#0072B2	Inhibitory neurons	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	2	-43.8095238095238	-58.2857142857143	-51.047619047619
phase12_kda_mean_of_log_summary_v1	Microglia	MT-CO2	6.04194045885107	1	12	12	1	6	0.5	TRUE	4	1	#CC79A7	Microglia	Top 3 MeanOfLog candidates per network with ranking coverage >= 0.8	6	-64.2857142857143	-78.7619047619048	-71.5238095238095
