schema_version	broad_network	key_driver	acat_combined_p	acat_negative_log10_p	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	acat_input_p_value	acat_na_action	mtDNA_encoded	network_display_order	acat_evidence_score_standardized	display_score_standardized	driver_display_order_within_network	network_color	display_network	selection_rule	ranking_method	selected_network_count	sector_start_degrees	sector_end_degrees	sector_mid_degrees
phase12_kda_acat_summary_v1	Astrocytes	MT-CO2	8.47577974587272e-18	17.0718203375199	34	34	1	8	0.235294117647059	raw_p_value	na.to1	TRUE	1	1	1	1	#009E73	Astrocytes	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	7	90	75.5238095238095	82.7619047619048
phase12_kda_acat_summary_v1	Astrocytes	MT-CO3	5.83313419217192e-14	13.234098032442	34	34	1	8	0.235294117647059	raw_p_value	na.to1	TRUE	1	0.77520134178993	0.77520134178993	2	#009E73	Astrocytes	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	5	74.5238095238095	60.047619047619	67.2857142857143
phase12_kda_acat_summary_v1	Astrocytes	MT-ATP6	5.41401411280107e-10	9.26648061648135	34	34	1	8	0.235294117647059	raw_p_value	na.to1	TRUE	1	0.542793939561078	0.542793939561078	3	#009E73	Astrocytes	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	2	59.047619047619	44.5714285714286	51.8095238095238
phase12_kda_acat_summary_v1	Excitatory_neurons	MT-CO2	1.57351300255509e-27	26.8031296639903	133	133	1	48	0.360902255639098	raw_p_value	na.to1	TRUE	2	1	1	1	#E69F00	Excitatory neurons	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	7	38.5714285714286	24.0952380952381	31.3333333333333
phase12_kda_acat_summary_v1	Excitatory_neurons	UQCR10	6.54931134035783e-15	14.1838043636427	133	133	1	23	0.172932330827068	raw_p_value	na.to1	FALSE	2	0.529184634087657	0.529184634087657	2	#E69F00	Excitatory neurons	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	1	23.0952380952381	8.61904761904762	15.8571428571429
phase12_kda_acat_summary_v1	Excitatory_neurons	COX4I1	4.49390350468794e-13	12.347376257202	133	133	1	22	0.165413533834586	raw_p_value	na.to1	FALSE	2	0.46066919841046	0.46066919841046	3	#E69F00	Excitatory neurons	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	2	7.61904761904762	-6.85714285714286	0.38095238095238
phase12_kda_acat_summary_v1	Inhibitory_neurons	MT-CO2	7.40159974172656e-24	23.1306744040639	92	92	1	35	0.380434782608696	raw_p_value	na.to1	TRUE	3	1	1	1	#0072B2	Inhibitory neurons	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	7	-12.8571428571429	-27.3333333333333	-20.0952380952381
phase12_kda_acat_summary_v1	Inhibitory_neurons	MT-CYB	1.0612429865502e-13	12.9741851668659	92	92	1	36	0.391304347826087	raw_p_value	na.to1	TRUE	3	0.56090820960181	0.56090820960181	2	#0072B2	Inhibitory neurons	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	1	-28.3333333333333	-42.8095238095238	-35.5714285714286
phase12_kda_acat_summary_v1	Inhibitory_neurons	MT-CO3	2.28644729325686e-13	12.6408388054408	92	92	1	32	0.347826086956522	raw_p_value	na.to1	TRUE	3	0.546496768084716	0.546496768084716	3	#0072B2	Inhibitory neurons	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	5	-43.8095238095238	-58.2857142857143	-51.0476190476191
phase12_kda_acat_summary_v1	Microglia	MT-CO2	1.99029446650593e-20	19.7010826644356	12	12	1	6	0.5	raw_p_value	na.to1	TRUE	4	1	1	1	#CC79A7	Microglia	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	7	-64.2857142857143	-78.7619047619048	-71.5238095238095
phase12_kda_acat_summary_v1	Microglia	MT-CO3	3.29276024722932e-08	7.48243989002783	12	12	1	5	0.416666666666667	raw_p_value	na.to1	TRUE	4	0.37979841095409	0.37979841095409	2	#CC79A7	Microglia	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	5	-79.7619047619048	-94.2380952380952	-87
phase12_kda_acat_summary_v1	Microglia	MT-ND4	1.15132520087538e-07	6.93880198914377	12	12	1	4	0.333333333333333	raw_p_value	na.to1	TRUE	4	0.352204094938888	0.352204094938888	3	#CC79A7	Microglia	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	2	-95.2380952380952	-109.714285714286	-102.47619047619
phase12_kda_acat_summary_v1	OPCs	RPS15	8.79637827528632e-16	15.0556961027154	9	9	1	2	0.222222222222222	raw_p_value	na.to1	FALSE	5	1	1	1	#56B4E9	OPCs	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	1	-115.714285714286	-130.190476190476	-122.952380952381
phase12_kda_acat_summary_v1	OPCs	MT-CO3	5.3608735698494e-14	13.2707644349989	9	9	1	3	0.333333333333333	raw_p_value	na.to1	TRUE	5	0.881444759807915	0.881444759807915	2	#56B4E9	OPCs	Top 3 ACAT candidates per network with ranking coverage >= 0.8	acat	5	-131.190476190476	-145.666666666667	-138.428571428571
