schema_version	broad_network	key_driver	mean_of_log_score	mean_of_log_score_standardized	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	mtDNA_encoded	in_degree	out_degree	total_degree	degree_percentile	node_size_area
phase12_kda_network_figures_v1	Astrocytes	MT-CO2	2.46801985083669	1.0	34	34	1.0	8	0.235294117647059	TRUE	0	3	3	0.8719372359686179	100.0
phase12_kda_network_figures_v1	Astrocytes	MT-CO3	1.84836176068891	0.748924997528805	34	34	1.0	8	0.235294117647059	TRUE	1	3	4	0.9060953530476765	121.0
phase12_kda_network_figures_v1	Astrocytes	MT-ATP6	1.46234770732125	0.592518616422594	34	34	1.0	8	0.235294117647059	TRUE	1	2	3	0.8719372359686179	100.0
phase12_kda_network_figures_v1	Astrocytes	FAU	1.2813815245079	0.519194172637429	6	34	0.176470588235294	1	0.166666666666667	FALSE	1	8	9	0.9709112854556428	256.0
phase12_kda_network_figures_v1	Astrocytes	NDUFB3	1.13198533025534	0.458661355528234	2	34	0.0588235294117647	0	0.0	FALSE	1	3	4	0.9060953530476765	121.0
phase12_kda_network_figures_v1	Astrocytes	MT-ND1	1.11269581252864	0.450845568422567	34	34	1.0	6	0.176470588235294	TRUE	1	2	3	0.8719372359686179	100.0
phase12_kda_network_figures_v1	Astrocytes	RPL13	1.06481223607774	0.431443951197053	34	34	1.0	4	0.117647058823529	FALSE	1	5	6	0.9425467712733856	169.0
phase12_kda_network_figures_v1	Astrocytes	RPL11	0.918394712446529	0.372118041163722	32	34	0.941176470588235	3	0.09375	FALSE	1	3	4	0.9060953530476765	121.0
phase12_kda_network_figures_v1	Astrocytes	MT-ND4	0.891603501979363	0.361262694737686	34	34	1.0	5	0.147058823529412	TRUE	1	6	7	0.9560651780325891	196.0
phase12_kda_network_figures_v1	Astrocytes	APOE	0.853855903028334	0.345968004568062	34	34	1.0	4	0.117647058823529	FALSE	2	11	13	0.9862401931200966	400.0
phase12_kda_network_figures_v1	Astrocytes	RPL15	0.815174003365504	0.330294751514722	34	34	1.0	3	0.0882352941176471	FALSE	1	12	13	0.9862401931200966	400.0
phase12_kda_network_figures_v1	Astrocytes	CYCS	0.789057381442485	0.319712736984261	20	34	0.588235294117647	2	0.1	FALSE	1	1	2	0.8094146047073023	81.0
