schema_version	broad_network	key_driver	conservative_significant_runs	conservative_fine_cell_types	highlighted_candidate_pool	network_display_order
phase12_kda_conservative_candidate_summary_v1	Astrocytes	APOE	4	3	TRUE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	EIF1	3	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	PGK1	3	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPL11	3	2	TRUE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPL15	3	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPLP1	3	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	CD63	2	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	LAPTM4A	2	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	P4HA1	2	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	TSC22D3	2	2	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	CCND3	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	CKB	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	EIF4A2	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	FAU	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	ITM2B	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	MSMO1	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	PFDN5	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	PRTFDC1	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPL13	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPS14	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPS15	1	1	TRUE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	RPS25	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Astrocytes	VEGFA	1	1	FALSE	1
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RPL11	24	12	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	WDR82	21	12	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	GABARAPL2	17	11	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RPLP2	16	10	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	TMEM147	15	10	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	SELENOW	15	9	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	LAMTOR5	13	8	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RPS13	12	10	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	LAGE3	12	9	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	PRDX1	12	9	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RABAC1	12	8	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	DYNLL1	12	7	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	SELENOM	11	9	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RPL6	11	8	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	GAPDH	11	7	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RPS15	10	8	TRUE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	BTF3	9	9	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	RPL29	8	8	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	PSMB6	8	7	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	SSR2	8	7	FALSE	2
phase12_kda_conservative_candidate_summary_v1	Excitatory_neurons	GNG3	8	6	FALSE	2
