schema_version	figure_family	check_id	blocking	passed	observed	expected	detail
phase15_figure_package_v1	complete_evidence_landscape	plotted_data_nonempty	TRUE	TRUE	230	>0	
phase15_figure_package_v1	complete_evidence_landscape	vector_and_raster_outputs_present	TRUE	TRUE	.pdf|.png|.svg	.pdf|.png|.svg	
phase15_figure_package_v1	complete_evidence_landscape	outputs_nonempty	TRUE	TRUE	3	3	
phase15_figure_package_v1	complete_evidence_landscape	colorblind_safe_palette_configured	TRUE	TRUE	PuOr_r, viridis-derived sequential maps, Okabe-Ito categories	colorblind-safe palettes	
phase15_figure_package_v1	complete_evidence_landscape	grayscale_redundant_encoding_configured	TRUE	TRUE	status symbols, borders, hatching, and labels supplement color	color is not the sole status encoding	
phase15_figure_package_v1	complete_evidence_landscape	minimum_text_size_configured	TRUE	TRUE	7 pt	>=7 pt	
phase15_figure_package_v1	complete_evidence_landscape	no_significance_stars	TRUE	TRUE	none	none	Exact q values and statuses are used.
phase15_figure_package_v1	complete_evidence_landscape	formal_endpoint_count	TRUE	TRUE	168	168	
phase15_figure_package_v1	complete_evidence_landscape	supported_endpoint_count	TRUE	TRUE	0	0	
phase15_figure_package_v1	complete_evidence_landscape	not_testable_endpoint_count	TRUE	TRUE	10	10	
phase15_figure_package_v1	complete_evidence_landscape	gate_count	TRUE	TRUE	56	56	
phase15_figure_package_v1	complete_evidence_landscape	production_status_hash_recorded	TRUE	TRUE	1b032bde2e11ee20fb7e64e3afc416284ba4771451bb4a84c93d560c3619fc01	1b032bde2e11ee20fb7e64e3afc416284ba4771451bb4a84c93d560c3619fc01	
