schema_version	network	source	target	is_directly_incident_to_lamtor5	is_upstream_context_edge	source_directed_depth	target_directed_depth	source_upstream_depth	target_upstream_depth	source_supporting_neighborhood_occurrence_count	target_supporting_neighborhood_occurrence_count
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	ATP5IF1	False	False	1.0	2.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	NDUFA12	False	False	1.0	2.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	NDUFB2	False	False	1.0	2.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	NDUFS3	False	False	1.0	2.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	RAB11A	False	False	1.0	2.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	ATP5PF	SOD1	False	False	1.0	2.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	COX7C	LAMTOR5	True	True		0.0	1.0		0	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	COX7C	RAB11A	False	False		2.0	1.0		0	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	ATP5PF	True	False	0.0	1.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	DAD1	True	False	0.0	1.0			5	2
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	ERH	True	False	0.0	1.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	LSM1	True	False	0.0	1.0			5	4
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	MAML1	True	False	0.0	1.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	PFDN4	True	False	0.0	1.0			5	4
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	POLR2K	True	False	0.0	1.0			5	3
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	PYURF	True	False	0.0	1.0			5	4
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	LAMTOR5	SPCS2	True	False	0.0	1.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA12	ATP5MG	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA12	COX5A	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA12	NDUFB1	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA12	NDUFB9	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	POLR2K	MRPS14	False	False	1.0	2.0			3	3
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	POLR2K	SRP14	False	False	1.0	2.0			3	3
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	RAB11A	PAICS	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	RPS15	COX7C	False	True			2.0	1.0	0	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	SOD1	CISD1	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	SOD1	NDUFB4	False	False	2.0	3.0			5	5
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	SRP14	MRPL50	False	False	2.0	3.0			3	3
