schema_version	network	source	target	is_directly_incident_to_rpl11	source_directed_depth	target_directed_depth	source_supporting_neighborhood_occurrence_count	target_supporting_neighborhood_occurrence_count
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NDUFA12	FALSE	2	3	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NDUFB3	FALSE	2	3	20	16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	RPLP2	FALSE	1	2	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	RPS15	FALSE	1	2	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	UQCRQ	FALSE	1	2	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	NDUFS6	FALSE	2	3	19	17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	MRPL21	FALSE	2	3	17	13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	UQCRFS1	FALSE	2	3	17	16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	APOO	FALSE	2	3	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	COX7C	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL30	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL5	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL6	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS13	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS23	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS27A	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	SMDT1	TRUE	0	1	20	18
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	SRP14	TRUE	0	1	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	RSL24D1	FALSE	1	2	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	ATP5PF	FALSE	1	2	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	ATP5ME	FALSE	2	3	20	18
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	MRPL24	FALSE	2	3	20	10
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NDUFA1	FALSE	2	3	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NDUFS5	FALSE	2	3	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	NDUFB9	FALSE	1	2	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	PSMB6	FALSE	1	2	20	17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	RPS9	FALSE	1	2	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	SLC25A5	FALSE	1	2	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPL13	FALSE	2	3	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL10A	FALSE	1	2	20	20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPS12	FALSE	1	2	20	18
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	TXNRD1	FALSE	2	3	20	19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	FUNDC2	FALSE	2	3	19	15
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	PDHB	FALSE	2	3	20	16
