schema_version	network	gene	pathway	pathway_code	pathway_display_label	pathway_color	pathway_url	pathway_background_gene_count	display_overlap_gene_count	raw_hypergeometric_p	bh_fdr
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL13	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL5	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS12	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS23	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	KEGG_RIBOSOME	R	Cytosolic ribosome	#6F4E9C	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	74	14	7.73927545903333e-20	1.3458600023259e-16
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5ME	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	85	12	2.20829098417601e-15	3.2001816845684e-13
