schema_version	library	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_RIBOSOME	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RIBOSOME	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	74	14	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9;RSL24D1	38.6836248012719	7.73927545903333e-20	1.3458600023259e-16	TRUE	R	Cytosolic ribosome	#6F4E9C	nonredundant representative with BH FDR < 0.05 and at least 3 displayed genes
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_SELENOAMINO_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SELENOAMINO_ACID_METABOLISM	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	84	14	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9;TXNRD1	34.078431372549	5.24215212694478e-19	4.55805127437849e-16	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	70	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	37.9731092436975	2.66533237939624e-18	1.54500433592335e-15	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	97	14	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9;SRP14	29.5112189205579	4.45876227030552e-18	1.93844689701532e-15	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	76	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	34.9752321981424	8.43126167037441e-18	2.93239280895622e-15	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	78	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	34.078431372549	1.21037921806073e-17	3.50808243367934e-15	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	84	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	31.6442577030812	3.37729322671046e-17	8.39016131607069e-15	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	127	14	PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	22.5400648448356	2.27542539294453e-16	4.94620594791318e-14	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NONSENSE_MEDIATED_DECAY_NMD	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	99	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	26.8496732026144	3.19922539971951e-16	6.1816144112358e-14	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	133	14	PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	21.5232198142415	4.42288542700262e-16	7.58186764074723e-14	FALSE	NA	NA	NA	NA
