schema_version	network	gene	minimum_upstream_depth	minimum_downstream_depth	is_core_mitocarta	in_degree_full	out_degree_full
phase18_rpl11_deep_dive_v1	Excitatory_neurons	AC084033.3	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ACYP1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	AIMP1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	APOO	NA	3	TRUE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ASNSD1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5MD	NA	3	FALSE	1	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5ME	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	NA	2	TRUE	2	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	BAG1	NA	3	FALSE	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	BAIAP2L1	NA	2	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	BCAS2	NA	2	FALSE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	C1orf43	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CDC42BPB	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CISD2	NA	2	FALSE	3	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COMMD6	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX17	NA	2	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX20	NA	2	TRUE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	COX7C	NA	1	TRUE	2	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CSTF1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	CTSL	NA	2	FALSE	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	DPM3	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	DUSP12	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	EEF1B2	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	EIF3I	NA	3	FALSE	2	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	EPB41L4A-AS1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FAU	NA	3	FALSE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FKBP1B	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FTCD	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	FUNDC2	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	GTF3C6	NA	3	FALSE	3	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	HMGN2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	IL17RA	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	KRT10	NA	2	FALSE	3	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	LRPAP1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	LSM3	NA	3	FALSE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	LSM6	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MECOM	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MOAP1	NA	3	FALSE	2	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL21	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPL24	NA	3	TRUE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MRPS18C	NA	2	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	MYL12B	NA	2	FALSE	2	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NAA38	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA1	NA	3	TRUE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFA12	NA	3	TRUE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB3	NA	3	TRUE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	NA	2	TRUE	1	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS5	NA	3	TRUE	2	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS6	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NENF	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NHP2	NA	3	FALSE	2	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NOL7	NA	3	FALSE	1	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NRN1	NA	3	FALSE	2	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PCBD1	NA	2	FALSE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PDHB	NA	3	TRUE	3	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PFDN5	NA	2	FALSE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PINK1	NA	3	TRUE	2	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	NA	2	FALSE	2	11
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RAB33A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10	NA	3	FALSE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	NA	2	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	NA	0	FALSE	0	9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL12	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL13	NA	3	TRUE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL14	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL18	NA	3	FALSE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL19	NA	2	FALSE	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL21	NA	3	FALSE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL23A	NA	3	FALSE	2	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	NA	1	FALSE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL32	NA	2	FALSE	1	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL35A	NA	3	FALSE	1	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL36AL	NA	3	FALSE	1	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL37	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL38	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL5	NA	1	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	NA	1	FALSE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL7	NA	2	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL8	NA	3	FALSE	1	6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP1	NA	3	FALSE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NA	2	FALSE	1	7
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS12	NA	2	TRUE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	NA	1	FALSE	1	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS14	NA	2	FALSE	3	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	NA	2	FALSE	1	8
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS19	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS19BP1	NA	3	FALSE	1	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS23	NA	1	FALSE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	NA	1	FALSE	1	11
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS4X	NA	2	FALSE	3	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS6	NA	3	FALSE	1	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS7	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	NA	2	FALSE	1	2
