schema_version	record_type	network	driver_a	driver_b	neighborhood_jaccard	query_hit_jaccard	downstream_three_layer_gene_count	query_hit_gene_count	aggregate_acat_p	aggregate_acat_q	conservative_support_count	terminal_candidate_status	topology_expression_matched_n	topology_expression_empirical_tail_p	query_hit_genes
phase18_rpl11_deep_dive_v1	driver_summary	Excitatory_neurons	RPL11	NA	NA	NA	114	25	6.50332218774679e-13	1.84022340172608e-09	20	driver_candidate	250	0.00398406374501992	APOO;ATP5ME;ATP5PF;COX17;COX20;COX7C;FUNDC2;MRPL21;MRPL24;MRPS18C;NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6;PDHB;PINK1;RPL13;RPS12;SLC25A5;SMDT1;TXNRD1;UQCRFS1;UQCRQ
phase18_rpl11_deep_dive_v1	driver_summary	Excitatory_neurons	RPLP1	NA	NA	NA	5	0	1	1	0	not_supported	250	1	
phase18_rpl11_deep_dive_v1	driver_summary	Excitatory_neurons	RPL15	NA	NA	NA	58	9	0.000602604548643839	0.131166923421476	5	exploratory	250	0.0278884462151394	ARF5;ARMCX3;ATP5MC3;CHCHD1;CHCHD2;GLRX5;ISCA1;ISCU;RDH14
phase18_rpl11_deep_dive_v1	driver_summary	Excitatory_neurons	RPS13	NA	NA	NA	54	15	3.81074631066291e-09	5.39157090520291e-06	10	driver_candidate	250	0.00398406374501992	AIP;CLPP;CYC1;MRPL2;MRPL21;MRPS34;MRPS7;NDUFB9;NDUFS6;PAICS;PDHB;PINK1;SLC25A5;TXNRD1;UQCRFS1
phase18_rpl11_deep_dive_v1	driver_summary	Excitatory_neurons	RPS15	NA	NA	NA	72	8	0.000142844120229429	0.0367455677765946	10	driver_candidate	250	0.0239043824701195	CYC1;GUK1;IDH3B;NDUFB11;PRDX5;RPL13;STOML2;TIMM17B
phase18_rpl11_deep_dive_v1	driver_summary	Excitatory_neurons	RPL38	NA	NA	NA	9	0	0.148813834882021	1	0	not_supported	250	0.0557768924302789	
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPL11	RPL11	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPL11	RPLP1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPL11	RPL15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPL11	RPS13	0.174825174825175	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPL11	RPS15	0.0508474576271186	0.03125	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPL11	RPL38	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPLP1	RPL11	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPLP1	RPLP1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	pairwise_jaccard	Excitatory_neurons	RPLP1	RPL15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
