schema_version	threshold_count	threshold_fraction	retained_query_hit_count	retained_query_hits	display_node_count	display_edge_count	is_selected_for_figure
phase18_selenow_excitatory_consensus_v1	1	0.07142857142857142	14	CCDC127;CHCHD10;CLPP;COA3;CYC1;DMAC2;GUK1;MRPL34;MRPL4;MRPS34;NDUFB11;PRELID1;SLC25A4;TMEM126A	27	28	False
phase18_selenow_excitatory_consensus_v1	2	0.14285714285714285	14	CCDC127;CHCHD10;CLPP;COA3;CYC1;DMAC2;GUK1;MRPL34;MRPL4;MRPS34;NDUFB11;PRELID1;SLC25A4;TMEM126A	27	28	False
phase18_selenow_excitatory_consensus_v1	3	0.21428571428571427	14	CCDC127;CHCHD10;CLPP;COA3;CYC1;DMAC2;GUK1;MRPL34;MRPL4;MRPS34;NDUFB11;PRELID1;SLC25A4;TMEM126A	27	28	False
phase18_selenow_excitatory_consensus_v1	4	0.2857142857142857	13	CCDC127;CHCHD10;CLPP;COA3;CYC1;DMAC2;GUK1;MRPL34;MRPL4;MRPS34;NDUFB11;PRELID1;SLC25A4	25	25	True
phase18_selenow_excitatory_consensus_v1	5	0.35714285714285715	10	CHCHD10;COA3;CYC1;GUK1;MRPL34;MRPL4;MRPS34;NDUFB11;PRELID1;SLC25A4	21	20	False
phase18_selenow_excitatory_consensus_v1	6	0.42857142857142855	10	CHCHD10;COA3;CYC1;GUK1;MRPL34;MRPL4;MRPS34;NDUFB11;PRELID1;SLC25A4	21	20	False
phase18_selenow_excitatory_consensus_v1	7	0.5	8	CHCHD10;COA3;CYC1;GUK1;MRPS34;NDUFB11;PRELID1;SLC25A4	18	17	False
phase18_selenow_excitatory_consensus_v1	8	0.5714285714285714	8	CHCHD10;COA3;CYC1;GUK1;MRPS34;NDUFB11;PRELID1;SLC25A4	18	17	False
phase18_selenow_excitatory_consensus_v1	9	0.6428571428571429	6	CHCHD10;COA3;CYC1;NDUFB11;PRELID1;SLC25A4	15	14	False
phase18_selenow_excitatory_consensus_v1	10	0.7142857142857143	6	CHCHD10;COA3;CYC1;NDUFB11;PRELID1;SLC25A4	15	14	False
phase18_selenow_excitatory_consensus_v1	11	0.7857142857142857	5	CHCHD10;COA3;NDUFB11;PRELID1;SLC25A4	13	12	False
phase18_selenow_excitatory_consensus_v1	12	0.8571428571428571	3	CHCHD10;NDUFB11;PRELID1	12	11	False
phase18_selenow_excitatory_consensus_v1	13	0.9285714285714286	3	CHCHD10;NDUFB11;PRELID1	12	11	False
phase18_selenow_excitatory_consensus_v1	14	1.0	2	CHCHD10;PRELID1	11	10	False
