schema_version	case_id	atlas_display_order	current_symbol	is_core_mito	extended_reference_member	circle_gene	circle_display_network_count	circle_display_networks	passing_broad_network_count	passing_broad_networks	q_passing_network_count	unique_supporting_fine_cell_type_count	unique_supporting_fine_cell_types	eligible_query_count	usable_query_count	missing_query_count	query_coverage_fraction	conservative_supporting_query_count	query_recurrence_fraction	supporting_group_count	supporting_groups	supporting_direction_count	supporting_directions	best_aggregate_acat_q	best_aggregate_acat_q_network	worst_aggregate_acat_q	worst_aggregate_acat_q_network
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	1	RPL11	FALSE	FALSE	TRUE	4	Astrocytes|Excitatory_neurons|Microglia|Oligodendrocytes	4	Astrocytes|Excitatory_neurons|Microglia|Oligodendrocytes	4	15	Ast CHI3L1|Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7|Mic P2RY12|Oli	126	125	1	0.99206349206349209	25	0.20000000000000001	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	2.0062748949198854e-09	Excitatory_neurons	0.028297479985061973	Oligodendrocytes
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	2	RPS15	FALSE	FALSE	TRUE	2	Inhibitory_neurons|OPCs	3	Excitatory_neurons|Inhibitory_neurons|OPCs	3	16	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 NP|Exc L6 THEMIS NFIA|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2|OPC	131	131	0	1	23	0.17557251908396945	5	F_e2|F_e33|F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	4.0692045901305744e-12	OPCs	0.029378274060519176	Excitatory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	3	LAMTOR5	FALSE	FALSE	TRUE	2	Excitatory_neurons|Inhibitory_neurons	2	Excitatory_neurons|Inhibitory_neurons	2	13	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh VIP CLSTN2	125	119	6	0.95199999999999996	17	0.14285714285714285	3	F_e2|F_e4|M_e2	2	AD_down_mito|AD_up_mito	0.0021942274200684965	Excitatory_neurons	0.0036317366699944171	Inhibitory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	4	RPLP1	FALSE	FALSE	TRUE	2	Astrocytes|Inhibitory_neurons	2	Astrocytes|Inhibitory_neurons	2	9	Ast CHI3L1|Ast GRM3|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2	49	49	0	1	14	0.2857142857142857	4	F_e2|F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	0.0019064196030721217	Astrocytes	0.0050432287098023665	Inhibitory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	5	SELENOW	FALSE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	1	9	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Exc NRGN	97	97	0	1	14	0.14432989690721648	4	F_e2|F_e4|M_e2|M_e33	2	AD_down_mito|AD_up_mito	5.0029572604039337e-06	Excitatory_neurons	5.0029572604039337e-06	Excitatory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	6	RPS13	FALSE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	1	8	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	97	95	2	0.97938144329896903	10	0.10526315789473684	3	F_e2|F_e4|M_e2	2	AD_down_mito|AD_up_mito	5.0029572604039337e-06	Excitatory_neurons	5.0029572604039337e-06	Excitatory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	7	ATP6V1F	FALSE	FALSE	TRUE	1	Inhibitory_neurons	1	Inhibitory_neurons	1	4	Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh RYR3 TSHZ2	28	28	0	1	5	0.17857142857142858	3	F_e4|M_e2|M_e4	1	AD_down_mito	0.019222268886662432	Inhibitory_neurons	0.019222268886662432	Inhibitory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	8	APOE	FALSE	FALSE	TRUE	1	Astrocytes	1	Astrocytes	1	3	Ast CHI3L1|Ast DPP10|Ast GRM3	21	21	0	1	4	0.19047619047619047	3	F_e2|M_e2|M_e4	2	AD_down_mito|AD_up_mito	0.012340946107657309	Astrocytes	0.012340946107657309	Astrocytes
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	9	RPL38	FALSE	FALSE	TRUE	1	Inhibitory_neurons	1	Inhibitory_neurons	1	3	Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1	28	26	2	0.9285714285714286	3	0.11538461538461539	1	M_e2	1	AD_down_mito	0.029337285007550243	Inhibitory_neurons	0.029337285007550243	Inhibitory_neurons
phase18_case3_evidence_atlas_v1_gene_summary_v1	case3_not_core_mito	10	RPL15	FALSE	FALSE	TRUE	1	Astrocytes	1	Astrocytes	1	2	Ast DPP10|Ast GRM3	21	21	0	1	3	0.14285714285714285	3	F_e2|F_e4|M_e2	2	AD_down_mito|AD_up_mito	0.0035258095190520977	Astrocytes	0.0035258095190520977	Astrocytes
