schema_version	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	circle_displayed	within_case_rank	evidence_tier	eligible_run_count	usable_run_count	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	stability_assessable	is_core_mito	extended_reference_member
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	1	Astrocytes	Astrocytes	#009E73	TRUE	1	tier1_recurrent_stable	21	21	1.0	6	5.315610601318248e-16	3.0862435151253747e-12	11.510569809607025	11.510569809607025	3	1.0	1.0	1.0	1.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	1	tier1_recurrent_stable	97	97	1.0	41	9.822658950496607e-25	8.33845518307657e-21	20.07891440111393	12.0	14	1.0	1.0	1.0	1.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	1	tier1_recurrent_stable	28	28	1.0	8	1.0382062140880728e-21	7.464702679293243e-18	17.126987485636718	12.0	12	1.0	1.0	1.0	1.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	4	Microglia	Microglia	#CC79A7	TRUE	1	tier1_recurrent_stable	6	6	1.0	3	2.3498670073090155e-18	9.279624811863303e-15	14.032469582556072	12.0	2	1.0	1.0	1.0	1.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	5	OPCs	OPCs	#56B4E9	TRUE	2	tier_not_assessable	6	6	1.0	2	5.199093143103802e-07	0.0007117827820485487	3.147652521743449	3.147652521743449	0	NA	NA	NA	NA	FALSE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	6	Oligodendrocytes	Oligodendrocytes	#F0E442	TRUE	1	tier_not_assessable	2	2	1.0	1	2.0116573437307146e-17	9.317996816160671e-14	13.030677442280595	12.0	0	NA	NA	NA	NA	FALSE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	1	MT-CO2	7	Vasculature_cells	Vasculature	#D55E00	TRUE	2	tier_not_assessable	1	1	1.0	1	4.980487313806649e-10	9.179038119345654e-07	6.037202826570798	6.037202826570798	0	NA	NA	NA	NA	FALSE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	2	MT-ND4	2	Excitatory_neurons	Excitatory neurons	#E69F00	FALSE	10	tier1_recurrent_stable	97	97	1.0	24	1.2981464134507491e-05	0.005247602335134957	2.28003908335041	2.28003908335041	14	1.0	1.0	1.0	10.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	2	MT-ND4	4	Microglia	Microglia	#CC79A7	TRUE	2	tier1_recurrent_stable	6	6	1.0	3	6.479816248835569e-06	0.010583090913485178	1.975387473073541	1.975387473073541	2	1.0	1.0	1.0	2.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	2	MT-ND4	5	OPCs	OPCs	#56B4E9	TRUE	3	tier_not_assessable	6	6	1.0	2	1.010941781649593e-05	0.011400053491068577	1.9430931108721754	1.9430931108721754	0	NA	NA	NA	NA	FALSE	TRUE	FALSE
