schema_version	case_id	atlas_display_order	current_symbol	is_core_mito	extended_reference_member	circle_gene	circle_display_network_count	circle_display_networks	passing_broad_network_count	passing_broad_networks	explicitly_tested_run_count	significant_kda_run_count	significant_kda_run_fraction	conservative_supporting_run_count	conservative_supporting_run_fraction	significant_fine_cell_type_count	significant_fine_cell_types	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_group_count	supporting_groups	supporting_direction_count	supporting_directions	passing_context_supporting_run_count	passing_context_supporting_fine_cell_type_count	best_aggregate_acat_q	best_aggregate_acat_q_network	worst_aggregate_acat_q	worst_aggregate_acat_q_network
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	1	MT-CO2	TRUE	FALSE	TRUE	7	Astrocytes|Excitatory_neurons|Inhibitory_neurons|Microglia|OPCs|Oligodendrocytes|Vasculature_cells	7	Astrocytes|Excitatory_neurons|Inhibitory_neurons|Microglia|OPCs|Oligodendrocytes|Vasculature_cells	89	65	0.7303370786516854	62	0.6966292134831461	29	Ast CHI3L1|Ast DPP10|Ast GRM3|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN|Mic P2RY12|Mic TPT1|OPC|Oli	29	Ast CHI3L1|Ast DPP10|Ast GRM3|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN|Mic P2RY12|Mic TPT1|OPC|Oli	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	62	29	8.33845518307657e-21	Excitatory_neurons	0.0007117827820485487	OPCs
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	2	MT-ND4	TRUE	FALSE	TRUE	4	Microglia|OPCs|Oligodendrocytes|Vasculature_cells	5	Excitatory_neurons|Microglia|OPCs|Oligodendrocytes|Vasculature_cells	93	53	0.5698924731182796	32	0.34408602150537637	29	Ast CHI3L1|Ast DPP10|Ast GRM3|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN|Mic P2RY12|Mic TPT1|OPC|Oli	20	Ast DPP10|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Mic P2RY12|Mic TPT1|OPC|Oli	5	F_e2|F_e33|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	31	19	0.0011368492558896898	Oligodendrocytes	0.011400053491068577	OPCs
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	3	MT-CO3	TRUE	FALSE	TRUE	4	Astrocytes|Inhibitory_neurons|OPCs|Vasculature_cells	4	Astrocytes|Inhibitory_neurons|OPCs|Vasculature_cells	84	42	0.5	17	0.20238095238095238	27	Ast CHI3L1|Ast DPP10|Ast GRM3|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN|Mic P2RY12|Mic TPT1|OPC|Oli	13	Ast CHI3L1|Ast DPP10|Ast GRM3|End|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN|Mic P2RY12|OPC	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	16	12	2.373870889685576e-14	Vasculature_cells	6.887580432997238e-08	Inhibitory_neurons
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	4	MT-ATP6	TRUE	TRUE	TRUE	2	Astrocytes|Vasculature_cells	3	Astrocytes|Excitatory_neurons|Vasculature_cells	64	37	0.578125	25	0.390625	19	Ast CHI3L1|Ast DPP10|Ast GRM3|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|OPC	16	Ast DPP10|Ast GRM3|End|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN	5	F_e2|F_e33|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	25	16	7.749292243037909e-05	Astrocytes	0.005704166534717775	Excitatory_neurons
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	5	COX4I1	TRUE	FALSE	TRUE	2	Astrocytes|Excitatory_neurons	3	Astrocytes|Excitatory_neurons|Inhibitory_neurons	93	29	0.3118279569892473	24	0.25806451612903225	17	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Oli	16	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7|Inh L3-5 SST MAFB|Inh PVALB HTR4|Oli	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	23	15	1.5236713995136778e-08	Excitatory_neurons	0.020777019716936823	Inhibitory_neurons
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	6	COX7C	TRUE	FALSE	TRUE	2	Astrocytes|Inhibitory_neurons	3	Astrocytes|Excitatory_neurons|Inhibitory_neurons	94	37	0.39361702127659576	25	0.26595744680851063	20	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh VIP CLSTN2	14	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 NP|Exc L6 THEMIS NFIA|Exc L6b|Exc RELN CHD7|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4	5	F_e2|F_e33|F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	25	14	6.239199452599093e-06	Inhibitory_neurons	0.0005139297313015923	Astrocytes
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	7	MT-CYB	TRUE	FALSE	TRUE	2	Excitatory_neurons|Inhibitory_neurons	2	Excitatory_neurons|Inhibitory_neurons	80	46	0.575	37	0.4625	25	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN|Mic P2RY12|Mic TPT1|OPC|Oli	21	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	37	21	6.887580432997238e-08	Inhibitory_neurons	1.539438400949714e-05	Excitatory_neurons
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	8	COX6B1	TRUE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	75	27	0.36	23	0.30666666666666664	15	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh L3-5 SST MAFB|Inh PVALB HTR4	12	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc RELN CHD7	5	F_e2|F_e33|F_e4|M_e2|M_e33	2	AD_down_mito|AD_up_mito	23	12	5.958609234062103e-07	Excitatory_neurons	5.958609234062103e-07	Excitatory_neurons
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	9	UQCR10	TRUE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	81	27	0.3333333333333333	25	0.30864197530864196	15	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4	13	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Inh PVALB HTR4	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	23	11	2.761874901843084e-10	Excitatory_neurons	2.761874901843084e-10	Excitatory_neurons
phase18_mt_evidence_atlas_v2_gene_summary_v1	mt_driver	10	MT-ND5	TRUE	FALSE	TRUE	1	Inhibitory_neurons	1	Inhibitory_neurons	83	33	0.39759036144578314	8	0.0963855421686747	23	Ast CHI3L1|Ast DPP10|Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN	7	Inh ENOX2 SPHKAP|Inh FBN2 EPB41L4A|Inh L1-6 LAMP5 CA13|Inh PVALB CA8 (Chandelier)|Inh PVALB HTR4|Inh PVALB SULF1|Inh SORCS1 TTN	5	F_e2|F_e33|F_e4|M_e2|M_e33	2	AD_down_mito|AD_up_mito	8	7	2.6917602273647295e-06	Inhibitory_neurons	2.6917602273647295e-06	Inhibitory_neurons
