schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	extended_reference_member	eligible_run_count	usable_run_count	conservative_support_count	coverage_fraction	recurrence_fraction	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	1	tier1_recurrent_stable	FALSE	21	20	3	0.9523809523809523	0.15	1.7776559635829543e-08	3.440356841520878e-05	4.463396509095327
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	1	tier1_recurrent_stable	FALSE	97	97	20	1.0	0.20618556701030927	6.503322187746793e-13	1.8402234017260841e-09	8.735129450769028
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	1	tier2_localized_or_unstable	FALSE	6	6	1	1.0	0.16666666666666666	8.039825966182713e-06	0.010583090913485178	1.975387473073541
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	6	Oligodendrocytes	4	Oligodendrocytes	#F0E442	TRUE	1	1	tier_not_assessable	FALSE	2	2	1	1.0	0.5	1.8158810685601265e-05	0.028037203698568353	1.5522653030748415
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	2	Excitatory_neurons	5	Excitatory neurons	#E69F00	FALSE	NA	20	tier1_recurrent_stable	FALSE	97	97	10	1.0	0.10309278350515463	0.00014284412022942872	0.03674556777659455	1.4347950377022978
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	3	Inhibitory_neurons	6	Inhibitory neurons	#0072B2	TRUE	1	1	tier1_recurrent_stable	FALSE	28	28	11	1.0	0.39285714285714285	1.285122422488673e-06	0.0013200043168133655	2.879424648517515
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	2	RPS15	5	OPCs	7	OPCs	#56B4E9	TRUE	1	1	tier_not_assessable	FALSE	6	6	2	1.0	0.3333333333333333	5.864252183499891e-16	3.967753027356026e-12	11.40145536832092
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	3	LAMTOR5	2	Excitatory_neurons	8	Excitatory neurons	#E69F00	TRUE	4	4	tier1_recurrent_stable	FALSE	97	93	12	0.9587628865979382	0.12903225806451613	4.082987826979987e-06	0.0025876540730208103	2.5870937821840485
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	3	LAMTOR5	3	Inhibitory_neurons	9	Inhibitory neurons	#0072B2	TRUE	2	2	tier1_recurrent_stable	FALSE	28	26	5	0.9285714285714286	0.19230769230769232	5.181466066139895e-06	0.004139415668393983	2.383060960787999
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	4	RPLP1	1	Astrocytes	10	Astrocytes	#009E73	TRUE	2	2	tier1_recurrent_stable	FALSE	21	21	3	1.0	0.14285714285714285	2.4594995685497456e-06	0.002379975749166637	2.623427468177425
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	4	RPLP1	3	Inhibitory_neurons	11	Inhibitory neurons	#0072B2	TRUE	3	3	tier1_recurrent_stable	FALSE	28	28	11	1.0	0.39285714285714285	7.84938320591808e-06	0.0056437065250551	2.248435577813319
