schema_version	artifact_role	path	rows	bytes	declared_sha256	observed_sha256	hash_match
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_status.tsv	1	616	NA	91b2d997e9b15be1c06ceccff32a65b46f5f499e5ba607fe7990a99b826c9672	NA
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_checks.tsv	12	1144	463ed53c814a1c45a0981544cffaf56ddcb48d40848be8392bb2583acc86a34b	463ed53c814a1c45a0981544cffaf56ddcb48d40848be8392bb2583acc86a34b	TRUE
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_artifacts.tsv	21	3625	NA	4eda4b904e7476333b5f9a45562e8829fa2d24f730c632907ab15f07d941fb16	NA
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_analysis_manifest.tsv	1	552	246671291e2208649baaf9b06a5a5fa64bdc02d08a40e1e2ae6442f669d8afd0	246671291e2208649baaf9b06a5a5fa64bdc02d08a40e1e2ae6442f669d8afd0	TRUE
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_case_manifest.tsv	3	491	132c59a974574b6da8d83f41f03890c3d407d0355b7f5652a3517f3ca0f99962	132c59a974574b6da8d83f41f03890c3d407d0355b7f5652a3517f3ca0f99962	TRUE
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_top5.tsv	72	14538	8a5c1e669a264da403175844c607068476298ec2bd936b8dc3ae6c4a8c8f8327	8a5c1e669a264da403175844c607068476298ec2bd936b8dc3ae6c4a8c8f8327	TRUE
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_figure_data.tsv	72	20904	ca34f4b01c474205622972dddb39bb9b9f5df471835fef11f66b490d31f51679	ca34f4b01c474205622972dddb39bb9b9f5df471835fef11f66b490d31f51679	TRUE
phase18_three_case_circular_sources_v1	input	results/minerva_production/18_key_driver_selection/key_driver_candidates.tsv	109	59220	3c4f2b98bc87e1d6d60badd6688f3b5086975f2611a8545a87f7013a19c70ad1	3c4f2b98bc87e1d6d60badd6688f3b5086975f2611a8545a87f7013a19c70ad1	TRUE
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case1_core_mito_in_query_circular.svg	NA	789369	NA	71b369fd533e2ad05fbcb97b0b9a929e2d27fca74cac3e8d670fe49bd35eb359	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case2_core_mito_not_in_query_circular.svg	NA	665755	NA	63022d7d2e9e0f5d5f1f6a38da1b5805d1000f0004f81a50aa7727a01479a860	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case3_not_core_mito_circular.svg	NA	692223	NA	5cfcfc00df6e72d0ab8b97a4f5c31605a9ec3d42dcb61e07e063dc456f7e8d90	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case1_core_mito_in_query_circular.pdf	NA	137966	NA	24df540e87261164570b5caa3228b4ea62d8733919b3d77bfa60cafe6a17fa33	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case2_core_mito_not_in_query_circular.pdf	NA	121622	NA	cc94f38390302adb6504689355c3e742894c854fa25cfff331a6ea2bd9bc9626	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case3_not_core_mito_circular.pdf	NA	128829	NA	df79cb78e366e92569d56754a8e3536163cad280aada033fbc0cb8c248ba73cb	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case1_core_mito_in_query_circular.png	NA	925837	NA	e8290b00a66b61d91658f8260cefc1bf209cd822b8510fda6a2ab515ae56fead	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case2_core_mito_not_in_query_circular.png	NA	766883	NA	f00912c447bd2327dbfa8adfabd874ee0e235cd27d496c25f9e070f72bcdec62	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_case3_not_core_mito_circular.png	NA	801774	NA	19ad79c2756acf91eae16ff952a9d66f5c6489c5ba5e737f09fb31477ff710b2	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_three_case_circular_plot_data.tsv	105	66052	NA	5291d396ab0ce02eb06a8e53e49485b3fc2b53478d26a37d1fd758fb47ef27ac	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_three_case_circular_links.tsv	26	5931	NA	b3aea3ec66767f55175ee5f9eb46eabe55ec088918c97322f12a58c7a27ef7a7	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_three_case_circular_caption.md	NA	1487	NA	72dcee4b7034a02ae1501e185558184f368d8fa361446f6b9dfda6c2b8c19604	NA
phase18_three_case_circular_sources_v1	output	results/figures/analysis/phase_18_key_driver_selection/three_case_circular/phase18_three_case_circular_methods.md	NA	1989	NA	7878b37f273229a3363fe0252be3a227b7cd70d72dbca9c291071365b68ca591	NA
