schema_version	check_id	severity	status	expected	observed
genetic_support_slide_summary_v1	source_status	blocking	pass	validated_complete_tier1	validated_complete_tier1
genetic_support_slide_summary_v1	candidate_context_rows	blocking	pass	47	47
genetic_support_slide_summary_v1	unique_candidate_ids	blocking	pass	47	47
genetic_support_slide_summary_v1	unique_genes	blocking	pass	25	25
genetic_support_slide_summary_v1	strong_contexts	blocking	pass	1	1
genetic_support_slide_summary_v1	moderate_contexts	blocking	pass	0	0
genetic_support_slide_summary_v1	weak_contexts	blocking	pass	3	3
genetic_support_slide_summary_v1	no_direct_contexts	blocking	pass	23	23
genetic_support_slide_summary_v1	not_assessable_contexts	blocking	pass	20	20
genetic_support_slide_summary_v1	displayed_gene_union	blocking	pass	25	25
genetic_support_slide_summary_v1	displayed_gene_identity	blocking	pass	matches_summary	matches_summary
genetic_support_slide_summary_v1	candidate_card_genes	blocking	pass	APOE|COX7C|SELENOW	APOE|COX7C|SELENOW
genetic_support_slide_summary_v1	no_direct_gene_count	blocking	pass	16	16
genetic_support_slide_summary_v1	not_assessable_gene_count	blocking	pass	6	6
genetic_support_slide_summary_v1	visible_internal_phase_label	blocking	pass	absent	absent
genetic_support_slide_summary_v1	figure_size_inches	blocking	pass	12.4x4.7	12.4x4.7
genetic_support_slide_summary_v1	png_dpi	blocking	pass	450	450
