schema_version	check_id	severity	observed	expected	passed
phase20_simple_aggr_non_mt_figure_v1_checks_v1	source_execution_status	error	complete	complete	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	source_failed_checks	error	0	0	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	source_category_hash	error	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	all_class_category_rows	error	1298	1298	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	non_mt_category_rows	error	689	689	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	non_mt_unique_genes	error	433	433	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	categories_with_non_mt	error	32	32	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	non_mt_scope	error	0	0	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	non_mt_case_id	error	0	0	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	category_gene_keys_unique	error	689	689	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	returned_call_occurrences	error	1033	1033	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	singleton_category_units	error	538	538	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	recurrent_category_units	error	151	151	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	non_mt_ranks_contiguous	error	TRUE	TRUE	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	formal_fdr_flags	error	0	0	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	recurrence_plot_rows	error	20	20	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	recurrence_genes_unique	error	20	20	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	recurrence_source_parity	error	TRUE	TRUE	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	maximum_category_recurrence	error	12	12	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	top_recurrent_gene	error	RPS15	RPS15	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	core_artifacts_exist	error	6	6	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	core_artifacts_nonempty	error	6	6	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	png_dimensions	error	2400x2100	2400x2100	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	png_resolution_dpi	error	300.0x300.0	300x300 (±1)	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	pdf_signature	error	%PDF	%PDF	True
phase20_simple_aggr_non_mt_figure_v1_checks_v1	svg_root	error	<svg	<svg	True
