check_id	observed	expected	passed
validation_status	validated_complete	validated_complete	TRUE
source_checks_passed	11	11	TRUE
primary_run_count	972	972	TRUE
secondary_run_count	810	810	TRUE
planned_run_count	1782	1782	TRUE
status_manifest_planned_agree	1782	1782	TRUE
run_balance	1782	1782	TRUE
terminal_significant_runs	840	840	TRUE
terminal_no_significant_runs	181	181	TRUE
terminal_skipped_runs	761	761	TRUE
no_failed_runs	0	0	TRUE
fine_cell_network_mapping	54	54	TRUE
primary_groups_present	F_e2;F_e33;F_e4;M_e2;M_e33;M_e4	F_e2;F_e33;F_e4;M_e2;M_e33;M_e4	TRUE
secondary_groups_present	e2_pool;e33_pool;e4_pool;female_pool;male_pool	e2_pool;e33_pool;e4_pool;female_pool;male_pool	TRUE
directions_present_in_both_tiers	AD_both_mito;AD_down_mito;AD_up_mito	AD_both_mito;AD_down_mito;AD_up_mito	TRUE
