alias	canonical_symbol	alias_type	canonical_targets	duplicate_alias	feature_present_rds	selected_mapping_rds
0710008D09Rik	UQCR11	synonym	1	FALSE	0	0
1-AGPAT4	AGPAT4	synonym	1	FALSE	0	0
1-Cys	PRDX6	synonym	1	FALSE	0	0
10-FTHFDH	ALDH1L1	synonym	1	FALSE	0	0
10-fTHF	ALDH1L1	synonym	1	FALSE	0	0
1110008L20Rik	MICU2	synonym	1	FALSE	0	0
1110019O13Rik	LETMD1	synonym	1	FALSE	0	0
15E1.2	GATC	synonym	1	FALSE	0	0
17b-HSD10	HSD17B10	synonym	1	FALSE	0	0
1A1-3B	NBR1	synonym	1	FALSE	0	0
1AGPAT5	AGPAT5	synonym	1	FALSE	0	0
1C9-2	TOMM22	synonym	1	FALSE	0	0
2'-PDE	PDE12	synonym	1	FALSE	0	0
2-MEBCAD	ACADSB	synonym	1	FALSE	0	0
2-PDE	PDE12	synonym	1	FALSE	0	0
2010001O09Rik	OMA1	synonym	1	FALSE	0	0
2010204O13Rik	TTC19	synonym	1	FALSE	0	0
2310020H20Rik	ISCU	synonym	1	FALSE	0	0
2310061C15Rik	CMC2	synonym	1	FALSE	0	0
2810435D12Rik	HDHD3	synonym	1	FALSE	0	0
2F1	SLC25A5	synonym	1	FALSE	0	0
2P1	NDUFAF3	synonym	1	FALSE	0	0
4-HPPD-L	HPDL	synonym	1	FALSE	0	0
5A3	FAM210B	synonym	1	FALSE	0	0
5c5-2	MRPL12	synonym	1	FALSE	0	0
6.8PL	ATP5MPL	synonym	1	FALSE	0	0
6330578E17Rik	COA5	synonym	1	FALSE	0	0
A-923A4.1	ACSM2A	synonym	1	FALSE	0	0
A-BETA	SUCLA2	synonym	1	FALSE	0	0
A-SCS	SUCLA2	synonym	1	FALSE	0	0
A211C6.1	LYRM1	synonym	1	FALSE	0	0
AAA-TOB3	ATAD3B	synonym	1	FALSE	0	0
AAC1	SLC25A4	synonym	1	FALSE	0	0
AAC2	SLC25A5	synonym	1	FALSE	0	0
AAC3	SLC25A6	synonym	1	FALSE	0	0
AAC4	SLC25A31	synonym	1	FALSE	0	0
AAD20	GLS	synonym	1	FALSE	0	0
AADAT	AADAT	canonical	1	FALSE	9	0
AARF	ADCK2	synonym	1	FALSE	0	0
AARS2	AARS2	canonical	1	FALSE	9	0
AARSL	AARS2	synonym	1	FALSE	0	0
AASS	AASS	canonical	1	FALSE	9	0
