schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	zero_mt_nuclei	zero_mt_fraction	median_percent_mt	q25_percent_mt	q75_percent_mt	median_percent_mitocarta	robust_flagged_nuclei	robust_flagged_fraction	group_has_nuclei
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e2	AD	2049	8	1	0.000488042947779405	2.97498780742702	1.48768653300375	4.76245420717108	6.53998522795944	27	0.0131771595900439	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e2	NCI	7715	16	6	0.000777705767984446	1.79529508873298	0.778556193488803	3.54053232192877	5.28516982023003	118	0.0152948801036941	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e33	AD	18264	37	15	0.000821287779237845	2.15532765075681	0.850517728659349	4.42896748634167	5.58379194661143	482	0.0263907139728428	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e33	NCI	20834	45	66	0.00316789862724393	1.25840505071706	0.436485732096806	2.90484063881147	4.80236240711289	197	0.00945569741768263	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e4	AD	9664	26	6	0.000620860927152318	1.84222828597144	0.804203159527444	3.98299879269598	5.25301157526626	245	0.025351821192053	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Female	e4	NCI	4753	11	0	0	2.60170111226571	1.1371998126965	4.47130983599271	6.06243949661181	74	0.0155691142436356	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	AD	2069	7	1	0.000483325277912035	1.24519499293623	0.433212996389892	2.87479556605488	4.68679345657667	21	0.0101498308361527	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	NCI	3140	6	2	0.000636942675159236	1.50086801133933	0.614950016573215	3.32354253990928	5.38101296685433	104	0.0331210191082803	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Male	e33	AD	12039	27	21	0.00174433092449539	1.75582288200665	0.618405951522238	4.06206753111626	5.2924791086351	366	0.0304011961126339	TRUE
mito_group_missingness_v1	excitatory_set2	Exc L3-4 RORB CUX2	Male	e33	NCI	30614	53	35	0.00114326778598027	1.27749667548293	0.459309023313176	3.0156352777994	4.84227025243359	586	0.0191415692166982	TRUE
