schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	zero_mt_nuclei	zero_mt_fraction	median_percent_mt	q25_percent_mt	q75_percent_mt	median_percent_mitocarta	robust_flagged_nuclei	robust_flagged_fraction	group_has_nuclei
mito_group_missingness_v1	oligodendrocytes	Oli	Female	e2	AD	11733	8	25	0.00213074235063496	1.03285038014632	0.530937308556259	1.77287973167226	4.95118549511855	224	0.0190914514616893	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Female	e2	NCI	21373	17	103	0.00481916436625649	1.07850070721358	0.509229789942712	2.07244548567309	5.02982107355865	894	0.0418284751789641	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Female	e33	AD	67094	37	483	0.00719885533728798	0.931154454815693	0.442098146685385	1.77219896117505	5.01981505944518	2044	0.0304647211375086	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Female	e33	NCI	75904	45	807	0.0106318507588533	0.780212014757752	0.333492139113864	1.57518974074167	4.73075438337727	1715	0.0225943296795953	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Female	e4	AD	45666	26	439	0.00961327902597118	0.762506468254265	0.319349144702639	1.56588708725406	4.71551711913162	1116	0.0244383129680725	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Female	e4	NCI	27181	11	103	0.00378941172142305	0.839407996465651	0.363876943433675	1.71448565430371	4.88736158839252	824	0.0303152937713844	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Male	e2	AD	9717	7	72	0.00740969435010806	0.7995873097756	0.375547673690799	1.49013290374547	4.69934310257706	243	0.0250077184316147	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Male	e2	NCI	5807	6	55	0.0094713277079387	1.32450331125828	0.653747408974488	2.32726457003286	5.31067445565587	290	0.0499397279145858	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Male	e33	AD	35873	29	255	0.00710841022496028	0.878828229027963	0.381575361133824	1.73130193905817	4.78915662650602	975	0.0271792155660246	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Male	e33	NCI	94184	53	774	0.00821795634077975	0.835564131920235	0.37663850206895	1.64786397349941	4.83870967741935	2178	0.0231249469124267	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Male	e4	AD	37526	27	269	0.00716836326813409	0.890570180002232	0.389935092816557	1.74670938808819	4.95847482726583	1101	0.0293396578372329	TRUE
mito_group_missingness_v1	oligodendrocytes	Oli	Male	e4	NCI	15559	10	259	0.0166463140304647	0.764759865402264	0.348513029966128	1.47470320245802	4.83367983367983	290	0.018638729995501	TRUE
