schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	contrast	minimum_donors_per_side	nci_nuclei	ad_nuclei	nci_primary_eligible_donors	ad_primary_eligible_donors	nci_sensitivity_eligible_donors	ad_sensitivity_eligible_donors	primary_contrast_eligible	sensitivity_contrast_eligible	primary_ineligibility_reason
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5 ET	Female	e2	AD_vs_NCI	5	140	26	1	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5 ET	Female	e33	AD_vs_NCI	5	364	322	4	4	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5 ET	Female	e4	AD_vs_NCI	5	119	173	1	0	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5 ET	Male	e2	AD_vs_NCI	5	43	51	0	1	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5 ET	Male	e33	AD_vs_NCI	5	511	280	4	3	0	1	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5 ET	Male	e4	AD_vs_NCI	5	75	203	0	2	0	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e2	AD_vs_NCI	5	899	266	11	7	7	0	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e33	AD_vs_NCI	5	2664	2433	42	30	24	18	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e4	AD_vs_NCI	5	683	1237	11	21	7	7	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e2	AD_vs_NCI	5	318	363	4	5	3	3	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e33	AD_vs_NCI	5	3343	1537	46	24	28	11	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e4	AD_vs_NCI	5	493	1275	7	24	5	12	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 IT Car3	Female	e2	AD_vs_NCI	5	699	174	13	5	5	0	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 IT Car3	Female	e33	AD_vs_NCI	5	2051	1964	36	29	17	16	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 IT Car3	Female	e4	AD_vs_NCI	5	561	1113	10	20	3	4	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 IT Car3	Male	e2	AD_vs_NCI	5	298	297	4	5	2	2	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 IT Car3	Male	e33	AD_vs_NCI	5	2592	1386	39	21	22	9	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 IT Car3	Male	e4	AD_vs_NCI	5	427	1124	7	22	4	11	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 NP	Female	e2	AD_vs_NCI	5	637	201	10	6	6	1	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 NP	Female	e33	AD_vs_NCI	5	2067	1752	39	28	17	10	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 NP	Female	e4	AD_vs_NCI	5	561	967	10	19	2	7	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 NP	Male	e2	AD_vs_NCI	5	285	295	4	5	2	2	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 NP	Male	e33	AD_vs_NCI	5	2667	975	43	19	25	6	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L5/6 NP	Male	e4	AD_vs_NCI	5	413	920	6	21	5	5	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 CT	Female	e2	AD_vs_NCI	5	712	298	12	5	6	2	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 CT	Female	e33	AD_vs_NCI	5	3016	2273	43	30	28	19	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 CT	Female	e4	AD_vs_NCI	5	835	1402	10	18	7	12	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 CT	Male	e2	AD_vs_NCI	5	337	390	4	5	1	3	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 CT	Male	e33	AD_vs_NCI	5	3559	1546	42	24	30	12	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 CT	Male	e4	AD_vs_NCI	5	523	1116	7	20	6	9	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 THEMIS NFIA	Female	e2	AD_vs_NCI	5	2594	839	15	7	15	6	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 THEMIS NFIA	Female	e33	AD_vs_NCI	5	7539	7459	45	35	42	33	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 THEMIS NFIA	Female	e4	AD_vs_NCI	5	1837	4415	11	25	11	22	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 THEMIS NFIA	Male	e2	AD_vs_NCI	5	1024	1323	4	7	4	6	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 THEMIS NFIA	Male	e33	AD_vs_NCI	5	9666	4552	53	26	44	22	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6 THEMIS NFIA	Male	e4	AD_vs_NCI	5	1566	3580	9	24	7	23	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6b	Female	e2	AD_vs_NCI	5	749	247	14	5	4	2	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6b	Female	e33	AD_vs_NCI	5	3137	2695	41	29	23	17	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6b	Female	e4	AD_vs_NCI	5	846	1520	11	22	7	17	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6b	Male	e2	AD_vs_NCI	5	383	363	4	6	1	3	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6b	Male	e33	AD_vs_NCI	5	3581	2241	39	23	30	11	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc L6b	Male	e4	AD_vs_NCI	5	480	1260	7	21	5	10	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc NRGN	Female	e2	AD_vs_NCI	5	782	332	11	7	7	2	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc NRGN	Female	e33	AD_vs_NCI	5	4875	2965	41	26	32	17	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc NRGN	Female	e4	AD_vs_NCI	5	1156	1585	9	19	7	13	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc NRGN	Male	e2	AD_vs_NCI	5	1905	545	5	5	2	5	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc NRGN	Male	e33	AD_vs_NCI	5	6868	4383	41	18	34	14	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc NRGN	Male	e4	AD_vs_NCI	5	461	4828	7	19	5	16	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc RELN CHD7	Female	e2	AD_vs_NCI	5	6923	160	11	3	7	0	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc RELN CHD7	Female	e33	AD_vs_NCI	5	4024	2001	33	27	14	13	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc RELN CHD7	Female	e4	AD_vs_NCI	5	736	884	8	14	3	6	TRUE	FALSE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc RELN CHD7	Male	e2	AD_vs_NCI	5	673	202	5	4	3	1	FALSE	FALSE	fewer_than_5_eligible_donors_on_one_or_both_sides
descriptive_contrast_coverage_v1	excitatory_set3	Exc RELN CHD7	Male	e33	AD_vs_NCI	5	8393	22508	37	19	24	7	TRUE	TRUE	
descriptive_contrast_coverage_v1	excitatory_set3	Exc RELN CHD7	Male	e4	AD_vs_NCI	5	397	5746	8	18	2	6	TRUE	FALSE	
