schema_version	rds_id	cell_type_high_resolution	feature	measured	nuclei	donors	total_raw_counts	nuclei_detected	nucleus_detection_fraction	donors_detected	donor_detection_fraction
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND1	TRUE	1516	231	2563	819	0.54023746701847	207	0.896103896103896
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND2	TRUE	1516	231	1709	653	0.430738786279683	201	0.87012987012987
descriptive_mtdna_detection_v1	immune	CAMs	MT-CO1	TRUE	1516	231	4394	980	0.646437994722955	216	0.935064935064935
descriptive_mtdna_detection_v1	immune	CAMs	MT-CO2	TRUE	1516	231	3736	973	0.641820580474934	219	0.948051948051948
descriptive_mtdna_detection_v1	immune	CAMs	MT-ATP8	TRUE	1516	231	47	43	0.0283641160949868	37	0.16017316017316
descriptive_mtdna_detection_v1	immune	CAMs	MT-ATP6	TRUE	1516	231	4675	1023	0.674802110817942	217	0.939393939393939
descriptive_mtdna_detection_v1	immune	CAMs	MT-CO3	TRUE	1516	231	5697	1098	0.724274406332454	221	0.956709956709957
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND3	TRUE	1516	231	3055	820	0.54089709762533	210	0.909090909090909
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND4L	TRUE	1516	231	223	167	0.110158311345646	95	0.411255411255411
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND4	TRUE	1516	231	3552	864	0.569920844327177	209	0.904761904761905
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND5	TRUE	1516	231	658	396	0.261213720316623	160	0.692640692640693
descriptive_mtdna_detection_v1	immune	CAMs	MT-ND6	TRUE	1516	231	23	23	0.0151715039577836	20	0.0865800865800866
descriptive_mtdna_detection_v1	immune	CAMs	MT-CYB	TRUE	1516	231	3027	862	0.568601583113456	214	0.926406926406926
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND1	TRUE	524	110	1390	372	0.709923664122137	96	0.872727272727273
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND2	TRUE	524	110	877	308	0.587786259541985	83	0.754545454545455
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-CO1	TRUE	524	110	4258	436	0.83206106870229	100	0.909090909090909
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-CO2	TRUE	524	110	4067	443	0.845419847328244	105	0.954545454545455
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ATP8	TRUE	524	110	41	37	0.0706106870229008	25	0.227272727272727
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ATP6	TRUE	524	110	4638	447	0.853053435114504	102	0.927272727272727
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-CO3	TRUE	524	110	5208	464	0.885496183206107	108	0.981818181818182
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND3	TRUE	524	110	2222	379	0.723282442748092	100	0.909090909090909
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND4L	TRUE	524	110	174	119	0.227099236641221	52	0.472727272727273
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND4	TRUE	524	110	3243	416	0.793893129770992	97	0.881818181818182
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND5	TRUE	524	110	608	246	0.469465648854962	78	0.709090909090909
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-ND6	TRUE	524	110	20	17	0.0324427480916031	15	0.136363636363636
descriptive_mtdna_detection_v1	immune	Mic MKI67	MT-CYB	TRUE	524	110	2516	399	0.761450381679389	97	0.881818181818182
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND1	TRUE	48676	275	72363	26369	0.541724874681568	274	0.996363636363636
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND2	TRUE	48676	275	48351	21150	0.434505711233462	274	0.996363636363636
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-CO1	TRUE	48676	275	139851	32968	0.67729476538746	275	1
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-CO2	TRUE	48676	275	149489	34022	0.698948146930726	275	1
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ATP8	TRUE	48676	275	1399	1291	0.0265223107897116	216	0.785454545454545
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ATP6	TRUE	48676	275	176347	35337	0.72596351384666	274	0.996363636363636
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-CO3	TRUE	48676	275	198118	37378	0.76789382858082	275	1
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND3	TRUE	48676	275	115643	28708	0.58977730298299	274	0.996363636363636
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND4L	TRUE	48676	275	6747	5259	0.108040923658476	257	0.934545454545455
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND4	TRUE	48676	275	120076	30532	0.62724956857589	274	0.996363636363636
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND5	TRUE	48676	275	23211	13376	0.274796614347933	269	0.978181818181818
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-ND6	TRUE	48676	275	532	512	0.0105185306927439	185	0.672727272727273
descriptive_mtdna_detection_v1	immune	Mic P2RY12	MT-CYB	TRUE	48676	275	122180	30928	0.635384994658559	275	1
descriptive_mtdna_detection_v1	immune	Mic TPT1	MT-ND1	TRUE	3449	245	4703	1812	0.525369672368802	221	0.902040816326531
