schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	analysis_population	manifest_modeling_status	terminal_status	genes_returned	paper_degs	cells_ad	cells_nci	donors_ad	donors_nci	message
yu_mast_contrast_status_v2	excitatory_set3	1	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	Exc L5 ET	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	14178	0	26	140	6	16	
yu_mast_contrast_status_v2	excitatory_set3	2	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	Exc L5 ET	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	13173	90	322	364	35	41	
yu_mast_contrast_status_v2	excitatory_set3	3	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	Exc L5 ET	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	13661	22	173	119	24	11	
yu_mast_contrast_status_v2	excitatory_set3	4	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	Exc L5 ET	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	13660	128	51	43	7	5	
yu_mast_contrast_status_v2	excitatory_set3	5	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	Exc L5 ET	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	13054	2659	280	511	24	50	
yu_mast_contrast_status_v2	excitatory_set3	6	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	Exc L5 ET	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	13646	71	203	75	25	10	
yu_mast_contrast_status_v2	excitatory_set3	7	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	Exc L5-6 RORB LINC02196	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	12026	431	266	899	8	16	
yu_mast_contrast_status_v2	excitatory_set3	8	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	Exc L5-6 RORB LINC02196	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	11858	331	2433	2664	37	45	
yu_mast_contrast_status_v2	excitatory_set3	9	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	Exc L5-6 RORB LINC02196	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	12189	574	1237	683	26	11	
yu_mast_contrast_status_v2	excitatory_set3	10	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	Exc L5-6 RORB LINC02196	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	11684	522	363	318	7	6	
