schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_name	analysis_population	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	paper_degs	latent_vars	min_pct	logfc_threshold	design_rank	design_columns	model_status	message
yu_mast_model_diagnostics_v2	excitatory_set2	1	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	Exc L3-4 RORB CUX2	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	2049	7715	8	16	11871	1070	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	2	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	Exc L3-4 RORB CUX2	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	18264	20834	37	45	12076	449	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	3	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e4	Exc L3-4 RORB CUX2	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	9664	4753	26	11	12373	720	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	4	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	2069	3140	7	6	12118	3072	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	5	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	Exc L3-4 RORB CUX2	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	12039	30614	27	53	11784	102	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	6	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e4	Exc L3-4 RORB CUX2	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	11378	4290	27	10	11793	702	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	7	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e2	Exc L3-5 RORB PLCH1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	519	1284	8	16	12276	383	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	8	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e33	Exc L3-5 RORB PLCH1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	3926	3978	37	45	11713	386	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	9	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	Exc L3-5 RORB PLCH1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	2439	1115	26	11	11827	742	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set2	10	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	732	581	7	6	11644	2948	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
