schema_version	manifest_row	contrast_id	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason
yu_mast_contrast_manifest_v2	1	vasculature::End::AD_vs_NCI__Female__e2	vasculature	End	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	51	215	7	15	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	2	vasculature::End::AD_vs_NCI__Female__e33	vasculature	End	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	730	747	36	44	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	3	vasculature::End::AD_vs_NCI__Female__e4	vasculature	End	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	445	220	25	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	4	vasculature::End::AD_vs_NCI__Male__e2	vasculature	End	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	87	126	7	5	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	5	vasculature::End::AD_vs_NCI__Male__e33	vasculature	End	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	390	1170	27	51	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	6	vasculature::End::AD_vs_NCI__Male__e4	vasculature	End	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	432	143	25	10	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	7	vasculature::Fib FLRT2::AD_vs_NCI__Female__e2	vasculature	Fib FLRT2	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	84	141	6	17	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	8	vasculature::Fib FLRT2::AD_vs_NCI__Female__e33	vasculature	Fib FLRT2	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	341	423	36	45	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	9	vasculature::Fib FLRT2::AD_vs_NCI__Female__e4	vasculature	Fib FLRT2	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	170	111	26	10	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	10	vasculature::Fib FLRT2::AD_vs_NCI__Male__e2	vasculature	Fib FLRT2	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	72	16	6	5	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	11	vasculature::Fib FLRT2::AD_vs_NCI__Male__e33	vasculature	Fib FLRT2	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	225	666	26	48	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	12	vasculature::Fib FLRT2::AD_vs_NCI__Male__e4	vasculature	Fib FLRT2	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	212	131	27	10	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	13	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e2	vasculature	Fib SLC4A4	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	36	7	3	4	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	14	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e33	vasculature	Fib SLC4A4	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	57	55	9	8	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	15	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e4	vasculature	Fib SLC4A4	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	15	37	9	3	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	16	vasculature::Fib SLC4A4::AD_vs_NCI__Male__e2	vasculature	Fib SLC4A4	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	0	11	0	2	yu_all_cohort_included_nuclei	not_estimable	zero_cells_in_arm:AD
yu_mast_contrast_manifest_v2	17	vasculature::Fib SLC4A4::AD_vs_NCI__Male__e33	vasculature	Fib SLC4A4	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	52	280	11	16	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	18	vasculature::Fib SLC4A4::AD_vs_NCI__Male__e4	vasculature	Fib SLC4A4	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	16	22	8	5	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	19	vasculature::Per::AD_vs_NCI__Female__e2	vasculature	Per	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	63	167	8	13	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	20	vasculature::Per::AD_vs_NCI__Female__e33	vasculature	Per	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	638	613	35	44	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	21	vasculature::Per::AD_vs_NCI__Female__e4	vasculature	Per	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	308	217	22	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	22	vasculature::Per::AD_vs_NCI__Male__e2	vasculature	Per	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	81	99	6	5	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	23	vasculature::Per::AD_vs_NCI__Male__e33	vasculature	Per	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	302	855	24	49	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	24	vasculature::Per::AD_vs_NCI__Male__e4	vasculature	Per	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	322	135	24	9	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	25	vasculature::SMC::AD_vs_NCI__Female__e2	vasculature	SMC	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	16	53	5	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	26	vasculature::SMC::AD_vs_NCI__Female__e33	vasculature	SMC	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	282	151	30	34	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	27	vasculature::SMC::AD_vs_NCI__Female__e4	vasculature	SMC	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	66	43	18	9	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	28	vasculature::SMC::AD_vs_NCI__Male__e2	vasculature	SMC	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	12	32	3	6	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	29	vasculature::SMC::AD_vs_NCI__Male__e33	vasculature	SMC	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	70	282	22	36	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	30	vasculature::SMC::AD_vs_NCI__Male__e4	vasculature	SMC	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	99	62	19	7	yu_all_cohort_included_nuclei	estimable	
