schema_version	check_name	passed	observed	expected	details
mitochondrial_annotation_checks_v1	reference_checksum_gencode	TRUE	3e52f82c63f8fd860bf632ccde10441c05751f4c342ad08c0a98e9e2700171a5	3e52f82c63f8fd860bf632ccde10441c05751f4c342ad08c0a98e9e2700171a5	
mitochondrial_annotation_checks_v1	reference_checksum_mitocarta	TRUE	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	
mitochondrial_annotation_checks_v1	reference_checksum_hgnc	TRUE	f3051e4aa6fac82166e1c26638d0077a95b0f66ab62a03e18bb35eb613e40a90	f3051e4aa6fac82166e1c26638d0077a95b0f66ab62a03e18bb35eb613e40a90	
mitochondrial_annotation_checks_v1	reference_checksum_extended_source_zip	TRUE	8c1dbc8578431da5d2d5118262718c60b553a9be3398e93658daa069e4a9afd4	8c1dbc8578431da5d2d5118262718c60b553a9be3398e93658daa069e4a9afd4	
mitochondrial_annotation_checks_v1	reference_checksum_extended_source_gmt	TRUE	89983d5c1f0af11c52edfeee7323eb425580ac6281d387a528562ab1787ce56b	89983d5c1f0af11c52edfeee7323eb425580ac6281d387a528562ab1787ce56b	
mitochondrial_annotation_checks_v1	reference_checksum_extended_derived_gmt	TRUE	f4d8b6c7a74894929028805e5e3cf81523968f8eecc380ac52b47038c5f9b847	f4d8b6c7a74894929028805e5e3cf81523968f8eecc380ac52b47038c5f9b847	
mitochondrial_annotation_checks_v1	reference_checksum_extended_manifest	TRUE	8d77d6782872d6d19eb98a6297c92dda686dfba719199c6c0b6346d4127fb4ec	8d77d6782872d6d19eb98a6297c92dda686dfba719199c6c0b6346d4127fb4ec	
mitochondrial_annotation_checks_v1	phase03_validated	TRUE	validated_complete	validated_complete	
mitochondrial_annotation_checks_v1	phase08_validated	TRUE	validated_complete	validated_complete	
mitochondrial_annotation_checks_v1	hgnc_rows	TRUE	44997	44997	
mitochondrial_annotation_checks_v1	mitocarta_genes	TRUE	1136	1136	
mitochondrial_annotation_checks_v1	conventional_mtdna_genes	TRUE	37	37	
mitochondrial_annotation_checks_v1	extended_union_genes	TRUE	157	157	
mitochondrial_annotation_checks_v1	extended_core_genes	TRUE	77	77	
mitochondrial_annotation_checks_v1	extended_only_genes	TRUE	80	80	
mitochondrial_annotation_checks_v1	no_redundant_reactome_core_reference_records	TRUE	0	0	
mitochondrial_annotation_checks_v1	master_assay_feature_keys_unique	TRUE	0	0	
mitochondrial_annotation_checks_v1	master_reference_keys_unique	TRUE	0	0	
mitochondrial_annotation_checks_v1	mapping_status_allowed	TRUE	ambiguous_alias,ambiguous_previous_symbol,mapped_alias,mapped_current_symbol,mapped_ensembl,mapped_previous_symbol,unmapped	mapped_ensembl,mapped_current_symbol,mapped_previous_symbol,mapped_alias,ambiguous_previous_symbol,ambiguous_alias,unmapped	
mitochondrial_annotation_checks_v1	annotated_keys_unique	TRUE	0	0	
mitochondrial_annotation_checks_v1	tested_status_allowed	TRUE	contrast_not_estimable,not_in_expression_matrix,present_but_filtered_min_pct,significant_down,significant_up,tested_not_significant	contrast_not_estimable,not_in_expression_matrix,present_but_filtered_min_pct,tested_not_significant,significant_up,significant_down	
mitochondrial_annotation_checks_v1	phase08_rows_preserved_once	TRUE	2864117	2864117	
mitochondrial_annotation_checks_v1	phase08_genes_in_master	TRUE	0	0	
mitochondrial_annotation_checks_v1	phase08_statistics_preserved	TRUE	TRUE	TRUE	
mitochondrial_annotation_checks_v1	mito_core_subset_exact	TRUE	387504	387504	
mitochondrial_annotation_checks_v1	mtdna_noncoding_subset_exact	TRUE	7776	7776	
mitochondrial_annotation_checks_v1	reference_inventory_per_rds	TRUE	1160,1160,1160,1160,1160,1160,1160,1160,1160	1160	
mitochondrial_annotation_checks_v1	positive_control_MT-ND2	TRUE	mtDNA:core_mito_protein	mtDNA:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_NDUFS1	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_SDHA	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_COX5A	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_ATP5F1A	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_TFAM	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_TOMM20	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_PINK1	TRUE	nuclear:core_mito_protein	nuclear:core_mito_protein	
mitochondrial_annotation_checks_v1	positive_control_TOMM20_localization	TRUE	MOM	MOM_or_contains_Outer	
mitochondrial_annotation_checks_v1	negative_control_MTRNR2L8_not_mtdna	TRUE	unknown	nuclear_or_unknown	
mitochondrial_annotation_checks_v1	written_outputs_nonempty	TRUE	9	9	
