schema_version	rds_id	source_rds	cell_type_high_resolution	manifest_row	contrast_id	contrast_family	contrast_name	contrast_kind	model_method	numerator_field	denominator_field	effect_type	effect_size	odds_ratio	standard_error	ci95_low	ci95_high	statistic	statistic_type	numerator_df	denominator_df	p_value	fdr_bh_mito_fraction_family	required_group_mt_counts	required_group_total_counts	positive_groups_mt_counts	positive_groups_total_counts	negative_groups_mt_counts	negative_groups_total_counts	model_donors	model_nuclei	dispersion	covariates
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	57	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.23019711114849	1.2588481184746	0.270022233955338	-0.301570511095942	0.761964733392923	0.852511690524586	t	1	254	0.394733283452872	0.628436359973208	AD__Female__e2=1432414;NCI__Female__e2=3233650	AD__Female__e2=46917751;NCI__Female__e2=135311069	1432414	46917751	3233650	135311069	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	58	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e33	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.176670307723172	1.19323762703928	0.122465092984728	-0.0645060219090148	0.417846637355359	1.44261767510522	t	1	254	0.150360193994209	0.467787270204206	AD__Female__e33=8851032;NCI__Female__e33=10501693	AD__Female__e33=356970787;NCI__Female__e33=504555897	8851032	356970787	10501693	504555897	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	59	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e4	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.201172968846174	0.817770970418839	0.18323831361917	-0.562032891045997	0.159686953353649	-1.09787612029806	t	1	254	0.27329823938403	0.622948652654979	AD__Female__e4=5038847;NCI__Female__e4=3969973	AD__Female__e4=206834803;NCI__Female__e4=130853153	5038847	206834803	3969973	130853153	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	60	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e2	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.152316793376366	0.858716202042049	0.396686911815715	-0.933531187397788	0.628897600645056	-0.383972318822373	t	1	254	0.701320195100221	0.835615551608774	AD__Male__e2=1019546;NCI__Male__e2=885382	AD__Male__e2=50347129;NCI__Male__e2=33033852	1019546	50347129	885382	33033852	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	61	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e33	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.257396898566217	1.2935584363754	0.143794486868156	-0.0257844204446649	0.540578217577098	1.79003315198185	t	1	254	0.0746396384139722	0.404072142834276	AD__Male__e33=5221813;NCI__Male__e33=12827381	AD__Male__e33=230476893;NCI__Male__e33=672331341	5221813	230476893	12827381	672331341	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	62	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e4	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.205011752495567	1.22753949153084	0.236103016825762	-0.259957142928575	0.669980647919709	0.868314836683602	t	1	254	0.386041670680395	0.628436359973208	AD__Male__e4=5306118;NCI__Male__e4=1703722	AD__Male__e4=232802223;NCI__Male__e4=88111688	5306118	232802223	1703722	88111688	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	63	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_Female_minus_Male__e2	sex_interaction	AD_effect_Female_minus_Male__e2	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.382513904524857	1.46596525776622	0.480195263587818	-0.563157456646713	1.32818526569643	0.796579919732804	t	1	254	0.426438958553248	0.628436359973208	AD__Female__e2=1432414;NCI__Female__e2=3233650;AD__Male__e2=1019546;NCI__Male__e2=885382	AD__Female__e2=46917751;NCI__Female__e2=135311069;AD__Male__e2=50347129;NCI__Male__e2=33033852	2317796	79951603	4253196	185658198	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	64	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_Female_minus_Male__e33	sex_interaction	AD_effect_Female_minus_Male__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.0807265908430446	0.92244586211565	0.188329975260574	-0.451613764371995	0.290160582685905	-0.428644408471626	t	1	254	0.668545310190731	0.835615551608774	AD__Female__e33=8851032;NCI__Female__e33=10501693;AD__Male__e33=5221813;NCI__Male__e33=12827381	AD__Female__e33=356970787;NCI__Female__e33=504555897;AD__Male__e33=230476893;NCI__Male__e33=672331341	21678413	1029302128	15723506	735032790	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	65	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_Female_minus_Male__e4	sex_interaction	AD_effect_Female_minus_Male__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.406184721341741	0.666187097083953	0.298742287843282	-0.994512111065359	0.182142668381877	-1.35964922901984	t	1	254	0.175146687622785	0.511894437597318	AD__Female__e4=5038847;NCI__Female__e4=3969973;AD__Male__e4=5306118;NCI__Male__e4=1703722	AD__Female__e4=206834803;NCI__Female__e4=130853153;AD__Male__e4=232802223;NCI__Male__e4=88111688	6742569	294946491	9276091	363655376	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	66	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e2_minus_e33__Female	apoe_interaction	AD_effect_e2_minus_e33__Female	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.0535268034253185	1.05498526860749	0.296425852603225	-0.530238720256216	0.637292327106853	0.180574005118797	t	1	254	0.856845952659936	0.922757179787623	AD__Female__e2=1432414;NCI__Female__e2=3233650;AD__Female__e33=8851032;NCI__Female__e33=10501693	AD__Female__e2=46917751;NCI__Female__e2=135311069;AD__Female__e33=356970787;NCI__Female__e33=504555897	11934107	551473648	12084682	492281856	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	67	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e4_minus_e33__Female	apoe_interaction	AD_effect_e4_minus_e33__Female	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.377843276569346	0.685337900756559	0.219631724351563	-0.810374472675194	0.0546879195365025	-1.72034926960066	t	1	254	0.0865868877502019	0.404072142834276	AD__Female__e4=5038847;NCI__Female__e4=3969973;AD__Female__e33=8851032;NCI__Female__e33=10501693	AD__Female__e4=206834803;NCI__Female__e4=130853153;AD__Female__e33=356970787;NCI__Female__e33=504555897	15540540	711390700	12821005	487823940	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	68	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e2_minus_e33__Male	apoe_interaction	AD_effect_e2_minus_e33__Male	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.409713691942583	0.663840285753306	0.415797962023241	-1.2285643856812	0.409137001796035	-0.985367244103237	t	1	254	0.325381398915206	0.623057917550152	AD__Male__e2=1019546;NCI__Male__e2=885382;AD__Male__e33=5221813;NCI__Male__e33=12827381	AD__Male__e2=50347129;NCI__Male__e2=33033852;AD__Male__e33=230476893;NCI__Male__e33=672331341	13846927	722678470	6107195	263510745	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	69	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_e4_minus_e33__Male	apoe_interaction	AD_effect_e4_minus_e33__Male	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.0523851460706495	0.948963306961566	0.275183828845917	-0.594317742516453	0.489547450375154	-0.190364187788016	t	1	254	0.84917581390483	0.922757179787623	AD__Male__e4=5306118;NCI__Male__e4=1703722;AD__Male__e33=5221813;NCI__Male__e33=12827381	AD__Male__e4=232802223;NCI__Male__e4=88111688;AD__Male__e33=230476893;NCI__Male__e33=672331341	18133499	905133564	6925535	318588581	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-4 RORB CUX2	70	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_effect_heterogeneity_across_sex_APOE	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	multi_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	maximum_absolute_log_odds_heterogeneity	0.377843276569346	NA	NA	NA	NA	1.00793291269689	F	5	254	0.413483800100507	0.628436359973208	NCI__Female__e2=3233650;AD__Female__e2=1432414;NCI__Male__e2=885382;AD__Male__e2=1019546;NCI__Female__e33=10501693;AD__Female__e33=8851032;NCI__Male__e33=12827381;AD__Male__e33=5221813;NCI__Female__e4=3969973;AD__Female__e4=5038847;NCI__Male__e4=1703722;AD__Male__e4=5306118	NCI__Female__e2=135311069;AD__Female__e2=46917751;NCI__Male__e2=33033852;AD__Male__e2=50347129;NCI__Female__e33=504555897;AD__Female__e33=356970787;NCI__Male__e33=672331341;AD__Male__e33=230476893;NCI__Female__e4=130853153;AD__Female__e4=206834803;NCI__Male__e4=88111688;AD__Male__e4=232802223	0	0	0	0	268	126763	70227.5049635074	age_death_scaled;pmi_scaled
mito_fraction_results_v1	excitatory_set2	data/processed/Excitatory_neurons_set2.rds	Exc L3-5 RORB PLCH1	71	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.131050467410149	1.14002531398532	0.213583031574205	-0.289731612223918	0.551832547044216	0.613580893782838	t	1	235	0.540085759138299	0.775507756711403	AD__Female__e2=283466;NCI__Female__e2=417303	AD__Female__e2=11277625;NCI__Female__e2=19064614	283466	11277625	417303	19064614	249	26061	7491.80621738692	age_death_scaled;pmi_scaled
