schema_version	rds_id	source_rds	cell_type_high_resolution	manifest_row	contrast_id	contrast_family	contrast_name	contrast_kind	model_method	numerator_field	denominator_field	effect_type	effect_size	odds_ratio	standard_error	ci95_low	ci95_high	statistic	statistic_type	numerator_df	denominator_df	p_value	fdr_bh_mito_fraction_family	required_group_mt_counts	required_group_total_counts	positive_groups_mt_counts	positive_groups_total_counts	negative_groups_mt_counts	negative_groups_total_counts	model_donors	model_nuclei	dispersion	covariates
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	310	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e33	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.01926048451377	0.980923813498401	0.118145559153364	-0.252797889512277	0.214276920484737	-0.163023347231936	t	1	143	0.870730209024807	0.954461117124576	AD__Female__e33=206802;NCI__Female__e33=327561	AD__Female__e33=8960164;NCI__Female__e33=13881560	206802	8960164	327561	13881560	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	311	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e4	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.0593497784621304	0.942377088294138	0.19598624449602	-0.446754258858973	0.328054701934713	-0.302826244845646	t	1	143	0.762462348060908	0.954461117124576	AD__Female__e4=146299;NCI__Female__e4=72231	AD__Female__e4=5757683;NCI__Female__e4=2653126	146299	5757683	72231	2653126	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	313	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e33	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.121689064048942	1.12940287522153	0.146885783370287	-0.168658917925909	0.412037046023793	0.828460462658757	t	1	143	0.408790368087933	0.954395448070339	AD__Male__e33=110140;NCI__Male__e33=400641	AD__Male__e33=4688522;NCI__Male__e33=18514314	110140	4688522	400641	18514314	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	314	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e4	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.101906820185196	0.903113699715653	0.191896320785113	-0.481226780292562	0.27741313992217	-0.531051454078224	t	1	143	0.596206974407537	0.954461117124576	AD__Male__e4=154511;NCI__Male__e4=70611	AD__Male__e4=6143457;NCI__Male__e4=2473204	154511	6143457	70611	2473204	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	316	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e33	sex_interaction	AD_effect_Female_minus_Male__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.140949548562712	0.868533129337035	0.187848179397703	-0.512267579173467	0.230368482048044	-0.750337581203276	t	1	143	0.454284225700602	0.954395448070339	AD__Female__e33=206802;NCI__Female__e33=327561;AD__Male__e33=110140;NCI__Male__e33=400641	AD__Female__e33=8960164;NCI__Female__e33=13881560;AD__Male__e33=4688522;NCI__Male__e33=18514314	607443	27474478	437701	18570082	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	317	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e4	sex_interaction	AD_effect_Female_minus_Male__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.0425570417230654	1.04347557632095	0.273958416315414	-0.498974422364816	0.584088505810947	0.15534124592861	t	1	143	0.876771357541574	0.954461117124576	AD__Female__e4=146299;NCI__Female__e4=72231;AD__Male__e4=154511;NCI__Male__e4=70611	AD__Female__e4=5757683;NCI__Female__e4=2653126;AD__Male__e4=6143457;NCI__Male__e4=2473204	216910	8230887	226742	8796583	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	319	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e4_minus_e33__Female	apoe_interaction	AD_effect_e4_minus_e33__Female	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.0400892939483604	0.960703650300028	0.228356293691126	-0.491479398035772	0.411300810139052	-0.175555896885352	t	1	143	0.860891199997308	0.954461117124576	AD__Female__e4=146299;NCI__Female__e4=72231;AD__Female__e33=206802;NCI__Female__e33=327561	AD__Female__e4=5757683;NCI__Female__e4=2653126;AD__Female__e33=8960164;NCI__Female__e33=13881560	473860	19639243	279033	11613290	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh ALCAM TRPM3	321	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e4_minus_e33__Male	apoe_interaction	AD_effect_e4_minus_e33__Male	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.223595884234137	0.799638215493747	0.240470918960374	-0.698932873572116	0.251741105103841	-0.929825049951187	t	1	143	0.354028651793105	0.954395448070339	AD__Male__e4=154511;NCI__Male__e4=70611;AD__Male__e33=110140;NCI__Male__e33=400641	AD__Male__e4=6143457;NCI__Male__e4=2473204;AD__Male__e33=4688522;NCI__Male__e33=18514314	555152	24657771	180751	7161726	157	6455	1726.19000736855	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh CUX2 MSR1	324	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e33	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	-0.101826850607134	0.903185924225004	0.134987351393953	-0.368208310043785	0.164554608829517	-0.754343644464569	t	1	178	0.451639697640566	0.954395448070339	AD__Female__e33=283977;NCI__Female__e33=661794	AD__Female__e33=10382380;NCI__Female__e33=22010690	283977	10382380	661794	22010690	192	16534	3516.46046947656	age_death_scaled;pmi_scaled
mito_fraction_results_v1	inhibitory	data/processed/Inhibitory_neurons.rds	Inh CUX2 MSR1	325	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e4	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	donor_level_quasibinomial_logit	total_mt_count	total_umi_count	log_odds_ratio	0.0471141013164198	1.04824160800373	0.210057367046027	-0.367409092311094	0.461637294943934	0.22429159223964	t	1	178	0.822787662828062	0.954461117124576	AD__Female__e4=226280;NCI__Female__e4=135585	AD__Female__e4=6236806;NCI__Female__e4=4111373	226280	6236806	135585	4111373	192	16534	3516.46046947656	age_death_scaled;pmi_scaled
