schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	oligodendrocytes	659	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	Oli	AD_vs_NCI	AD_vs_NCI__Female__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	660	oligodendrocytes::Oli::AD_vs_NCI__Female__e33	Oli	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	661	oligodendrocytes::Oli::AD_vs_NCI__Female__e4	Oli	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	662	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	Oli	AD_vs_NCI	AD_vs_NCI__Male__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	663	oligodendrocytes::Oli::AD_vs_NCI__Male__e33	Oli	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	664	oligodendrocytes::Oli::AD_vs_NCI__Male__e4	Oli	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	665	oligodendrocytes::Oli::AD_effect_Female_minus_Male__e2	Oli	sex_interaction	AD_effect_Female_minus_Male__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	666	oligodendrocytes::Oli::AD_effect_Female_minus_Male__e33	Oli	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	667	oligodendrocytes::Oli::AD_effect_Female_minus_Male__e4	Oli	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	668	oligodendrocytes::Oli::AD_effect_e2_minus_e33__Female	Oli	apoe_interaction	AD_effect_e2_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	669	oligodendrocytes::Oli::AD_effect_e4_minus_e33__Female	Oli	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	670	oligodendrocytes::Oli::AD_effect_e2_minus_e33__Male	Oli	apoe_interaction	AD_effect_e2_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	671	oligodendrocytes::Oli::AD_effect_e4_minus_e33__Male	Oli	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	oligodendrocytes	672	oligodendrocytes::Oli::AD_effect_heterogeneity_across_sex_APOE	Oli	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	eligible	validated_complete	
