schema_version	execution_stage	rds_id	source_rds	method_branch	cell_type_high_resolution	contrast_id	contrast_family	contrast_name	ranking_method	pathway	hierarchy	gene_set_source	gene_set_source_sha256	pathway_table_sha256	background_sha256	background_genes	pathway_genes_frozen	pathway_genes_tested	rank_mean_pathway	rank_mean_complement	rank_mean_difference	direction	rank_p_value	rank_fdr_bh_within_branch_contrast	significant_background_genes	significant_pathway_genes	ora_odds_ratio	ora_p_value	ora_fdr_bh_within_branch_contrast	terminal_status	message
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	Mitochondrial central dogma	Mitochondrial central dogma	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	231	215	0.229037189856771	0.0101701024294408	0.21886708742733	up_in_AD_or_positive_effect	0.000129327404623558	0.00724233465891924	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtDNA maintenance	Mitochondrial central dogma > mtDNA maintenance	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	31	30	0.311349537408501	0.0118889559894545	0.299460581419047	up_in_AD_or_positive_effect	0.0420209433047316	0.362026588471534	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtDNA replication	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	14	14	0.262355567103708	0.0121363938683383	0.25021917323537	up_in_AD_or_positive_effect	0.236844834307773	0.607489538047506	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtDNA nucleoid	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	11	11	0.145805821031341	0.0122282094303105	0.133577611601031	up_in_AD_or_positive_effect	0.637413296915906	0.855628930591384	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtDNA repair	Mitochondrial central dogma > mtDNA maintenance > mtDNA repair	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	9	9	0.643485810916831	0.0120379757152223	0.631447835201609	up_in_AD_or_positive_effect	0.0153746263345627	0.191328683274558	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtDNA modifications	Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	1	1	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	ineligible	fewer_than_5_tested_genes_in_pathway_or_complement
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtDNA stability and decay	Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	3	3	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	ineligible	fewer_than_5_tested_genes_in_pathway_or_complement
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtRNA metabolism	Mitochondrial central dogma > mtRNA metabolism	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	76	70	0.0806940723208474	0.0120776996171436	0.0686163727037039	up_in_AD_or_positive_effect	0.51975847951089	0.819900700073516	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	Transcription	Mitochondrial central dogma > mtRNA metabolism > Transcription	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	8	6	-0.0146866780741051	0.0123018566057367	-0.0269885346798418	down_in_AD_or_negative_effect	0.98846059489396	0.995849050221129	1	0	0	1	1	validated_complete	
mito_pathway_results_v1	minerva_production	oligodendrocytes	data/processed/Oligodendrocytes.rds	pseudobulk	Oli	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	AD_vs_NCI	AD_vs_NCI__Female__e2	signed_sqrt_edgeR_QLF	mtRNA granules	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules	Human_MitoCarta3.0_MitoPathways	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	2f9c2cf0260b59ec20090dc3551475d4e853890465d3f27fef5e634d5c5b6410	161e51465c21ee61195a194a7802236e4bcda314c4cebe3c0015c1d262e82646	22150	28	26	0.0730732777681559	0.0122231191189214	0.0608501586492345	up_in_AD_or_positive_effect	0.828532566753755	0.927956474764206	1	0	0	1	1	validated_complete	
