schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	opcs	673	opcs::OPC::AD_vs_NCI__Female__e2	OPC	AD_vs_NCI	AD_vs_NCI__Female__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	674	opcs::OPC::AD_vs_NCI__Female__e33	OPC	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	675	opcs::OPC::AD_vs_NCI__Female__e4	OPC	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	676	opcs::OPC::AD_vs_NCI__Male__e2	OPC	AD_vs_NCI	AD_vs_NCI__Male__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	677	opcs::OPC::AD_vs_NCI__Male__e33	OPC	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	678	opcs::OPC::AD_vs_NCI__Male__e4	OPC	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	679	opcs::OPC::AD_effect_Female_minus_Male__e2	OPC	sex_interaction	AD_effect_Female_minus_Male__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	680	opcs::OPC::AD_effect_Female_minus_Male__e33	OPC	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	681	opcs::OPC::AD_effect_Female_minus_Male__e4	OPC	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	682	opcs::OPC::AD_effect_e2_minus_e33__Female	OPC	apoe_interaction	AD_effect_e2_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	683	opcs::OPC::AD_effect_e4_minus_e33__Female	OPC	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	684	opcs::OPC::AD_effect_e2_minus_e33__Male	OPC	apoe_interaction	AD_effect_e2_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	685	opcs::OPC::AD_effect_e4_minus_e33__Male	OPC	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	opcs	686	opcs::OPC::AD_effect_heterogeneity_across_sex_APOE	OPC	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	eligible	validated_complete	
