background_id	schema_version	background_order	contrast_id	broad_cell_type	group_id	sex	apoe_group	structural_status	structurally_available	background_size	background_status
Astrocytes::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	1	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	Female	e2	validated_complete	TRUE	1084	available
Astrocytes::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	2	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	validated_complete	TRUE	1084	available
Astrocytes::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	validated_complete	TRUE	1084	available
Astrocytes::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	Male	e2	validated_complete	TRUE	1084	available
Astrocytes::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	validated_complete	TRUE	1084	available
Astrocytes::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	validated_complete	TRUE	1084	available
Excitatory_neurons::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	validated_complete	TRUE	1134	available
Excitatory_neurons::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	validated_complete	TRUE	1134	available
Excitatory_neurons::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	Female	e4	validated_complete	TRUE	1134	available
Excitatory_neurons::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	Male	e2	validated_complete	TRUE	1134	available
Excitatory_neurons::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	Male	e33	validated_complete	TRUE	1134	available
Excitatory_neurons::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	Male	e4	validated_complete	TRUE	1134	available
Inhibitory_neurons::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	Female	e2	validated_complete	TRUE	1113	available
Inhibitory_neurons::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	Female	e33	validated_complete	TRUE	1113	available
Inhibitory_neurons::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	Female	e4	validated_complete	TRUE	1113	available
Inhibitory_neurons::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	Male	e2	validated_complete	TRUE	1113	available
Inhibitory_neurons::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	Male	e33	validated_complete	TRUE	1113	available
Inhibitory_neurons::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	Male	e4	validated_complete	TRUE	1113	available
Microglia::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	Female	e2	validated_complete	TRUE	1033	available
Microglia::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	Female	e33	validated_complete	TRUE	1033	available
Microglia::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	Female	e4	validated_complete	TRUE	1033	available
Microglia::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	Male	e2	validated_complete	TRUE	1033	available
Microglia::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	Male	e33	validated_complete	TRUE	1033	available
Microglia::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	Male	e4	validated_complete	TRUE	1033	available
OPCs::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	Female	e2	validated_complete	TRUE	1070	available
OPCs::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	Female	e33	validated_complete	TRUE	1070	available
OPCs::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	validated_complete	TRUE	1070	available
OPCs::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	Male	e2	validated_complete	TRUE	1070	available
OPCs::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	Male	e33	validated_complete	TRUE	1070	available
OPCs::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	30	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	Male	e4	validated_complete	TRUE	1070	available
Oligodendrocytes::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	31	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes	F_e2	Female	e2	validated_complete	TRUE	1104	available
