schema_version	contrast_id	pathway_collection	pathway_id	broad_cell_type	sex	apoe_group	collection_order	collection_role	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	primary_test_status	primary_nes	primary_p_value	primary_local_fdr_bh	primary_local_significant	primary_global_fdr_bh	primary_leading_edge_genes	composition_test_status	composition_testability_reason	composition_nes	composition_p_value	composition_local_fdr_bh	composition_local_significant	composition_global_fdr_bh	composition_leading_edge_genes	whole_transcriptome_logFC_pearson	whole_transcriptome_sign_concordance	upstream_sensitivity_status	both_profiles_tested	nes_sign_concordant	nes_difference	absolute_nes_difference	leading_edge_overlap_count	leading_edge_union_count	leading_edge_jaccard	primary_signal_survives_composition
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	legacy_four	mib_micos_inner_membrane_19	Astrocytes	Female	e2	1	compatibility_benchmark	MIB/MICOS inner membrane	NA	NA	NA	NA	legacy_module	tested	-0.980236512890275	0.499162479061977	0.638841567291312	FALSE	0.694486927390576	APOOL,CHCHD3,IMMT,MICOS13,OPA1	tested	tested	-0.850583737701408	0.690972222222222	0.690972222222222	FALSE	0.825847123719464	APOOL,CHCHD3,DNAJC11,IMMT,MICOS13,OPA1	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	0.129652775188867	0.129652775188867	5	6	0.833333333333333	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	legacy_four	mitochondrial_translation_155	Astrocytes	Female	e2	1	compatibility_benchmark	Mitochondrial translation	NA	NA	NA	NA	legacy_module	tested	-1.35479300353369	0.0395778364116095	0.079155672823219	FALSE	0.0974223665516542	EARS2,FASTKD2,GARS1,GATB,GFM1,GRSF1,GTPBP10,GUF1,HARS2,LARS2,MIEF1,MRPL13,MRPL14,MRPL18,MRPL21,MRPL22,MRPL3,MRPL34,MRPL50,MRPS10,MRPS12,MRPS15,MRPS18A,MRPS22,MRPS31,MRPS7,MTG2,MTIF2,MTRF1L,OXA1L,PTCD3,PUSL1,RMND1,SLIRP,TACO1,TIMM21,WARS2,YARS2	tested	tested	-1.14452887034808	0.17246835443038	0.229957805907173	FALSE	0.297176241480039	EARS2,FASTKD2,GARS1,GATB,GFM1,GRSF1,GTPBP10,GUF1,HARS2,LARS2,MIEF1,MRPL14,MRPL21,MRPL22,MRPL3,MRPS10,MRPS22,MRPS7,MTG2,MTIF2,MTRF1L,MTRFR,NARS2,OXA1L,PTCD3,PUSL1,RMND1,SLIRP,TACO1,TARS2,TSFM,WARS2,YARS2	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	0.210264133185616	0.210264133185616	29	42	0.690476190476191	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	legacy_four	mtdna_oxphos_13	Astrocytes	Female	e2	1	compatibility_benchmark	mtDNA-encoded OXPHOS	NA	NA	NA	NA	legacy_module	tested	-0.87168331888418	0.638841567291312	0.638841567291312	FALSE	0.811227387036586	MT-CO1,MT-CYB,MT-ND4L,MT-ND6	tested	tested	1.90515420481012	0.00264751081274707	0.00529502162549413	TRUE	0.0118608484411069	MT-ATP6,MT-ATP8,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5	0.965130817978081	0.893475838314254	validated_complete	TRUE	FALSE	2.7768375236943	2.7768375236943	2	13	0.153846153846154	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	legacy_four	nuclear_oxphos_structural_86	Astrocytes	Female	e2	1	compatibility_benchmark	Nuclear structural OXPHOS	NA	NA	NA	NA	legacy_module	tested	1.72527958815167	0.000601177798425613	0.00240471119370245	TRUE	0.00354188640092956	ATP5F1B,ATP5F1C,ATP5F1E,ATP5MC2,ATP5ME,ATP5MJ,ATP5PB,ATP5PD,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COXFA4,NDUFA10,NDUFA3,NDUFA6,NDUFA8,NDUFB1,NDUFB11,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,SDHA,SDHB,UQCR11,UQCRB,UQCRQ	tested	tested	2.12535095022745	5.02844473949446e-06	2.01137789579778e-05	TRUE	6.46609790336806e-05	ATP5F1B,ATP5F1C,ATP5F1E,ATP5MC2,ATP5ME,ATP5MG,ATP5MJ,ATP5MK,ATP5PB,ATP5PD,COX4I1,COX5A,COX5B,COX6B1,COX6C,COX7A2,COX7A2L,COX7B,COX7C,COXFA4,CYC1,NDUFA1,NDUFA10,NDUFA12,NDUFA3,NDUFA6,NDUFA8,NDUFB1,NDUFB11,NDUFB3,NDUFB4,NDUFB6,NDUFB7,NDUFB9,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS6,NDUFS7,SDHA,UQCR11,UQCRB,UQCRQ	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	0.400071362075773	0.400071362075773	37	45	0.822222222222222	TRUE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	mitocarta_broad_46	ABC transporters	Astrocytes	Female	e2	2	primary_expanded	ABC transporters	Small molecule transport > ABC transporters	2	Small molecule transport	ABC transporters	broad_program	tested	-1.57446853899705	0.0216405187953254	0.449572566214647	FALSE	0.276804844889461	ABCB10,ABCB8,ABCD1,ABCD3	tested	tested	-1.41144681402167	0.099437148217636	0.362145390070922	FALSE	0.520663933875412	ABCB10,ABCB8,ABCD1,ABCD3	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	0.163021724975382	0.163021724975382	4	4	1	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	mitocarta_broad_46	Amino acid metabolism	Astrocytes	Female	e2	2	primary_expanded	Amino acid metabolism	Metabolism > Amino acid metabolism	2	Metabolism	Amino acid metabolism	broad_program	tested	-0.833755011933745	0.761299435028249	0.935310734463277	FALSE	0.990035835840985	AADAT,AASS,ACAT1,AKR7A2,ALDH18A1,BCKDHB,CPS1,DLST,GCAT,GCDH,GLDC,GLS,GPT2,GRHPR,HMGCL,IVD,KYAT3,MAOA,MAOB,PPM1K,PYCR1,SFXN1,SHMT2,SLC25A12,SLC25A13,SLC25A21,SLC25A29	tested	tested	-0.962041039226128	0.546052631578947	0.894626010781671	FALSE	0.890416876664987	AADAT,AASS,ACAT1,AKR7A2,ALDH18A1,BCAT2,BCKDHB,DLD,DLST,GCAT,GCDH,GLDC,GLS,GLS2,GLUD1,GRHPR,HMGCL,IVD,KYAT3,MAOB,MCCC1,PPM1K,PYCR1,SFXN1,SHMT2,SLC25A12,SLC25A13,SLC25A15,SLC25A21,SLC25A29	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	-0.128286027292382	0.128286027292382	24	33	0.727272727272727	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	mitocarta_broad_46	Apoptosis	Astrocytes	Female	e2	2	primary_expanded	Apoptosis	Mitochondrial dynamics and surveillance > Apoptosis	2	Mitochondrial dynamics and surveillance	Apoptosis	broad_program	tested	1.23144814665222	0.143661971830986	0.49002849002849	FALSE	0.589082822292607	AIFM3,BAD,BBC3,BCL2A1,BID,BOK,CHCHD2,GHITM,SPHK2	tested	tested	0.914550902501149	0.582547169811321	0.894626010781671	FALSE	0.904985576623754	AIFM3,BAD,BBC3,BCL2A1,BID,BOK,CHCHD2,GHITM,MCL1,SPHK2	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	-0.31689724415107	0.31689724415107	9	10	0.9	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	mitocarta_broad_46	Autophagy	Astrocytes	Female	e2	2	primary_expanded	Autophagy	Mitochondrial dynamics and surveillance > Autophagy	2	Mitochondrial dynamics and surveillance	Autophagy	broad_program	tested	-0.634762586711959	0.911908646003263	0.979178162822352	FALSE	1	FUNDC1,MARCHF5,NBR1,PGAM5,PINK1,STX17,VPS13D	tested	tested	-0.676700406893092	0.9	0.976785714285714	FALSE	0.995340067340067	NBR1,NIPSNAP2,PGAM5,PINK1,PRKN,STX17,VPS13D	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	-0.0419378201811331	0.0419378201811331	5	9	0.555555555555556	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	mitocarta_broad_46	Calcium homeostasis	Astrocytes	Female	e2	2	primary_expanded	Calcium homeostasis	Signaling > Calcium homeostasis	2	Signaling	Calcium homeostasis	broad_program	tested	-0.651542429264465	0.933634992458522	0.979178162822352	FALSE	1	SLC25A24	tested	tested	-1.13454935665714	0.276521739130435	0.630053475935829	FALSE	0.731319828644006	SLC25A13,SLC25A24,SLC25A25	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	-0.483006927392675	0.483006927392675	1	3	0.333333333333333	FALSE
broad_deg_pathway_composition_concordance_v1	Astrocytes::AD_vs_NCI__Female__e2	mitocarta_broad_46	Calcium uniporter	Astrocytes	Female	e2	2	primary_expanded	Calcium uniporter	Small molecule transport > Calcium uniporter	2	Small molecule transport	Calcium uniporter	broad_program	tested	0.624114783318672	0.891358024691358	0.979178162822352	FALSE	1	MCU,MCUB,MICU1,MICU2	tested	tested	0.65907419556727	0.88470066518847	0.976785714285714	FALSE	0.995340067340067	MCU,MCUB,MICU1	0.965130817978081	0.893475838314254	validated_complete	TRUE	TRUE	0.0349594122485979	0.0349594122485979	3	4	0.75	FALSE
