contrast_id	contrast_order	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	structural_status	structurally_available	core_feature_rows	mapped_core_feature_rows	unmapped_core_feature_rows	reference_only_rows	admitted_feature_rows	mapped_unique_background_genes	duplicate_symbol_collapses	background_id	background_size	background_status	schema_version
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	1	astrocytes	Ast CHI3L1	Astrocytes	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	656	656	0	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	656	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	2	astrocytes	Ast CHI3L1	Astrocytes	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	676	676	0	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	676	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	3	astrocytes	Ast CHI3L1	Astrocytes	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	658	658	0	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	658	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	4	astrocytes	Ast CHI3L1	Astrocytes	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	491	491	0	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	491	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	5	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	656	656	0	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	656	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	6	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	547	547	0	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	547	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	7	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	448	448	0	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	448	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	8	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	491	491	0	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	491	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	9	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	526	526	0	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	526	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	10	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	454	454	0	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	454	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	11	astrocytes	Ast DPP10	Astrocytes	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	486	486	0	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	486	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	12	astrocytes	Ast DPP10	Astrocytes	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	497	497	0	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	497	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	13	astrocytes	Ast GRM3	Astrocytes	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	596	596	0	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	596	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	14	astrocytes	Ast GRM3	Astrocytes	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	588	588	0	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	588	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	15	astrocytes	Ast GRM3	Astrocytes	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	669	669	0	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	669	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	16	astrocytes	Ast GRM3	Astrocytes	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	543	543	0	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	543	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	17	astrocytes	Ast GRM3	Astrocytes	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	532	532	0	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	532	available	fine_deg_pathway_background_manifest_v1
astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	18	astrocytes	Ast GRM3	Astrocytes	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	510	510	0	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	510	available	fine_deg_pathway_background_manifest_v1
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	19	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	812	812	0	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	812	available	fine_deg_pathway_background_manifest_v1
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	20	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	816	816	0	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	816	available	fine_deg_pathway_background_manifest_v1
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	21	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	821	821	0	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	821	available	fine_deg_pathway_background_manifest_v1
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	22	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	834	834	0	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	834	available	fine_deg_pathway_background_manifest_v1
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e33	23	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	804	804	0	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e33	804	available	fine_deg_pathway_background_manifest_v1
excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	24	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	799	799	0	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	799	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	25	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	911	911	0	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	911	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	26	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	922	922	0	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	922	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e4	27	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	935	935	0	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e4	935	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	28	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	918	918	0	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	918	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	29	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	901	901	0	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	901	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e4	30	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	891	891	0	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e4	891	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e2	31	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	933	933	0	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e2	933	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e33	32	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	903	903	0	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e33	903	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	33	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	907	907	0	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	907	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	34	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	892	892	0	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	892	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e33	35	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	872	872	0	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e33	872	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e4	36	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	M_e4	Male	e4	estimable_validated	TRUE	1196	1195	1	2	880	880	0	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e4	880	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e2	37	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e2	Female	e2	estimable_validated	TRUE	1196	1195	1	2	874	874	0	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e2	874	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e33	38	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e33	Female	e33	estimable_validated	TRUE	1196	1195	1	2	868	868	0	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e33	868	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	39	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e4	Female	e4	estimable_validated	TRUE	1196	1195	1	2	856	856	0	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	856	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	40	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e2	Male	e2	estimable_validated	TRUE	1196	1195	1	2	848	848	0	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	848	available	fine_deg_pathway_background_manifest_v1
excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	41	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	M_e33	Male	e33	estimable_validated	TRUE	1196	1195	1	2	818	818	0	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	818	available	fine_deg_pathway_background_manifest_v1
