contrast_id	schema_version	manifest_row	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason	terminal_status	genes_returned_phase08	paper_degs_phase08	phase08_status_message	broad_cell_type	signature_group	fine_cell_type	structural_status	structurally_available	contrast_order	background_size	background_status	mito_deg_any_count	mito_deg_down_count	mito_deg_up_count	phase09_contrast_paper_degs
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	1	astrocytes	Ast CHI3L1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	105	1104	6	16	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	8300	216	NA	Astrocytes	F_e2	Ast CHI3L1	estimable_validated	TRUE	1	656	available	10	3	7	216
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	2	astrocytes	Ast CHI3L1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	1974	3186	35	43	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	8465	940	NA	Astrocytes	F_e33	Ast CHI3L1	estimable_validated	TRUE	2	676	available	58	25	33	940
astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	3	astrocytes	Ast CHI3L1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1193	1298	22	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	8448	1581	NA	Astrocytes	F_e4	Ast CHI3L1	estimable_validated	TRUE	3	658	available	89	53	36	1581
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	4	astrocytes	Ast CHI3L1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	262	466	6	5	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6843	302	NA	Astrocytes	M_e2	Ast CHI3L1	estimable_validated	TRUE	4	491	available	18	7	11	302
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	fine_deg_pathway_contrast_manifest_v1	5	astrocytes	Ast CHI3L1	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	466	4424	25	52	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	8438	583	NA	Astrocytes	M_e33	Ast CHI3L1	estimable_validated	TRUE	5	656	available	32	12	20	583
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	fine_deg_pathway_contrast_manifest_v1	6	astrocytes	Ast CHI3L1	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1655	412	24	9	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	7185	1002	NA	Astrocytes	M_e4	Ast CHI3L1	estimable_validated	TRUE	6	547	available	62	39	23	1002
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	fine_deg_pathway_contrast_manifest_v1	7	astrocytes	Ast DPP10	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	560	936	8	17	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6381	410	NA	Astrocytes	F_e2	Ast DPP10	estimable_validated	TRUE	7	448	available	18	9	9	410
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	fine_deg_pathway_contrast_manifest_v1	8	astrocytes	Ast DPP10	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2867	4084	37	45	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6650	297	NA	Astrocytes	F_e33	Ast DPP10	estimable_validated	TRUE	8	491	available	13	7	6	297
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	fine_deg_pathway_contrast_manifest_v1	9	astrocytes	Ast DPP10	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1824	916	26	11	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6979	547	NA	Astrocytes	F_e4	Ast DPP10	estimable_validated	TRUE	9	526	available	35	29	6	547
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	fine_deg_pathway_contrast_manifest_v1	10	astrocytes	Ast DPP10	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	659	305	7	6	yu_all_cohort_included_nuclei	estimable	NA	validated_complete	6336	1470	NA	Astrocytes	M_e2	Ast DPP10	estimable_validated	TRUE	10	454	available	102	31	71	1470
