schema_version	context_id	module_id	test_id	contrast_id	contrast_order	modifier	module_order	module_role	group_1	group_2	group_3	group_4	group_1_donors	group_2_donors	group_3_donors	group_4_donors	group_1_donors_threshold50	group_2_donors_threshold50	group_3_donors_threshold50	group_4_donors_threshold50	minimum_group_donors	coverage_fraction	admitted_genes	coverage_pass	design_rank	residual_df	eligibility_status	model_status	failure_reason	estimate	robust_se	ci_low	ci_high	t_statistic	p_value_score	pc1_estimate.x	pc1_robust_se	pc1_ci_low	pc1_ci_high	pc1_p_value	q_value_score	direction	p_value_camera	q_value_camera	camera_status	primary_estimate	bootstrap_planned	bootstrap_successful	bootstrap_median	bootstrap_ci_low	bootstrap_ci_high	bootstrap_same_direction_fraction	bootstrap_valid	loo_planned	loo_successful	loo_sign_reversals	loo_largest_change_donor	loo_largest_absolute_change	loo_minimum_estimate	loo_maximum_estimate	balance_planned	balance_successful	balance_same_direction_fraction	balance_valid	threshold50_estimate	threshold50_status	threshold50_agrees	pc1_estimate.y	pc1_status	pc1_agrees	qc_adjusted_estimate	qc_adjusted_same_direction	severe_qc_exclusion_estimate	severe_qc_exclusion_status	severe_qc_same_direction	omission_units	omission_successful	omission_sign_reversals	omission_fraction_retain_half_magnitude	most_influential_omission	stability_status	nci_mean_z_pc1_correlation	pc1_reliable	donor_count_confirmatory	module_coverage_pass	score_q_pass	effect_meets_sesoi	interval_excludes_zero	interval_inside_sesoi	camera_testable	camera_direction_compatible	camera_competitive_q_support	bootstrap_direction_pass	loo_pass	pc1_correlation_pass	pc1_sensitivity_pass	threshold50_sensitivity_pass	balance_direction_pass	omission_pass	severe_qc_exclusion_pass	all_non_donor_support_rules_pass	scientific_status	permitted_sentence
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::sex_F_minus_M__e2::mtdna_oxphos_13	sex_F_minus_M__e2	1	sex	1	direct_respiratory	AD__Female__e2	NCI__Female__e2	AD__Male__e2	NCI__Male__e2	7	17	7	6	7	16	6	5	6	1	13	TRUE	15	257	eligible	estimated		0.626425955190596	0.912495744292746	-1.17049487962434	2.42334679000553	0.686497399148009	0.493018413747409	0.646622850291767	0.900795957125549	-1.12725832493557	2.4205040255191	0.473511038467314	0.957817869647846	Up	0.482453167437743	0.944631415335757	estimated	0.626425955190596	1000	1000	0.575450705124702	-0.899275408334145	1.972677608601	0.784	TRUE	272	272	0	50102114	0.481404532501342	0.145021422689254	0.937532758587101	1000	1000	0.93	TRUE	0.289645851307359	estimated	FALSE	0.646622850291767	estimated	TRUE	0.208387039820772	TRUE	0.598179371599943	estimated	TRUE	13	13	0	1	gene:MT-ND4	evaluated	0.997351186690964	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::sex_F_minus_M__e33::mtdna_oxphos_13	sex_F_minus_M__e33	2	sex	1	direct_respiratory	AD__Female__e33	NCI__Female__e33	AD__Male__e33	NCI__Male__e33	37	45	28	53	37	44	25	50	28	1	13	TRUE	15	257	eligible	estimated		0.0841151879388021	0.346979891432875	-0.599170624709906	0.76740100058751	0.242420929903007	0.808647364114753	0.0695218572867258	0.351764450889184	-0.623185889246305	0.762229603819756	0.84348489642663	0.957817869647846	Up	0.655724976829787	0.944631415335757	estimated	0.0841151879388021	1000	1000	0.0889269198976209	-0.600306840419804	0.719047101374548	0.611	TRUE	272	272	0	10102206	0.108795690216635	0.0151411883696247	0.192910878155437	1000	1000	0.663	TRUE	0.263458304005396	estimated	TRUE	0.0695218572867258	estimated	TRUE	0.329589449754022	TRUE	0.133038620818376	estimated	TRUE	13	13	0	1	gene:MT-ND6	evaluated	0.997351186690964	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::sex_F_minus_M__e4::mtdna_oxphos_13	sex_F_minus_M__e4	3	sex	1	direct_respiratory	AD__Female__e4	NCI__Female__e4	AD__Male__e4	NCI__Male__e4	26	11	25	10	25	11	24	9	10	1	13	TRUE	15	257	eligible	estimated		-0.374359408321094	0.538168462861564	-1.43414092467853	0.685422108036338	-0.695617514134032	0.487296921630284	-0.362977623148453	0.544667056471442	-1.43555641371524	0.709601167418336	0.505739765649078	0.957817869647846	Down	0.316805152473221	0.944631415335757	estimated	-0.374359408321094	1000	1000	-0.395819252138292	-1.31258471697701	0.630594264792369	0.771	TRUE	272	272	0	10100862	0.203028651559155	-0.525288292489977	-0.171330756761939	1000	1000	0.815	TRUE	-0.386330814165085	estimated	TRUE	-0.362977623148453	estimated	TRUE	-0.43866853276571	TRUE	-0.54951617764099	estimated	TRUE	13	13	0	1	gene:MT-ND2	evaluated	0.997351186690964	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::apoe_e2_minus_e33__Female::mtdna_oxphos_13	apoe_e2_minus_e33__Female	4	apoe	1	direct_respiratory	AD__Female__e2	NCI__Female__e2	AD__Female__e33	NCI__Female__e33	7	17	37	45	7	16	37	44	7	1	13	TRUE	15	257	eligible	estimated		-0.462414060455081	0.575604354635141	-1.59591573859799	0.671087617687825	-0.803353999550946	0.422512524383104	-0.44000690769679	0.577937751564879	-1.57810359856733	0.698089783173753	0.44715227164438	0.957817869647846	Down	0.258817189570696	0.928715301675688	estimated	-0.462414060455081	1000	1000	-0.450376304097945	-1.52456573832039	0.545388980184961	0.805	TRUE	272	272	0	20532115	0.306892897953499	-0.674130318911081	-0.155521162501582	1000	1000	0.808	TRUE	-0.596400078434659	estimated	TRUE	-0.44000690769679	estimated	TRUE	-0.0854663680889142	TRUE	-0.316801456624079	estimated	TRUE	13	13	0	1	gene:MT-ND6	evaluated	0.997351186690964	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::apoe_e2_minus_e33__Male::mtdna_oxphos_13	apoe_e2_minus_e33__Male	5	apoe	1	direct_respiratory	AD__Male__e2	NCI__Male__e2	AD__Male__e33	NCI__Male__e33	7	6	28	53	6	5	25	50	6	1	13	TRUE	15	257	eligible	estimated		-1.00472482770688	0.791544795526414	-2.56346451900611	0.554014863592359	-1.26932150067222	0.205474685647946	-1.01710790070183	0.777149097295493	-2.54749904326027	0.513283241856608	0.191782034297751	0.957817869647846	Down	0.20639068535227	0.928715301675688	estimated	-1.00472482770688	1000	1000	-0.953572274900262	-2.30355874014691	0.255847690963545	0.936	TRUE	272	272	0	50102114	0.468211660514382	-1.28416111963837	-0.536513167192494	1000	1000	0.931	TRUE	-0.622587625736623	estimated	TRUE	-1.01710790070183	estimated	TRUE	0.0357360418443358	FALSE	-0.781942207405647	estimated	TRUE	13	13	0	1	gene:MT-ND5	evaluated	0.997351186690964	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::apoe_e4_minus_e33__Female::mtdna_oxphos_13	apoe_e4_minus_e33__Female	6	apoe	1	direct_respiratory	AD__Female__e4	NCI__Female__e4	AD__Female__e33	NCI__Female__e33	26	11	37	45	25	11	37	44	11	1	13	TRUE	15	257	eligible	estimated		-0.42606480904586	0.399383800001306	-1.21254636339672	0.360416745305004	-1.06680543638592	0.287060822184986	-0.424347622500509	0.404386848727451	-1.22068136799838	0.371986122997362	0.294997971913665	0.957817869647846	Down	0.220612484328388	0.928715301675688	estimated	-0.42606480904586	1000	1000	-0.447322433640702	-1.20851789279541	0.311200640060794	0.89	TRUE	272	272	0	20947550	0.150511644161012	-0.576576453206872	-0.32809476660876	1000	1000	0.843	TRUE	-0.526185296396714	estimated	TRUE	-0.424347622500509	estimated	TRUE	-0.454960351550285	TRUE	-0.614606557031167	estimated	TRUE	13	13	0	1	gene:MT-ATP6	evaluated	0.997351186690964	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	mtdna_oxphos_13	astrocytes::apoe_e4_minus_e33__Male::mtdna_oxphos_13	apoe_e4_minus_e33__Male	7	apoe	1	direct_respiratory	AD__Male__e4	NCI__Male__e4	AD__Male__e33	NCI__Male__e33	25	10	28	53	24	9	25	50	10	1	13	TRUE	15	257	eligible	estimated		0.0324097872140365	0.49808914953428	-0.94844604251601	1.01326561694408	0.0650682458036682	0.948170247648625	0.00815185793466927	0.504815599460927	-0.98594994920747	1.00225366507681	0.987128697860257	0.963841583731187	Up	0.745886647854029	0.944631415335757	estimated	0.0324097872140365	1000	1000	-0.0103329112006063	-0.925466637523437	1.00050672719182	0.492	TRUE	272	272	19	10100862	0.206326094067105	-0.173916306853068	0.181120437627254	1000	1000	0.54	TRUE	0.123603821773767	estimated	TRUE	0.00815185793466927	estimated	FALSE	0.313297630969447	TRUE	0.0679482414281986	estimated	TRUE	13	13	0	0.846153846153846	gene:MT-ND6	evaluated	0.997351186690964	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	nuclear_oxphos_structural_86	astrocytes::sex_F_minus_M__e2::nuclear_oxphos_structural_86	sex_F_minus_M__e2	1	sex	2	direct_respiratory	AD__Female__e2	NCI__Female__e2	AD__Male__e2	NCI__Male__e2	7	17	7	6	7	16	6	5	6	0.86046511627907	74	TRUE	15	257	eligible	estimated		0.919094627057327	1.05949849379975	-1.16730953413625	3.00549878825091	0.867480824593825	0.386487862591594	0.842323832737791	1.12587982698995	-1.3748009388239	3.05944860429948	0.455055450123746	0.957817869647846	Up	0.362089758010062	0.944631415335757	estimated	0.919094627057327	1000	1000	0.809695359830025	-0.823130415502004	2.67279864383476	0.835	TRUE	272	272	0	34726040	0.602107400018871	0.316987227038456	1.31143918047326	1000	1000	0.98	TRUE	1.01297884698047	estimated	TRUE	0.842323832737791	estimated	TRUE	1.02243212673835	TRUE	0.902415602356035	estimated	TRUE	5	5	0	1	complex_I	evaluated	0.977174114176916	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	nuclear_oxphos_structural_86	astrocytes::sex_F_minus_M__e33::nuclear_oxphos_structural_86	sex_F_minus_M__e33	2	sex	2	direct_respiratory	AD__Female__e33	NCI__Female__e33	AD__Male__e33	NCI__Male__e33	37	45	28	53	37	44	25	50	28	0.86046511627907	74	TRUE	15	257	eligible	estimated		0.298460257553795	0.39749276190356	-0.484297393668182	1.08121790877577	0.750857087622157	0.453425607571671	0.239224973003154	0.370701115007989	-0.49077356256621	0.969223508572518	0.519288318194005	0.957817869647846	Up	0.536216302455313	0.944631415335757	estimated	0.298460257553795	1000	1000	0.291851644784714	-0.487755483758184	1.03931514543121	0.774	TRUE	272	272	0	10102206	0.195443603241281	0.103016654312514	0.44125098497444	1000	1000	0.946	TRUE	0.0606184990240311	estimated	FALSE	0.239224973003154	estimated	TRUE	0.39709864871105	TRUE	0.0468135821360548	estimated	TRUE	5	5	0	1	complex_IV	evaluated	0.977174114176916	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	inconclusive	
phase13_gate_decisions_v1	astrocytes	nuclear_oxphos_structural_86	astrocytes::sex_F_minus_M__e4::nuclear_oxphos_structural_86	sex_F_minus_M__e4	3	sex	2	direct_respiratory	AD__Female__e4	NCI__Female__e4	AD__Male__e4	NCI__Male__e4	26	11	25	10	25	11	24	9	10	0.86046511627907	74	TRUE	15	257	eligible	estimated		-0.0938522086368284	0.47556640876616	-1.03035541272834	0.842650995454687	-0.197348271254744	0.843710997485748	0.10438122172343	0.525958719179378	-0.93135640955564	1.1401188530025	0.842842889550929	0.957817869647846	Down	0.437888195199096	0.944631415335757	estimated	-0.0938522086368284	1000	1000	-0.0355859171674238	-0.921953262496278	0.8485723662376	0.528	TRUE	272	272	3	15218541	0.214463264316061	-0.308315472952889	0.0216587471616254	1000	1000	0.583	TRUE	-0.160442986223653	estimated	TRUE	0.10438122172343	estimated	FALSE	-0.134501754502794	TRUE	-0.0793748758348344	estimated	TRUE	5	5	0	0.6	complex_IV	evaluated	0.977174114176916	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	inconclusive	
