schema_version	module_order	module_id	frozen_gene_symbol	current_approved_symbol	stable_ensembl_id	assay_feature_identifier	source	source_version	inclusion_reason	omission_category	respiratory_complex	overlaps_phase13_modules	mapping_status	c3_admitted	c3_role
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND1	MT-ND1	ENSG00000198888	MT-ND1	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND1	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND2	MT-ND2	ENSG00000198763	MT-ND2	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND2	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND3	MT-ND3	ENSG00000198840	MT-ND3	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND3	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND4	MT-ND4	ENSG00000198886	MT-ND4	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND4	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND4L	MT-ND4L	ENSG00000212907	MT-ND4L	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND4L	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND5	MT-ND5	ENSG00000198786	MT-ND5	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND5	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ND6	MT-ND6	ENSG00000198695	MT-ND6	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ND6	I	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-CYB	MT-CYB	ENSG00000198727	MT-CYB	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-CYB	III	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-CO1	MT-CO1	ENSG00000198804	MT-CO1	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-CO1	IV	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-CO2	MT-CO2	ENSG00000198712	MT-CO2	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-CO2	IV	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-CO3	MT-CO3	ENSG00000198938	MT-CO3	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-CO3	IV	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ATP6	MT-ATP6	ENSG00000198899	MT-ATP6	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ATP6	V	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	1	mtdna_oxphos_13	MT-ATP8	MT-ATP8	ENSG00000228253	MT-ATP8	MitoCarta3.0	3	mtDNA-encoded structural OXPHOS subunit	gene:MT-ATP8	V	none	unique_assay_match	TRUE	mtDNA
phase15_module_members_v1	2	nuclear_oxphos_structural_86	NDUFA1	NDUFA1	ENSG00000125356	NDUFA1	MitoCarta3.0	3	strict nuclear structural OXPHOS subunit	complex_I	I	none	unique_assay_match	TRUE	nuclear
