schema_version	broad_network	case_order	case_id	list_status	total_passing_candidate_count	displayed_candidate_count	display_rank	current_symbol	aggregate_acat_p	aggregate_acat_q	coverage_numerator	coverage_denominator	coverage_fraction	conservative_support_count	evidence_tier	empty_result_reason
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	1	case1_core_mito_in_query	ranked_candidates	6	5	1	MT-CO2	1.0124977983537836e-16	6.278498847591812e-13	4	4	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	1	case1_core_mito_in_query	ranked_candidates	6	5	2	MT-CO3	1.0443914055559916e-12	3.238135552926352e-09	4	4	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	1	case1_core_mito_in_query	ranked_candidates	6	5	3	MT-ATP6	1.0169177434884658e-08	1.5764767318429943e-05	4	4	1.0	2	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	1	case1_core_mito_in_query	ranked_candidates	6	5	4	COX7C	6.322648291703118e-08	6.534457009475172e-05	3	3	1.0	2	tier2_localized_or_unstable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	1	case1_core_mito_in_query	ranked_candidates	6	5	5	COX4I1	7.185238476233081e-07	0.0006365094827303048	4	4	1.0	2	tier2_localized_or_unstable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	2	case2_core_mito_not_in_query	ranked_candidates	2	2	1	MT-CO2	8.054004259178892e-10	1.664762680372277e-06	17	17	1.0	2	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	2	case2_core_mito_not_in_query	ranked_candidates	2	2	2	RPL13	3.091812175732162e-05	0.014747944078242415	14	14	1.0	1	tier2_localized_or_unstable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	3	case3_not_core_mito	ranked_candidates	5	5	1	RPL11	1.7776559635829543e-08	2.20464892603558e-05	20	21	0.9523809523809523	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	3	case3_not_core_mito	ranked_candidates	5	5	2	RPLP1	2.4594995685497456e-06	0.0019064196030721217	21	21	1.0	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	3	case3_not_core_mito	ranked_candidates	5	5	3	RPL15	5.11728522358795e-06	0.0035258095190520977	21	21	1.0	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	3	case3_not_core_mito	ranked_candidates	5	5	4	APOE	2.0726873539087566e-05	0.012340946107657309	21	21	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Astrocytes	3	case3_not_core_mito	ranked_candidates	5	5	5	LAPTM4A	2.1891696046481277e-05	0.012340946107657309	21	21	1.0	2	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	CAMs	1	case1_core_mito_in_query	not_testable_no_included_runs	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	broad_network_has_zero_included_runs
mitochondrial_key_driver_selection_v1_top5_v1	CAMs	2	case2_core_mito_not_in_query	not_testable_no_included_runs	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	broad_network_has_zero_included_runs
