schema_version	candidate_id	gene	broad_network	requested_context	signal_status	shared_variants	lead_variant_retained	allele_operations	ld_reference	convergence	reason
human_genetic_support_tier1_v1	GS001	ANKRD11	OPCs	OPC	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS002	APOE	Astrocytes	Ast	summary_available_no_h0_h4	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS003	ATP6V1F	Inhibitory_neurons	Inh	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS004	COX4I1	Astrocytes	Ast	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS005	COX4I1	Excitatory_neurons	Exc	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS006	COX6B1	Excitatory_neurons	Exc	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS007	COX7C	Astrocytes	Ast	summary_available_no_h0_h4	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS008	COX7C	Inhibitory_neurons	Inh	summary_available_no_h0_h4	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS009	DYNLT1	Excitatory_neurons	Exc	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS010	FTL	OPCs	OPC	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS011	LAMTOR5	Excitatory_neurons	Exc	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
human_genetic_support_tier1_v1	GS012	LAMTOR5	Inhibitory_neurons	Inh	no_direct_gene_entry_in_filtered_summary	0	False	NA	NA	NA	Classical H0-H4 and shared-variant QC not available in public Tier 1 snapshot
