dataset_id	gene	ensembl_gene_id	qtl_type	schema_version	study_id	mapped_molecular_traits	traits_with_released_model	molecular_trait_ids	model_lbf_rows	unique_model_variants	credible_set_rows	model_availability	dense_statistics_rows	dense_minimum_p_value	dense_bonferroni_tests	dense_bonferroni_threshold	dense_regional_qtl_signal	dense_coverage_state	dense_source_url	context_match_level	source_context	source_sample_size	source_model_class
QTD000569	RPS15	ENSG00000115268	eQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000032	1	0	ENSG00000115268	0	0	0	no_released_model_for_mapped_trait	9931	0.000193132	9931	5.03473970395731e-06	FALSE	complete_indexed_candidate_gene_region	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000032/QTD000569/QTD000569.all.tsv.gz	lineage	neuron	73	released_complete_susie_log_bayes_factors
QTD000569	COX7C	ENSG00000127184	eQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000032	1	0	ENSG00000127184	0	0	0	no_released_model_for_mapped_trait	7061	0.000924749	7061	7.08114997875655e-06	FALSE	complete_indexed_candidate_gene_region	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000032/QTD000569/QTD000569.all.tsv.gz	lineage	neuron	73	released_complete_susie_log_bayes_factors
QTD000573	RPS15	ENSG00000115268	sQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000032	0	0		0	0	0	no_released_model_for_mapped_trait	NA	NA	NA	NA	NA	NA	NA	lineage	neuron	73	released_complete_susie_log_bayes_factors
QTD000573	COX7C	ENSG00000127184	sQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000032	0	0		0	0	0	no_released_model_for_mapped_trait	NA	NA	NA	NA	NA	NA	NA	lineage	neuron	73	released_complete_susie_log_bayes_factors
QTD000579	RPS15	ENSG00000115268	eQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	1	0	ENSG00000115268	0	0	0	no_released_model_for_mapped_trait	13302	2.11971e-06	13302	3.75883325815667e-06	TRUE	complete_indexed_candidate_gene_region	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000034/QTD000579/QTD000579.all.tsv.gz	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000579	COX7C	ENSG00000127184	eQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	1	0	ENSG00000127184	0	0	0	no_released_model_for_mapped_trait	9677	0.00258275	9677	5.16689056525783e-06	FALSE	complete_indexed_candidate_gene_region	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000034/QTD000579/QTD000579.all.tsv.gz	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000579	APOE	ENSG00000130203	eQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	1	0	ENSG00000130203	0	0	0	no_released_model_for_mapped_trait	11522	9.51257e-08	11522	4.33952438812706e-06	TRUE	complete_indexed_candidate_gene_region	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000034/QTD000579/QTD000579.all.tsv.gz	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000579	ANKRD11	ENSG00000167522	eQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	1	0	ENSG00000167522	0	0	0	no_released_model_for_mapped_trait	11058	0.000181941	11058	4.52161331162959e-06	FALSE	complete_indexed_candidate_gene_region	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000034/QTD000579/QTD000579.all.tsv.gz	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000583	RPS15	ENSG00000115268	sQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	0	0		0	0	0	no_released_model_for_mapped_trait	NA	NA	NA	NA	NA	NA	NA	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000583	COX7C	ENSG00000127184	sQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	0	0		0	0	0	no_released_model_for_mapped_trait	NA	NA	NA	NA	NA	NA	NA	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000583	APOE	ENSG00000130203	sQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	0	0		0	0	0	no_released_model_for_mapped_trait	NA	NA	NA	NA	NA	NA	NA	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
QTD000583	ANKRD11	ENSG00000167522	sQTL	human_genetic_support_tier2_classical_coloc_recovery_v1	QTS000034	0	0		0	0	0	no_released_model_for_mapped_trait	NA	NA	NA	NA	NA	NA	NA	bulk_brain_fallback	neocortex	211	released_complete_susie_log_bayes_factors
