schema_version	comparison_id	route_id	candidate_id	gene	broad_network	case_id	qtl_type	phenotype_tier	requested_context	selected_context_match	qtl_finemapping_rows	qtl_cs95_rows	qtl_max_pip	action	reason	decision_frozen_before_result
human_genetic_support_tier2_coloc_v1	T2R001	T2R001	GS001	ANKRD11	OPCs	non_mt_driver	eQTL	primary_AD	OPCs	exact	2	0	0.0497864723958845	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R002	T2R002	GS001	ANKRD11	OPCs	non_mt_driver	sQTL	primary_AD	OPCs	bulk_brain_fallback	1256	59	0.999987685978353	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R003	T2R003	GS002	APOE	Astrocytes	non_mt_driver	eQTL	primary_AD	Astrocytes	exact	8	0	0.216250350586013	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R004	T2R004	GS002	APOE	Astrocytes	non_mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	245	9	0.999999999999537	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R005	T2R005	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	eQTL	primary_AD	Inhibitory_neurons	exact	2	0	0.0556613541018715	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R006	T2R006	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	sQTL	primary_AD	Inhibitory_neurons	bulk_brain_fallback	83	0	0.862031909066902	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R007	T2R007	GS004	COX4I1	Astrocytes	mt_driver	eQTL	primary_AD	Astrocytes	exact	14	0	0.43225219963612	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R008	T2R008	GS004	COX4I1	Astrocytes	mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	106	9	0.987754233399463	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R009	T2R009	GS005	COX4I1	Excitatory_neurons	mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	8	0	0.373813705711782	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R010	T2R010	GS005	COX4I1	Excitatory_neurons	mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	106	9	0.987754233399463	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R011	T2R011	GS006	COX6B1	Excitatory_neurons	mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	29	15	0.970074810930778	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R012	T2R012	GS006	COX6B1	Excitatory_neurons	mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	72	6	0.576757766214059	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R013	T2R013	GS007	COX7C	Astrocytes	mt_driver	eQTL	primary_AD	Astrocytes	exact	2	0	0.837958334706651	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R014	T2R014	GS007	COX7C	Astrocytes	mt_driver	sQTL	primary_AD	Astrocytes	bulk_brain_fallback	117	0	0.382267558052559	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R015	T2R015	GS008	COX7C	Inhibitory_neurons	mt_driver	eQTL	primary_AD	Inhibitory_neurons	exact	2	0	0.042955136541611	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R016	T2R016	GS008	COX7C	Inhibitory_neurons	mt_driver	sQTL	primary_AD	Inhibitory_neurons	bulk_brain_fallback	117	0	0.382267558052559	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R017	T2R017	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	eQTL	primary_AD	Excitatory_neurons	exact	12	0	0.0905310779718204	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R018	T2R018	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	sQTL	primary_AD	Excitatory_neurons	bulk_brain_fallback	80	5	0.947477967682031	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
human_genetic_support_tier2_coloc_v1	T2R019	T2R019	GS010	FTL	OPCs	non_mt_driver	eQTL	primary_AD	OPCs	exact	2	0	0.0463359929629653	terminal_not_assessable	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	TRUE
