schema_version	signature_group	sex	apoe_group	broad_network	current_symbol	returned_call_count	returned_run_q_acat_score	display_rank
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	RPL11	1	1.83617654724178e-06	1
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	RPLP1	1	0.000329466475771193	2
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	RPL15	1	0.0021711462486555	3
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	APOE	1	0.00710099654622169	4
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	FAU	1	0.00710099654622169	5
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	RPS15	1	0.0153808087863582	6
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Astrocytes	MYO9A	1	0.0186409805927372	7
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPL11	5	5.97170149590089e-09	1
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	SELENOW	5	2.0855828235695962e-06	2
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPS13	3	2.674935673048853e-06	3
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	TMEM147	6	7.902471651559879e-05	4
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	WDR82	2	9.60884369225769e-05	5
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPL6	4	0.0002429298461991931	6
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	LAMTOR5	5	0.0010007698202454307	7
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	PSMB6	2	0.0011260092892487173	8
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	ATG101	2	0.0012593926823474526	9
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	SELENOM	2	0.0018606700436381068	10
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPLP2	5	0.0019747069009225663	11
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RABAC1	5	0.002192163491356647	12
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	PRDX1	3	0.0022241228834029656	13
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	GNG3	3	0.003277473157966387	14
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	GAPDH	4	0.00500568470548578	15
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPL8	1	0.00687894712944618	16
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPS11	1	0.00946341336834136	17
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	LAGE3	4	0.010539158185585993	18
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	ATP6V0B	1	0.0106754036113123	19
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPS15	4	0.011186689209426413	20
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	GABARAPL2	2	0.012319147279350632	21
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	BTF3	3	0.01286726457926525	22
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	TPI1	4	0.013953325255682226	23
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPL36AL	1	0.0189535513359361	24
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	DYNLL1	4	0.027488183521608693	25
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	ALG8	1	0.0298040883366208	26
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	POLR2K	2	0.03105113577759249	27
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPL36	1	0.0313671329152026	28
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	MT3	1	0.0319189337445472	29
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RPL29	1	0.0329785250136416	30
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	AL035071.1	1	0.038989239052427	31
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	GABRA1	1	0.0405272520042359	32
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	RAB6B	1	0.0405272520042359	33
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Excitatory_neurons	CFL1	1	0.0444996382707763	34
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	ATP6AP2	1	0.00290894684826011	1
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	TCEAL7	1	0.00482885815525482	2
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	RPLP1	1	0.00487541344452444	3
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	RPS15	1	0.0116785950779627	4
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	RPL15	1	0.0129731961537782	5
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	IKZF4	1	0.0192192164441083	6
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	SYN1	5	0.0315371920238319	7
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	PLCG2	1	0.03205582103679	8
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	GABARAPL2	1	0.0472052021444853	9
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	RXRA	1	0.0472052021444853	10
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	STMN1	1	0.0473033815473152	11
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	TM7SF3	1	0.0473033815473152	12
phase19b_sex_apoe_kda_combo_v2_contexts	F_e2	Female	e2	Inhibitory_neurons	GATAD1	3	0.0486863358746897	13
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Astrocytes	PGK1	1	0.0472033034645145	1
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	TMEM147	3	2.3788140223703366e-05	1
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	DYNLT1	1	4.85898878951237e-05	2
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	SRSF7	1	8.86398957421774e-05	3
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	MAPKAPK5-AS1	1	0.000176402432638779	4
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	WDR82	11	0.0006532691671802314	5
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	RPL36AL	1	0.00245853473969636	6
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	RPL11	1	0.00446216244002563	7
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	EDF1	1	0.00504993826424717	8
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	SELENOM	1	0.0061169333084982	9
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	RPS15	1	0.0156969663320287	10
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	RPL36	1	0.0181231456184024	11
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	HSPA13	1	0.0188803938337529	12
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	CUTA	1	0.0232646813244768	13
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	NAB2	1	0.0327514834009715	14
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	RPLP2	1	0.0327514834009715	15
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Excitatory_neurons	RBM22	1	0.0396466869124728	16
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	RPL7L1	1	0.00169002916153389	1
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	ATCAY	1	0.0104088744377767	2
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	CAMK2N2	1	0.0104088744377767	3
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	MOAP1	1	0.0104088744377767	4
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	MYO18A	1	0.0112392431145922	5
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	SRSF7	1	0.0113744056100517	6
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	PDE5A	1	0.0118467783368325	7
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	SAT2	1	0.0142123884810752	8
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	SCAMP1	1	0.0176638169466395	9
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	TBCK	1	0.0177584642880209	10
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	HOOK2	2	0.018339944049320243	11
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	PPP4R4	1	0.0211764647200224	12
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	TRERF1	1	0.0218348945104781	13
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	GCLM	1	0.0229778597123122	14
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	PLCG2	4	0.024231182901288364	15
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	ARGLU1	1	0.0280586418545553	16
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	SYN1	2	0.02830698183180898	17
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	TUBA1A	1	0.0287103875593815	18
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	GTF2A1	1	0.033081913583246	19
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	GATAD1	3	0.03345577105305319	20
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	EDF1	1	0.0343149032081761	21
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	PER3	1	0.0343149032081761	22
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	TXNDC9	1	0.0343149032081761	23
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	GALNT2	3	0.036850026504669814	24
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	KTN1	3	0.03709491258351693	25
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	ANKRD13A	1	0.0390434150407734	26
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	GREB1	1	0.0417057018523878	27
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	LAMTOR5	1	0.0417057018523878	28
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	CHGA	1	0.04389459056727	29
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	ACAT2	1	0.0441331237043127	30
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	GABPB2	1	0.0444787394480573	31
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	BTF3	1	0.0458793765314987	32
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	JAKMIP3	1	0.0466822979522686	33
phase19b_sex_apoe_kda_combo_v2_contexts	F_e33	Female	e33	Inhibitory_neurons	IGF1R	1	0.048498420312072	34
