schema_version	check_id	severity	observed	expected	passed
phase20_sex_apoe_kda_source_v1_checks_v1	phase12_status	error	TRUE	TRUE	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	phase12_failed_checks	error	0	0	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	annotation_conflicts	error	0	0	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	structural_run_slots	error	648	648	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	phase12_eligible_runs	error	295	295	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	phase20_included_runs	error	295	295	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	minimum_included_query_size	error	3	3	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	historical_phase18_included_runs	error	161	161	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	query_background_membership_errors	error	0	0	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	included_network_scope	error		none	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	duplicate_stock_return_keys	error	0	0	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	reconstructed_runs	error	295	295	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	candidate_test_rows	error	2623910	2623910	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	historical_phase18_parity_runs	error	161	161	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	historical_phase18_parity_rows	error	1343593	1343593	TRUE
phase20_sex_apoe_kda_source_v1_checks_v1	historical_phase18_parity_mismatches	error	0	0	TRUE
