schema_version	signature_group	sex	apoe_group	broad_network	current_symbol	case_id	is_core_mito	eligible_run_count	usable_run_count	explicit_run_count	implicit_run_count	missing_run_count	coverage_numerator	coverage_denominator	coverage_fraction	strict_coverage_pass	relaxed_coverage_pass	conservative_support_count	relaxed_support_count	conservative_support_pass	relaxed_support_pass	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	category_acat_p	relaxed_category_acat_q	strict_category_acat_q	studywide_acat_q	missing_as_one_acat_p	missing_as_one_acat_q	mean_log_p_score	strict_non_mt_reference	relaxed_phase20_candidate	exploratory_q20	exploratory_inclusive	terminal_candidate_status	strict_rank	relaxed_rank	exploratory_inclusive_rank	top5_summary	top10_display	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	evidence_label
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e2	Female	e2	Astrocytes	APOE	case3_not_core_mito	FALSE	2	2	2	0	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast GRM3	1	AD_up_mito	37.25	37.25	0.00011000147719053572	0.11104649122384581	0.11104649122384581	0.23348197259774428	0.00011000147719053572	0.11104649122384581	2.725435715607911	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	6	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e2	Female	e2	Excitatory_neurons	GNG3	case3_not_core_mito	FALSE	14	14	9	5	0	14	14	1.0	TRUE	TRUE	3	5	TRUE	TRUE	0.35714285714285715	5	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	9.96	11.76	0.00017697077413040383	0.11194665540706117	0.11857041866737056	0.32233998831446903	0.00017697077413040383	0.11194665540706117	1.680949407858077	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	14	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e2	Female	e2	Excitatory_neurons	GAPDH	case3_not_core_mito	FALSE	14	14	8	6	0	14	14	1.0	TRUE	TRUE	4	4	TRUE	TRUE	0.2857142857142857	4	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1	AD_up_mito	42.38	48.17	0.0002762220389588068	0.16308149180127954	0.17083270717144666	0.4587093678960825	0.0002762220389588068	0.16308149180127954	1.4936328603127815	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	15	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e33	Female	e33	Astrocytes	PGK1	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	Ast CHI3L1	1	AD_up_mito	66.2	66.2	2.091850962599551e-05	0.13772746737755442	0.13772746737755442	0.06259709688704866	2.091850962599551e-05	0.13772746737755442	2.4902496280829145	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	1	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e33	Female	e33	Excitatory_neurons	RRAGA	case3_not_core_mito	FALSE	15	15	4	11	0	15	15	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.06666666666666667	1	Exc RELN CHD7	1	AD_up_mito	16.82	16.82	0.00014853785113083402	0.18762452567126206	0.17429855845552436	0.2824354403095852	0.00014853785113083402	0.18762452567126206	0.645748059070812	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	7	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e33	Female	e33	Excitatory_neurons	RPL36AL	case3_not_core_mito	FALSE	15	15	2	13	0	15	15	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.06666666666666667	1	Exc L3-4 RORB CUX2	1	AD_down_mito	64.15	64.15	0.0001783537609690112	0.19712549431099965	0.18312472407493227	0.32233998831446903	0.0001783537609690112	0.19712549431099965	0.447054556694518	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	8	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e4	Female	e4	Excitatory_neurons	RPL15	case3_not_core_mito	FALSE	13	13	8	5	0	13	13	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.07692307692307693	1	Exc L2-3 CBLN2 LINC02306	1	AD_down_mito	7.02	7.02	0.00018780103685258592	0.1657344150224071	0.16814452832868193	0.33282355014560516	0.00018780103685258592	0.1657344150224071	1.1350335329041514	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	10	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e4	Female	e4	Excitatory_neurons	PRDX1	case3_not_core_mito	FALSE	13	13	11	2	0	13	13	1.0	TRUE	TRUE	2	2	TRUE	TRUE	0.15384615384615385	2	Exc L2-3 CBLN2 LINC02306|Exc RELN CHD7	1	AD_down_mito	5.165	5.75	0.00024234177550135278	0.19442419716358528	0.19527900269899007	0.41342600949968167	0.00024234177550135278	0.19442419716358528	1.454286700130172	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	11	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e4	Female	e4	OPCs	NCOA1	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	OPC	1	AD_down_mito	11.79	11.79	1.5838694458137266e-05	0.10784567056545664	0.10784567056545664	0.05354006683332334	1.5838694458137266e-05	0.10784567056545664	2.550655307276708	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	1	FALSE	FALSE	0	NA	NA	NA	NA	NA
phase20_sex_apoe_non_mt_kda_v1_exploratory_leads_v1	F_e4	Female	e4	OPCs	PAPOLA	case3_not_core_mito	FALSE	2	2	1	1	0	2	2	1.0	TRUE	TRUE	1	1	TRUE	TRUE	0.5	1	OPC	1	AD_down_mito	53.37	53.37	4.211769934432708e-05	0.14338970741776155	0.14338970741776155	0.10982972289878253	4.211769934432708e-05	0.14338970741776155	2.3382826773219447	FALSE	FALSE	TRUE	TRUE	exploratory_q20	NA	NA	2	FALSE	FALSE	0	NA	NA	NA	NA	NA
