schema_version	scope	signature_group	broad_network	stage_order	stage_id	input_count	retained_count	removed_at_stage
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	overall	ALL	ALL	1	input_non_mt_units	259548	259548	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	overall	ALL	ALL	2	coverage_at_least_0_50	259548	233368	26180
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	overall	ALL	ALL	3	relaxed_run_support	233368	500	232868
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	overall	ALL	ALL	4	category_q_at_most_0_10	500	74	426
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Astrocytes	1	input_non_mt_units	6931	6931	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Astrocytes	2	coverage_at_least_0_50	6931	5986	945
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Astrocytes	3	relaxed_run_support	5986	13	5973
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Astrocytes	4	category_q_at_most_0_10	13	4	9
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Excitatory_neurons	1	input_non_mt_units	9101	9101	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Excitatory_neurons	2	coverage_at_least_0_50	9101	8895	206
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Excitatory_neurons	3	relaxed_run_support	8895	59	8836
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Excitatory_neurons	4	category_q_at_most_0_10	59	11	48
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Inhibitory_neurons	1	input_non_mt_units	8330	8330	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7663	667
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Inhibitory_neurons	3	relaxed_run_support	7663	7	7656
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Inhibitory_neurons	4	category_q_at_most_0_10	7	0	7
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Microglia	1	input_non_mt_units	5157	5157	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Microglia	2	coverage_at_least_0_50	5157	4060	1097
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Microglia	3	relaxed_run_support	4060	9	4051
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Microglia	4	category_q_at_most_0_10	9	0	9
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	OPCs	2	coverage_at_least_0_50	6982	6896	86
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	OPCs	3	relaxed_run_support	6896	0	6896
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	OPCs	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Oligodendrocytes	2	coverage_at_least_0_50	5424	5335	89
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Oligodendrocytes	3	relaxed_run_support	5335	0	5335
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Oligodendrocytes	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Vasculature_cells	1	input_non_mt_units	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Vasculature_cells	2	coverage_at_least_0_50	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Vasculature_cells	3	relaxed_run_support	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e2	Vasculature_cells	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Astrocytes	1	input_non_mt_units	6931	6931	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Astrocytes	2	coverage_at_least_0_50	6931	6030	901
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Astrocytes	3	relaxed_run_support	6030	6	6024
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Astrocytes	4	category_q_at_most_0_10	6	0	6
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Excitatory_neurons	1	input_non_mt_units	9101	9101	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Excitatory_neurons	2	coverage_at_least_0_50	9101	8757	344
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Excitatory_neurons	3	relaxed_run_support	8757	48	8709
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Excitatory_neurons	4	category_q_at_most_0_10	48	6	42
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	1	input_non_mt_units	8330	8330	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7711	619
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	3	relaxed_run_support	7711	10	7701
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Inhibitory_neurons	4	category_q_at_most_0_10	10	0	10
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	1	input_non_mt_units	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	2	coverage_at_least_0_50	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	3	relaxed_run_support	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Microglia	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	2	coverage_at_least_0_50	6982	6593	389
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	3	relaxed_run_support	6593	4	6589
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	OPCs	4	category_q_at_most_0_10	4	3	1
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	2	coverage_at_least_0_50	5424	4899	525
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	3	relaxed_run_support	4899	0	4899
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	F_e33	Oligodendrocytes	4	category_q_at_most_0_10	0	0	0
