schema_version	signature_group	broad_network	current_symbol	assessable_repetitions	nominal_p_pass_fraction	aggregate_q_pass_fraction	candidate_retention_fraction	worst_rank	supporting_fine_cell_type_count	evidence_label
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Astrocytes	FAU	3	1.0	0.6666666666666666	0.6666666666666666	4	1	relaxed_phase20_candidate
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Astrocytes	RPL11	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	1	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Astrocytes	RPL15	3	1.0	0.6666666666666666	0.6666666666666666	2	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Astrocytes	RPLP1	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	3	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e4	Astrocytes	RPL15	3	1.0	0.6666666666666666	0.6666666666666666	1	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	M_e2	Astrocytes	APOE	3	1.0	1.0	1.0	5	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	M_e2	Astrocytes	LAPTM4A	3	1.0	1.0	1.0	5	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	M_e2	Astrocytes	RPL11	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	1	1	relaxed_phase20_candidate
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	M_e2	Astrocytes	RPL15	3	1.0	0.6666666666666666	0.6666666666666666	3	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	M_e2	Astrocytes	RPLP1	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	2	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	ATG101	12	1.0	0.8333333333333334	0.8333333333333334	10	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	LAMTOR5	12	1.0	0.9166666666666666	0.9166666666666666	6	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	PSMB6	12	1.0	0.8333333333333334	0.8333333333333334	11	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	RABAC1	12	1.0	0.75	0.75	11	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	RPL11	12	1.0	1.0	1.0	1	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	RPL6	12	1.0	1.0	1.0	6	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	RPLP2	12	1.0	0.9166666666666666	0.9166666666666666	9	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	RPS13	12	1.0	1.0	1.0	3	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	SELENOW	12	1.0	1.0	1.0	4	5	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	TMEM147	12	1.0	1.0	1.0	5	6	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e2	Excitatory_neurons	WDR82	12	1.0	0.9166666666666666	0.9166666666666666	7	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e33	Excitatory_neurons	DYNLT1	14	1.0	0.9285714285714286	0.9285714285714286	2	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e33	Excitatory_neurons	MAPKAPK5-AS1	14	1.0	0.9285714285714286	0.9285714285714286	4	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e33	Excitatory_neurons	PGAM1	14	0.9285714285714286	0.8571428571428571	0.8571428571428571	6	1	relaxed_phase20_candidate
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e33	Excitatory_neurons	SRSF7	14	1.0	0.9285714285714286	0.9285714285714286	3	1	strict_non_mt_reference
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e33	Excitatory_neurons	TMEM147	14	1.0	0.9285714285714286	0.9285714285714286	1	4	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e33	Excitatory_neurons	WDR82	14	1.0	1.0	1.0	5	12	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e4	Excitatory_neurons	ATG101	13	1.0	0.9230769230769231	0.9230769230769231	4	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e4	Excitatory_neurons	GABARAPL2	13	1.0	0.9230769230769231	0.9230769230769231	6	3	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e4	Excitatory_neurons	PSMB6	13	1.0	0.9230769230769231	0.9230769230769231	3	2	recurrent_stable
phase20_sex_apoe_non_mt_kda_v2_stability_summary_v1	F_e4	Excitatory_neurons	RPL11	13	1.0	0.9230769230769231	0.9230769230769231	1	4	recurrent_stable
