schema_version	analysis_id	manifest_row	category_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	source_terminal_status	source_message	donors_ad	donors_nci	up_eligibility_status	up_effective_query_genes	up_terminal_status	up_relaxed_candidates	down_eligibility_status	down_effective_query_genes	down_terminal_status	down_relaxed_candidates	eligible_direction_count	completed_direction_count	failed_direction_count	relaxed_candidate_rows	category_status	up_top5_genes	up_top5_non_mt_run_q	up_all_candidate_genes	up_all_non_mt_run_q	down_top5_genes	down_top5_non_mt_run_q	down_all_candidate_genes	down_all_non_mt_run_q	descriptive_union_genes	inferential_note
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	1	Astrocytes::F_e2	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	Female	e2	validated_complete		7	17	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	2	Astrocytes::F_e33	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	validated_complete		37	45	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	3	Astrocytes::F_e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	validated_complete		26	11	effective_query_below_minimum	2	skipped_effective_query_below_minimum	0	eligible	13	completed_significant	2	1	1	0	2	completed_with_candidate					ELL2;SLC44A3	0.02577852446084419;0.02577852446084419	ELL2;SLC44A3	0.02577852446084419;0.02577852446084419	ELL2;SLC44A3	directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	4	Astrocytes::M_e2	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	5	Astrocytes::M_e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	validated_complete		28	53	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	eligible	3	completed_no_significant	0	1	1	0	0	completed_no_selected_candidate										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	6	Astrocytes::M_e4	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	validated_complete		25	10	no_provisional_query	0	skipped_no_provisional_query	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	7	Excitatory_neurons::F_e2	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	validated_complete		8	17	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	8	Excitatory_neurons::F_e33	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	Female	e33	validated_complete		37	45	effective_query_below_minimum	2	skipped_effective_query_below_minimum	0	no_provisional_query	0	skipped_no_provisional_query	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	9	Excitatory_neurons::F_e4	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	Female	e4	validated_complete		26	11	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_below_minimum	1	skipped_effective_query_below_minimum	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
phase20_broad_category_summary_v1	phase20_sex_apoe_kda_broad_v1	10	Excitatory_neurons::M_e2	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	Male	e2	validated_complete		7	6	no_provisional_query	0	skipped_no_provisional_query	0	effective_query_empty_after_background	0	skipped_effective_query_empty_after_background	0	0	0	0	0	no_eligible_direction										directions_retained_separately_no_combined_q
