schema_version	analysis_id	manifest_row	category_id	kda_run_id	query_tier	contrast_id	broad_cell_type	group_id	sex	apoe_group	signature_direction	source_terminal_status	source_message	donors_ad	donors_nci	provisional_query_rows	provisional_query_genes	effective_query_genes	query_genes_lost_from_background	source_result_rows	exact_tested_genes	mapped_symbol_collision_count	mapped_symbol_collapsed_rows	full_network_edges	induced_network_edges	effective_background_genes	query_size_tier	eligibility_status	terminal_status	explicit_candidate_tests	non_mt_candidate_family_size	stock_significant_returns	relaxed_non_mt_candidates	strict_non_mt_candidates	message
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	1	Astrocytes::F_e2	broad__relaxed__Astrocytes__F_e2__AD_up_mito	relaxed	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	Female	e2	AD_up_mito	validated_complete		7	17	0	0	0	0	19742	19720	22	22	8881	8304	7828	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	1	Astrocytes::F_e2	broad__relaxed__Astrocytes__F_e2__AD_down_mito	relaxed	Astrocytes::AD_vs_NCI__Female__e2	Astrocytes	F_e2	Female	e2	AD_down_mito	validated_complete		7	17	0	0	0	0	19742	19720	22	22	8881	8304	7828	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	2	Astrocytes::F_e33	broad__relaxed__Astrocytes__F_e33__AD_up_mito	relaxed	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	AD_up_mito	validated_complete		37	45	1	1	1	0	19742	19720	22	22	8881	8304	7828	below_minimum	effective_query_below_minimum	skipped_effective_query_below_minimum	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	2	Astrocytes::F_e33	broad__relaxed__Astrocytes__F_e33__AD_down_mito	relaxed	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	AD_down_mito	validated_complete		37	45	1	1	0	1	19742	19720	22	22	8881	8304	7828	empty	effective_query_empty_after_background	skipped_effective_query_empty_after_background	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	3	Astrocytes::F_e4	broad__relaxed__Astrocytes__F_e4__AD_up_mito	relaxed	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	AD_up_mito	validated_complete		26	11	2	2	2	0	19742	19720	22	22	8881	8304	7828	below_minimum	effective_query_below_minimum	skipped_effective_query_below_minimum	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	3	Astrocytes::F_e4	broad__relaxed__Astrocytes__F_e4__AD_down_mito	relaxed	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	AD_down_mito	validated_complete		26	11	18	18	13	5	19742	19720	22	22	8881	8304	7828	phase18_sized_query_ge10	eligible	completed_significant	160	151	2	2	2	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	4	Astrocytes::M_e2	broad__relaxed__Astrocytes__M_e2__AD_up_mito	relaxed	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	Male	e2	AD_up_mito	validated_complete		7	6	0	0	0	0	19742	19720	22	22	8881	8304	7828	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	4	Astrocytes::M_e2	broad__relaxed__Astrocytes__M_e2__AD_down_mito	relaxed	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	Male	e2	AD_down_mito	validated_complete		7	6	1	1	1	0	19742	19720	22	22	8881	8304	7828	below_minimum	effective_query_below_minimum	skipped_effective_query_below_minimum	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	5	Astrocytes::M_e33	broad__relaxed__Astrocytes__M_e33__AD_up_mito	relaxed	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	AD_up_mito	validated_complete		28	53	1	1	0	1	19742	19720	22	22	8881	8304	7828	empty	effective_query_empty_after_background	skipped_effective_query_empty_after_background	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	5	Astrocytes::M_e33	broad__relaxed__Astrocytes__M_e33__AD_down_mito	relaxed	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	AD_down_mito	validated_complete		28	53	5	5	3	2	19742	19720	22	22	8881	8304	7828	small_query_3_9	eligible	completed_no_significant	80	78	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	6	Astrocytes::M_e4	broad__relaxed__Astrocytes__M_e4__AD_up_mito	relaxed	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	AD_up_mito	validated_complete		25	10	0	0	0	0	19742	19720	22	22	8881	8304	7828	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	6	Astrocytes::M_e4	broad__relaxed__Astrocytes__M_e4__AD_down_mito	relaxed	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	Male	e4	AD_down_mito	validated_complete		25	10	0	0	0	0	19742	19720	22	22	8881	8304	7828	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	7	Excitatory_neurons::F_e2	broad__relaxed__Excitatory_neurons__F_e2__AD_up_mito	relaxed	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	Female	e2	AD_up_mito	validated_complete		8	17	0	0	0	0	26509	26462	43	47	13759	12829	9926	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
