schema_version	signature_group	sex	apoe_group	broad_cell_type	key_driver	is_core_mito	mito_tier	genome_origin	contributing_call_count	contributing_fine_cell_type_count	contributing_fine_cell_types	contributing_run_ids	minimum_within_call_adjusted_p_value	median_within_call_adjusted_p_value	maximum_within_call_adjusted_p_value	simple_aggregation_score	aggregation_method	rank
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	RPL11	FALSE	non_mito	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	1.83617654724178e-06	1.83617654724178e-06	1.83617654724178e-06	1.83617654724178e-06	singleton_within_call_adjusted_p_passthrough	1
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	COX4I1	TRUE	core_mito_protein	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	5.43970575513645e-06	5.43970575513645e-06	5.43970575513645e-06	5.43970575513645e-06	singleton_within_call_adjusted_p_passthrough	2
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	COX7C	TRUE	core_mito_protein	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	4.93207982340019e-05	4.93207982340019e-05	4.93207982340019e-05	4.93207982340019e-05	singleton_within_call_adjusted_p_passthrough	3
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	RPLP1	FALSE	non_mito	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	0.000329466475771193	0.000329466475771193	0.000329466475771193	0.000329466475771193	singleton_within_call_adjusted_p_passthrough	4
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	RPL13	TRUE	core_mito_protein	nuclear	2	2	Ast CHI3L1|Ast GRM3	primary_Ast_CHI3L1_F_e2_AD_both_mito|primary_Ast_GRM3_F_e2_AD_both_mito	0.000476319385987988	0.022736007595657245	0.0449956958053265	0.0009427236829053432	equal_weight_acat	5
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	RPL15	FALSE	non_mito	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	0.0021711462486555	0.0021711462486555	0.0021711462486555	0.0021711462486555	singleton_within_call_adjusted_p_passthrough	6
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	APOE	FALSE	non_mito	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	0.00710099654622169	0.00710099654622169	0.00710099654622169	0.00710099654622169	singleton_within_call_adjusted_p_passthrough	7
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	FAU	FALSE	non_mito	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	0.00710099654622169	0.00710099654622169	0.00710099654622169	0.00710099654622169	singleton_within_call_adjusted_p_passthrough	8
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	AKAP10	TRUE	core_mito_protein	nuclear	1	1	Ast DPP10	primary_Ast_DPP10_F_e2_AD_both_mito	0.00749379989275054	0.00749379989275054	0.00749379989275054	0.00749379989275054	singleton_within_call_adjusted_p_passthrough	9
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	RPS15	FALSE	non_mito	nuclear	1	1	Ast GRM3	primary_Ast_GRM3_F_e2_AD_both_mito	0.0153808087863582	0.0153808087863582	0.0153808087863582	0.0153808087863582	singleton_within_call_adjusted_p_passthrough	10
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Astrocytes	MYO9A	FALSE	non_mito	nuclear	1	1	Ast DPP10	primary_Ast_DPP10_F_e2_AD_both_mito	0.0186409805927372	0.0186409805927372	0.0186409805927372	0.0186409805927372	singleton_within_call_adjusted_p_passthrough	11
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	MT-CO2	TRUE	core_mito_protein	mtDNA	10	10	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b|Exc RELN CHD7	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito|primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito|primary_Exc_L6b_F_e2_AD_both_mito|primary_Exc_RELN_CHD7_F_e2_AD_both_mito	1.48883664633927e-22	1.6208233135385388e-07	0.0235049589637212	1.4886742527595053e-21	equal_weight_acat	1
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	RPL11	FALSE	non_mito	nuclear	5	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	1.20971399441747e-09	8.65450373982952e-06	0.000368802804275875	5.97170149590089e-09	equal_weight_acat	2
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	COX6B1	TRUE	core_mito_protein	nuclear	7	7	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito|primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	1.62154093327646e-09	1.66214059030107e-08	4.30724800338064e-06	6.112557854010251e-09	equal_weight_acat	3
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	COX4I1	TRUE	core_mito_protein	nuclear	6	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	3.04193884045646e-09	4.480561995691245e-06	0.00157691532092967	1.791835951274941e-08	equal_weight_acat	4
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	MT-CYB	TRUE	core_mito_protein	mtDNA	8	8	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc RELN CHD7	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito|primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito|primary_Exc_RELN_CHD7_F_e2_AD_both_mito	5.05597473368426e-09	7.10194730246412e-06	0.000352648859030039	3.903998521782114e-08	equal_weight_acat	5
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	MT-ND4L	TRUE	core_mito_protein	mtDNA	9	9	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc RELN CHD7	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito|primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito|primary_Exc_RELN_CHD7_F_e2_AD_both_mito	4.85455437634134e-09	0.00179933553661891	0.045904277877755	4.280256963319006e-08	equal_weight_acat	6
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	UQCR10	TRUE	core_mito_protein	nuclear	6	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	3.09974901397291e-08	1.5981739006348425e-06	0.00144806252430058	9.565178370066961e-08	equal_weight_acat	7
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	MT-ATP6	TRUE	core_mito_protein	mtDNA	7	7	Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito	5.31021146857748e-08	0.00829146126809126	0.0137086929998639	3.526570568671197e-07	equal_weight_acat	8
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	COX7B	TRUE	core_mito_protein	nuclear	7	7	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	9.5104412309953e-08	2.3069285095893e-06	0.0209317121961563	5.449495259255072e-07	equal_weight_acat	9
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	COX7C	TRUE	core_mito_protein	nuclear	7	7	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito|primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	4.1645360903224e-07	1.22747756112663e-05	0.0313671329152026	1.8591597268866897e-06	equal_weight_acat	10
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	SELENOW	FALSE	non_mito	nuclear	5	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	4.20477776788174e-07	0.000447160877560778	0.00709202244351967	2.0855828235695962e-06	equal_weight_acat	11
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	RPS13	FALSE	non_mito	nuclear	3	3	Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	9.65008198466462e-07	1.17354959716461e-05	0.0199324624453969	2.674935673048853e-06	equal_weight_acat	12
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	MT-ND4	TRUE	core_mito_protein	mtDNA	8	8	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc RELN CHD7	primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_both_mito|primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito|primary_Exc_RELN_CHD7_F_e2_AD_both_mito	9.90971047802109e-07	6.209406610818165e-05	0.00015496164139067	6.0345161709576525e-06	equal_weight_acat	13
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	ATP5PF	TRUE	core_mito_protein	nuclear	5	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	1.49849487676615e-05	0.000352648859030039	0.0113468359295963	3.989037054842114e-05	equal_weight_acat	14
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	NDUFB10	TRUE	core_mito_protein	nuclear	6	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	1.38145533461278e-05	0.00019089004835395152	0.0184811206539947	6.357172185136341e-05	equal_weight_acat	15
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	TMEM147	FALSE	non_mito	nuclear	6	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_both_mito|primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_both_mito|primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_both_mito|primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_both_mito|primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	1.64697654082721e-05	0.0003206563820226115	0.0199324624453969	7.902471651559879e-05	equal_weight_acat	16
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	MT-ND5	TRUE	core_mito_protein	mtDNA	3	3	Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT	primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito|primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito	3.24524723549665e-05	0.000329533265217338	0.00513562413718335	8.812231783045346e-05	equal_weight_acat	17
phase20_sexapoe_kda_simple_aggr_combo_v1_key_drivers_by_category	F_e2	Female	e2	Excitatory_neurons	WDR82	FALSE	non_mito	nuclear	2	2	Exc L5/6 NP|Exc L6 CT	primary_Exc_L5_6_NP_F_e2_AD_both_mito|primary_Exc_L6_CT_F_e2_AD_both_mito	4.90236469350828e-05	0.0012268766336842815	0.00240472962043348	9.60884369225769e-05	equal_weight_acat	18
