schema_version	signature_group	sex	apoe_group	broad_network	included_call_count	stock_returned_row_count	all_class_returned_gene_count	mt_returned_gene_count	non_mt_returned_gene_count	singleton_gene_unit_count	recurrent_gene_unit_count	minimum_requested_final_q
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	Astrocytes	6	29	28	16	12	27	1	1.35933045827028e-06
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	Excitatory_neurons	20	316	114	50	64	55	59	9.27289784190297e-22
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	Inhibitory_neurons	13	105	40	22	18	28	12	8.194716748456599e-21
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	Microglia	2	9	9	2	7	9	0	0.0019099432746623
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	OPCs	1	0	0	0	0	0	0	NA
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	Oligodendrocytes	1	0	0	0	0	0	0	NA
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e2	Female	e2	Vasculature_cells	0	0	0	0	0	0	0	NA
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	Astrocytes	5	8	8	4	4	8	0	0.000178691895589258
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	Excitatory_neurons	23	192	83	33	50	61	22	1.8417687006715295e-26
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	Inhibitory_neurons	21	166	59	25	34	46	13	7.354564414371689e-23
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	Microglia	0	0	0	0	0	0	0	NA
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	OPCs	1	9	9	5	4	9	0	6.56224695123107e-08
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	Oligodendrocytes	1	2	2	2	0	2	0	0.00180217861028234
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e33	Female	e33	Vasculature_cells	0	0	0	0	0	0	0	NA
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	Astrocytes	6	15	15	9	6	15	0	2.77628249885111e-08
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	Excitatory_neurons	17	180	110	47	63	72	38	9.778101282961714e-10
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	Inhibitory_neurons	15	124	61	30	31	33	28	3.6583189238248395e-14
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	Microglia	3	12	10	4	6	8	2	1.0094303210636908e-10
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	OPCs	2	8	8	3	5	8	0	0.000115144507995685
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	Oligodendrocytes	1	23	23	6	17	23	0	0.0241902151702447
phase20_simple_returned_only_acat_v1_category_summary_v1	F_e4	Female	e4	Vasculature_cells	3	13	10	5	5	7	3	1.9785277113416424e-09
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	Astrocytes	6	49	43	22	21	37	6	4.45283682959761e-11
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	Excitatory_neurons	27	480	155	76	79	60	95	3.9509195808391006e-19
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	Inhibitory_neurons	19	117	55	29	26	33	22	5.562674885995266e-08
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	Microglia	2	6	6	5	1	6	0	5.06240611128634e-18
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	OPCs	2	22	22	11	11	22	0	4.5741181951196e-14
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	Oligodendrocytes	2	8	8	7	1	8	0	1.15178734910063e-17
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e2	Male	e2	Vasculature_cells	3	13	7	7	0	1	6	5.428881110884334e-21
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	Astrocytes	5	25	20	9	11	15	5	6.0000491073491416e-06
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	Excitatory_neurons	20	141	90	47	43	59	31	1.0936130685603542e-16
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	Inhibitory_neurons	13	89	59	25	34	41	18	2.568112791981744e-21
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	Microglia	2	10	10	6	4	10	0	1.7829662743674e-08
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	OPCs	1	9	9	4	5	9	0	0.000466920726732561
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	Oligodendrocytes	1	0	0	0	0	0	0	NA
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e33	Male	e33	Vasculature_cells	1	6	6	6	0	6	0	4.80372785017074e-16
phase20_simple_returned_only_acat_v1_category_summary_v1	M_e4	Male	e4	Astrocytes	6	25	21	12	9	17	4	1.8098404022158163e-16
