route_id	schema_version	candidate_id	gene	ensembl_gene_id	broad_network	case_id	case_label	qtl_type	chromosome	window_start	window_end	genome_build
T2R001	human_genetic_support_tier2_coloc_v1	GS001	ANKRD11	ENSG00000167522	OPCs	non_mt_driver	non-MT driver	eQTL	16	88267630	90490561	GRCh38
T2R002	human_genetic_support_tier2_coloc_v1	GS001	ANKRD11	ENSG00000167522	OPCs	non_mt_driver	non-MT driver	sQTL	16	88267630	90490561	GRCh38
T2R003	human_genetic_support_tier2_coloc_v1	GS002	APOE	ENSG00000130203	Astrocytes	non_mt_driver	non-MT driver	eQTL	19	43905791	45909393	GRCh38
T2R004	human_genetic_support_tier2_coloc_v1	GS002	APOE	ENSG00000130203	Astrocytes	non_mt_driver	non-MT driver	sQTL	19	43905791	45909393	GRCh38
T2R005	human_genetic_support_tier2_coloc_v1	GS003	ATP6V1F	ENSG00000128524	Inhibitory_neurons	non_mt_driver	non-MT driver	eQTL	7	127862856	129865847	GRCh38
T2R006	human_genetic_support_tier2_coloc_v1	GS003	ATP6V1F	ENSG00000128524	Inhibitory_neurons	non_mt_driver	non-MT driver	sQTL	7	127862856	129865847	GRCh38
T2R007	human_genetic_support_tier2_coloc_v1	GS004	COX4I1	ENSG00000131143	Astrocytes	mt_driver	MT driver	eQTL	16	84798633	86807068	GRCh38
T2R008	human_genetic_support_tier2_coloc_v1	GS004	COX4I1	ENSG00000131143	Astrocytes	mt_driver	MT driver	sQTL	16	84798633	86807068	GRCh38
T2R009	human_genetic_support_tier2_coloc_v1	GS005	COX4I1	ENSG00000131143	Excitatory_neurons	mt_driver	MT driver	eQTL	16	84798633	86807068	GRCh38
T2R010	human_genetic_support_tier2_coloc_v1	GS005	COX4I1	ENSG00000131143	Excitatory_neurons	mt_driver	MT driver	sQTL	16	84798633	86807068	GRCh38
T2R011	human_genetic_support_tier2_coloc_v1	GS006	COX6B1	ENSG00000126267	Excitatory_neurons	mt_driver	MT driver	eQTL	19	34648323	36658782	GRCh38
